library,type,old_version,new_version,commit_date
org.deeplearning4jdeeplearning4j-core,"add","","1.0.0-beta3",2018-12-17T16:18:43Z
gov.nist.mathjama,"add","","1.0.3",2018-12-17T13:12:19Z
org.apache.lucenelucene-analyzers-smartcn,"add","","7.4.0",2018-12-11T12:34:29Z
org.apache.httpcomponentshttpclient,"add","","4.5.6",2018-12-12T15:08:00Z
com.alibabafastjson,"update","1.2.48","1.2.53",2018-12-12T15:08:00Z
org.projectlomboklombok,"update","1.18.2","1.18.16",2020-11-13T07:16:19Z
org.ansjansj_seg,"add","","5.1.6",2018-12-11T12:34:29Z
org.apache.lucenelucene-queryparser,"add","","7.4.0",2018-12-11T12:34:29Z
com.hankcshanlp,"add","","portable-1.7.0",2018-12-11T12:34:29Z
org.nd4jnd4j-native-platform,"add","","1.0.0-beta3",2018-12-17T16:18:43Z
com.janeluoikanalyzer,"add","","2012_u6",2018-12-11T12:34:29Z
org.apache.lucenelucene-core,"add","","7.4.0",2018-12-11T12:34:29Z
org.apache.lucenelucene-suggest,"add","","7.4.0",2018-12-11T12:34:29Z
javax.servletjavax.servlet-api,"remove","4.0.1","",2018-12-17T13:12:19Z
javax.servletjavax.servlet-api,"add","","4.0.1",2018-12-12T15:08:00Z
com.hankcs.nlphanlp-lucene-plugin,"add","","1.1.6",2018-12-11T12:34:29Z
org.apache.lucenelucene-analyzers-common,"add","","7.4.0",2018-12-11T12:34:29Z
org.ansjansj_lucene7_plug,"add","","5.1.5.1",2018-12-11T12:34:29Z
org.deeplearning4jdeeplearning4j-datasets,"add","","1.0.0-beta3",2018-12-17T16:18:43Z
junitjunit,"update","4.12","4.13.1",2020-11-13T07:19:13Z
