library,type,old_version,new_version,commit_date
org.apache.lucene.morpholgymorph,"remove","0.9-SNAPSHOT","",2009-10-19T17:49:59Z
org.apache.lucene.morpholgymorph,"update","0.8","0.9-SNAPSHOT",2009-10-19T17:34:19Z
org.apache.lucene.morpholgymorph,"update","0.7.1-SNAPSHOT","0.8",2009-10-19T17:29:05Z
org.apache.lucene.morpholgymorph,"update","0.8","0.7.1-SNAPSHOT",2009-10-19T17:25:10Z
org.apache.lucene.morpholgymorph,"update","0.7.1-SNAPSHOT","0.8",2009-10-19T17:23:43Z
org.apache.lucene.morpholgymorph,"update","0.8","0.7.1-SNAPSHOT",2009-10-19T17:11:46Z
org.apache.lucene.morpholgymorph,"update","0.7.1-SNAPSHOT","0.8",2009-10-19T17:10:11Z
org.apache.lucene.morpholgymorph,"update","0.7-SNAPSHOT","0.7.1-SNAPSHOT",2009-10-19T17:07:59Z
org.apache.lucene.morpholgymorph,"update","0.7","0.7-SNAPSHOT",2009-10-19T17:05:48Z
org.apache.lucene.morpholgymorph,"update","0.7-SNAPSHOT","0.7",2009-10-19T17:03:23Z
org.apache.lucene.morpholgymorph,"update","0.7","0.7-SNAPSHOT",2009-10-19T17:02:39Z
org.apache.lucene.morpholgymorph,"update","0.7-SNAPSHOT","0.7",2009-10-19T16:55:03Z
org.apache.lucene.morphologymorph,"update","1.4","1.5",2019-06-26T18:34:09Z
org.apache.lucene.morphologymorph,"update","1.3-SNAPSHOT","1.4",2018-03-03T08:43:45Z
org.apache.lucene.morphologymorph,"update","1.2-SNAPSHOT","1.3-SNAPSHOT",2016-10-26T20:02:43Z
org.apache.lucene.morphologymorph,"update","1.1","1.2-SNAPSHOT",2015-06-09T18:57:04Z
org.apache.lucene.morphologymorph,"update","1.1-SNAPSHOT","1.1",2015-06-09T18:56:59Z
org.apache.lucene.morphologymorph,"update","1.0","1.1-SNAPSHOT",2010-10-11T11:09:53Z
org.apache.lucene.morphologymorph,"update","1.0-SNAPSHOT","1.0",2010-10-11T11:09:33Z
org.apache.lucene.morphologymorph,"update","1.1-SNAPSHOT","1.0-SNAPSHOT",2010-10-11T11:07:35Z
org.apache.lucene.morphologymorph,"update","1.0","1.1-SNAPSHOT",2010-10-11T10:22:24Z
org.apache.lucene.morphologymorph,"update","1.0-SNAPSHOT","1.0",2010-10-11T10:20:02Z
org.apache.lucene.morphologymorph,"update","1.1-SNAPSHOT","1.0-SNAPSHOT",2010-10-11T10:17:05Z
org.apache.lucene.morphologymorph,"update","1.0","1.1-SNAPSHOT",2010-10-11T09:38:01Z
org.apache.lucene.morphologymorph,"update","1.0-SNAPSHOT","1.0",2010-10-11T09:37:41Z
org.apache.lucene.morphologymorph,"update","1.0","1.0-SNAPSHOT",2010-10-11T09:35:44Z
org.apache.lucene.morphologymorph,"update","1.0-SNAPSHOT","1.0",2010-10-11T09:29:46Z
org.apache.lucene.morphologymorph,"update","1.0","1.0-SNAPSHOT",2010-10-11T09:22:57Z
org.apache.lucene.morphologymorph,"update","0.9-SNAPSHOT","1.0",2010-10-11T09:19:27Z
org.apache.lucene.morphologymorph,"update","0.8","0.9-SNAPSHOT",2010-03-02T12:58:35Z
org.apache.lucene.morphologymorph,"update","0.8-SNAPSHOT","0.8",2010-03-02T12:55:05Z
org.apache.lucene.morphologymorph,"update","0.7","0.8-SNAPSHOT",2009-10-19T17:52:56Z
org.apache.lucene.morphologymorph,"update","0.9-SNAPSHOT","0.7",2009-10-19T17:51:38Z
org.apache.lucene.morphologymorph,"add","","0.9-SNAPSHOT",2009-10-19T17:49:59Z
junitjunit,"remove","4.8.2","",2015-07-03T20:48:02Z
junitjunit,"update","4.4","4.8.2",2011-11-29T05:41:36Z
