library,type,old_version,new_version,commit_date
org.apache.lucenelucene-analysis-common,"add","","9.3.0",2022-09-27T20:48:56Z
org.apache.lucenelucene-core,"update","8.11.0","9.3.0",2022-09-27T20:48:56Z
org.apache.lucenelucene-core,"update","8.7.0","8.11.0",2021-12-10T18:15:47Z
org.apache.lucenelucene-core,"update","8.0.0","8.7.0",2021-01-14T19:38:07Z
org.apache.lucenelucene-core,"update","7.2.1","8.0.0",2019-06-26T18:34:09Z
org.apache.lucenelucene-core,"update","6.6.0","7.2.1",2018-03-03T08:43:45Z
org.apache.lucenelucene-core,"update","6.2.0","6.6.0",2017-09-15T13:20:46Z
org.apache.lucenelucene-core,"update","6.1.0","6.2.0",2016-10-26T20:02:43Z
org.apache.lucenelucene-core,"update","5.1.0","6.1.0",2016-08-05T21:21:31Z
org.apache.lucenelucene-core,"update","5.0.0","5.1.0",2015-06-09T15:42:15Z
org.apache.lucenelucene-core,"update","3.5.0","5.0.0",2015-03-20T21:38:55Z
org.apache.lucenelucene-core,"update","3.0.0","3.5.0",2011-11-28T16:44:15Z
org.apache.lucenelucene-core,"update","2.4.1","3.0.0",2010-02-22T13:49:47Z
org.hamcresthamcrest-all,"update","1.1","1.3",2021-12-10T18:15:47Z
org.apache.lucenelucene-analyzers-common,"remove","8.11.0","",2022-09-27T20:48:56Z
org.apache.lucenelucene-analyzers-common,"update","8.7.0","8.11.0",2021-12-10T18:15:47Z
org.apache.lucenelucene-analyzers-common,"update","8.0.0","8.7.0",2021-01-14T19:38:07Z
org.apache.lucenelucene-analyzers-common,"update","7.2.1","8.0.0",2019-06-26T18:34:09Z
org.apache.lucenelucene-analyzers-common,"update","6.6.0","7.2.1",2018-03-03T08:43:45Z
org.apache.lucenelucene-analyzers-common,"update","6.2.0","6.6.0",2017-09-15T13:20:46Z
org.apache.lucenelucene-analyzers-common,"update","6.1.0","6.2.0",2016-10-26T20:02:43Z
org.apache.lucenelucene-analyzers-common,"update","5.1.0","6.1.0",2016-08-05T21:21:31Z
org.apache.lucenelucene-analyzers-common,"update","5.0.0","5.1.0",2015-06-09T15:42:15Z
org.apache.lucenelucene-analyzers-common,"add","","5.0.0",2015-03-20T21:38:55Z
junitjunit,"remove","4.8.2","",2015-07-03T20:48:02Z
junitjunit,"update","4.4","4.8.2",2011-11-29T05:41:36Z
org.apache.lucenelucene-test-framework,"update","8.11.0","9.3.0",2022-09-27T20:48:56Z
org.apache.lucenelucene-test-framework,"update","8.7.0","8.11.0",2021-12-10T18:15:47Z
org.apache.lucenelucene-test-framework,"update","8.0.0","8.7.0",2021-01-14T19:38:07Z
org.apache.lucenelucene-test-framework,"update","7.2.1","8.0.0",2019-06-26T18:34:09Z
org.apache.lucenelucene-test-framework,"update","6.6.0","7.2.1",2018-03-03T08:43:45Z
org.apache.lucenelucene-test-framework,"update","6.2.0","6.6.0",2017-09-15T13:20:46Z
org.apache.lucenelucene-test-framework,"update","6.1.0","6.2.0",2016-10-26T20:02:43Z
org.apache.lucenelucene-test-framework,"update","5.1.0","6.1.0",2016-08-05T21:21:31Z
org.apache.lucenelucene-test-framework,"add","","5.1.0",2015-07-03T20:48:02Z
