library,type,old_version,new_version,commit_date
org.springframework.securityspring-security-oauth2-client,"add","","unknown",2024-10-18T15:30:45Z
org.apache.lucenelucene-analysis-common,"add","","9.12.0",2024-10-08T14:37:35Z
org.antlrantlr4-runtime,"add","","4.13.0",2025-01-09T04:20:59Z
com.fasterxml.jackson.modulejackson-module-afterburner,"update","2.18.0","2.18.2",2025-01-09T04:20:59Z
com.fasterxml.jackson.modulejackson-module-afterburner,"add","","2.18.0",2024-09-30T03:40:22Z
com.graphql-java-kickstartgraphql-java-servlet,"add","","16.0.0",2024-10-12T10:36:41Z
com.bucket4jbucket4j-core,"add","","8.10.1",2024-10-12T10:36:41Z
org.hibernate.ormhibernate-core,"add","","6.6.1.Final",2024-10-01T08:43:43Z
com.github.Alfex4936easy-jwt,"add","","1.0.2",2024-11-17T11:41:04Z
org.hibernate.ormhibernate-community-dialects,"add","","6.6.1.Final",2024-10-01T08:43:43Z
com.groupdocsgroupdocs-metadata,"add","","24.12",2025-01-09T04:20:59Z
org.jsoupjsoup,"add","","1.18.1",2024-10-08T14:37:35Z
org.springframework.graphqlspring-graphql-test,"add","","1.3.2",2024-10-13T02:15:35Z
org.jboss.loggingjboss-logging,"add","","3.6.1.Final",2024-10-08T14:37:35Z
com.graphql-java-kickstartgraphql-java-tools,"update","13.1.1","14.0.0",2024-10-12T10:36:41Z
org.xerialsqlite-jdbc,"add","","3.46.1.3",2024-10-01T08:43:43Z
org.hibernate.searchhibernate-search-backend-lucene,"add","","7.2.1.Final",2024-10-08T14:37:35Z
com.github.Alfex4936dkssud-java,"add","","1.0.1",2024-09-29T11:11:12Z
org.springframework.bootspring-boot-starter-security,"add","","unknown",2024-10-18T15:30:45Z
org.springframework.bootspring-boot-starter-actuator,"add","","unknown",2025-01-09T04:20:59Z
org.apache.lucenelucene-analysis-icu,"add","","9.12.0",2024-10-14T10:09:19Z
com.fasterxml.jackson.modulejackson-module-jaxb-annotations,"add","","2.18.2",2025-01-09T04:20:59Z
org.springframework.bootspring-boot-starter-data-jpa,"add","","unknown",2024-10-01T08:43:43Z
org.flywaydbflyway-core,"add","","9.16.0",2024-10-01T08:43:43Z
org.hibernate.searchhibernate-search-mapper-orm,"add","","7.2.1.Final",2024-10-08T14:37:35Z
org.apache.lucenelucene-analysis-nori,"add","","9.12.0",2024-10-08T14:37:35Z
