library,type,old_version,new_version,commit_date
nl.andrewlemaildownloader,"remove","1.1.0","",2022-04-12T08:12:56Z
nl.andrewlemaildownloader,"add","","1.1.0",2022-04-12T07:24:33Z
com.formdevflatlaf,"remove","2.0.2","",2022-04-12T07:24:33Z
com.formdevflatlaf,"add","","2.0.2",2022-03-02T14:45:22Z
org.junit.jupiterjunit-jupiter-api,"add","","5.8.2",2022-05-11T15:35:14Z
org.apache.lucenelucene-queryparser,"update","9.2.0","9.1.0",2022-06-23T20:21:39Z
org.apache.lucenelucene-queryparser,"update","9.1.0","9.2.0",2022-06-23T18:53:05Z
org.apache.lucenelucene-queryparser,"update","8.8.2","9.1.0",2022-04-12T07:24:33Z
org.apache.lucenelucene-queryparser,"add","","8.8.2",2022-03-01T16:19:47Z
org.apache.pdfboxpdfbox,"update","2.0.4","2.0.26",2022-05-12T15:08:40Z
org.apache.pdfboxpdfbox,"add","","2.0.4",2022-05-12T14:58:44Z
nl.andrewlapache-email-downloader,"remove","1.1.0","",2022-04-12T07:24:33Z
nl.andrewlapache-email-downloader,"add","","1.1.0",2022-03-25T00:04:23Z
org.junit.jupiterjunit-jupiter-engine,"add","","5.8.2",2022-05-11T15:35:14Z
org.apache.lucenelucene-core,"update","9.2.0","9.1.0",2022-06-23T20:21:39Z
org.apache.lucenelucene-core,"update","9.1.0","9.2.0",2022-06-23T18:53:05Z
org.apache.lucenelucene-core,"update","8.8.2","9.1.0",2022-04-12T07:24:33Z
com.github.ArchitecturalKnowledgeAnalysisMBoxParser,"add","","v1.2.2",2022-04-23T20:01:04Z
org.apache.commonscommons-csv,"add","","1.9.0",2022-06-02T20:41:53Z
net.lingala.zip4jzip4j,"update","2.9.1","2.10.0",2022-04-12T07:24:33Z
net.lingala.zip4jzip4j,"add","","2.9.1",2022-03-01T16:19:47Z
nl.andrewlmbox-parser,"remove","1.2.1","",2022-04-12T07:24:33Z
nl.andrewlmbox-parser,"update","1.0.0","1.2.1",2022-03-01T16:19:47Z
com.itextpdfitextpdf,"update","5.5.10","5.5.13",2022-05-12T15:08:40Z
com.itextpdfitextpdf,"add","","5.5.10",2022-05-12T14:58:44Z
com.h2databaseh2,"update","2.1.210","2.1.212",2022-04-13T12:13:25Z
com.h2databaseh2,"add","","2.1.210",2022-03-01T16:19:47Z
nl.andrewlmboxparser,"remove","1.2.2","",2022-04-23T20:01:04Z
nl.andrewlmboxparser,"update","1.2.1","1.2.2",2022-04-12T08:48:58Z
nl.andrewlmboxparser,"update","1.2.0","1.2.1",2022-04-12T08:34:51Z
nl.andrewlmboxparser,"add","","1.2.0",2022-04-12T07:24:33Z
