library,type,old_version,new_version,commit_date
portalportal-core,"remove","1.0-SNAPSHOT","",2011-01-11T23:59:48Z
org.apache.lucenelucene-backward-codecs,"remove","8.1.0","",2021-10-04T22:21:48Z
org.apache.lucenelucene-backward-codecs,"update","6.6.5","8.1.0",2021-06-08T04:47:28Z
org.apache.lucenelucene-backward-codecs,"add","","6.6.5",2018-11-19T23:58:50Z
org.apache.lucenelucene-backward-codecs,"remove","6.4.2","",2018-11-19T01:06:15Z
org.apache.lucenelucene-backward-codecs,"add","","6.4.2",2018-06-14T06:56:34Z
org.apache.lucenelucene-backward-codecs,"remove","6.4.2","",2018-06-14T05:02:30Z
org.apache.lucenelucene-backward-codecs,"update","5.5.5","6.4.2",2018-04-06T04:15:54Z
org.apache.lucenelucene-backward-codecs,"add","","5.5.5",2018-02-02T12:44:52Z
org.apache.lucenelucene-backward-codecs,"remove","5.5.5","",2018-02-01T10:53:35Z
org.apache.lucenelucene-backward-codecs,"add","","5.5.5",2018-02-01T10:52:50Z
org.apache.lucenelucene-backward-codecs,"remove","5.5.5","",2018-02-01T10:32:28Z
org.apache.lucenelucene-backward-codecs,"add","","5.5.5",2018-01-29T16:42:41Z
org.apache.lucenelucene-backward-codecs,"remove","5.5.3","",2017-05-05T12:57:55Z
org.apache.lucenelucene-backward-codecs,"add","","5.5.3",2017-05-05T09:45:48Z
org.apache.lucenelucene-backward-codecs,"remove","5.5.3","",2017-04-05T05:37:45Z
org.apache.lucenelucene-backward-codecs,"add","","5.5.3",2017-01-19T16:29:04Z
org.springframeworkspring-core,"remove","3.0.0.RELEASE","",2012-01-23T02:41:14Z
org.springframeworkspring-core,"add","","3.0.0.RELEASE",2011-01-11T23:59:48Z
org.springframeworkspring-core,"remove","3.0.0.RELEASE","",2010-04-22T06:18:31Z
com.fasterxml.jackson.corejackson-databind,"update","2.8.9","2.12.3",2021-06-08T04:47:28Z
com.fasterxml.jackson.corejackson-databind,"add","","2.8.9",2018-11-19T01:06:15Z
com.fasterxml.jackson.corejackson-databind,"remove","2.8.9","",2018-06-14T06:56:34Z
com.fasterxml.jackson.corejackson-databind,"add","","2.8.9",2018-06-14T05:02:30Z
com.fasterxml.jackson.corejackson-databind,"remove","2.8.9","",2018-02-02T12:44:52Z
com.fasterxml.jackson.corejackson-databind,"add","","2.8.9",2018-02-01T10:53:35Z
com.fasterxml.jackson.corejackson-databind,"remove","2.8.9","",2018-02-01T10:52:50Z
com.fasterxml.jackson.corejackson-databind,"add","","2.8.9",2018-02-01T10:32:28Z
com.fasterxml.jackson.corejackson-databind,"remove","2.8.9","",2018-01-29T16:42:41Z
com.fasterxml.jackson.corejackson-databind,"update","2.8.8","2.8.9",2017-11-17T03:48:33Z
com.fasterxml.jackson.corejackson-databind,"add","","2.8.8",2017-11-15T00:17:55Z
com.fasterxml.jackson.corejackson-databind,"remove","2.8.8","",2017-09-29T01:09:31Z
com.fasterxml.jackson.corejackson-databind,"add","","2.8.8",2017-06-20T03:04:02Z
commons-collectionscommons-collections,"remove","3.2.2","",2021-10-04T22:21:48Z
commons-collectionscommons-collections,"update","3.2","3.2.2",2018-11-19T01:06:15Z
commons-collectionscommons-collections,"update","3.2.2","3.2",2018-06-14T06:56:34Z
commons-collectionscommons-collections,"update","3.2","3.2.2",2018-06-14T05:02:30Z
commons-collectionscommons-collections,"update","3.2.2","3.2",2018-02-02T12:44:52Z
commons-collectionscommons-collections,"update","3.2","3.2.2",2018-02-01T10:53:35Z
commons-collectionscommons-collections,"update","3.2.2","3.2",2018-02-01T10:52:50Z
commons-collectionscommons-collections,"update","3.2","3.2.2",2018-02-01T10:32:28Z
commons-collectionscommons-collections,"update","3.2.2","3.2",2018-01-29T16:42:41Z
commons-collectionscommons-collections,"update","3.2","3.2.2",2017-11-15T00:17:55Z
commons-collectionscommons-collections,"update","3.2.2","3.2",2017-09-29T01:09:31Z
commons-collectionscommons-collections,"update","3.2","3.2.2",2017-09-07T23:24:28Z
org.gbifdwca-reader,"remove","1.21","",2017-05-05T09:45:48Z
org.gbifdwca-reader,"add","","1.21",2017-04-05T05:37:45Z
org.gbifdwca-reader,"remove","1.18","",2016-07-25T11:44:41Z
org.gbifdwca-reader,"update","1.14","1.18",2014-07-17T03:16:17Z
org.gbifdwca-reader,"update","1.14-SNAPSHOT","1.14",2014-02-19T04:09:14Z
org.gbifdwca-reader,"add","","1.14-SNAPSHOT",2014-01-28T22:51:51Z
org.springframeworkspring-context,"remove","3.0.0.RELEASE","",2012-01-23T02:41:14Z
org.springframeworkspring-context,"add","","3.0.0.RELEASE",2011-01-11T23:59:48Z
org.springframeworkspring-context,"remove","3.0.0.RELEASE","",2010-04-22T06:18:31Z
commons-langcommons-lang,"remove","2.6","",2021-10-04T22:21:48Z
commons-langcommons-lang,"update","2.5","2.6",2018-11-19T01:06:15Z
commons-langcommons-lang,"update","2.6","2.5",2018-06-14T06:56:34Z
commons-langcommons-lang,"update","2.5","2.6",2018-06-14T05:02:30Z
commons-langcommons-lang,"update","2.6","2.5",2018-02-02T12:44:52Z
commons-langcommons-lang,"update","2.5","2.6",2018-02-01T10:53:35Z
commons-langcommons-lang,"update","2.6","2.5",2018-02-01T10:52:50Z
commons-langcommons-lang,"update","2.5","2.6",2018-02-01T10:32:28Z
commons-langcommons-lang,"update","2.6","2.5",2018-01-29T16:42:41Z
commons-langcommons-lang,"update","2.5","2.6",2017-11-15T00:17:55Z
commons-langcommons-lang,"update","2.6","2.5",2017-09-29T01:09:31Z
commons-langcommons-lang,"update","2.5","2.6",2017-09-07T23:24:28Z
commons-langcommons-lang,"update","2.4","2.5",2011-01-11T23:59:48Z
org.slf4jslf4j-api,"update","1.7.5","1.7.25",2018-11-19T01:06:15Z
org.slf4jslf4j-api,"update","1.7.25","1.7.5",2018-06-14T06:56:34Z
org.slf4jslf4j-api,"update","1.7.5","1.7.25",2018-06-14T05:02:30Z
org.slf4jslf4j-api,"update","1.7.25","1.7.5",2018-02-02T12:44:52Z
org.slf4jslf4j-api,"update","1.7.5","1.7.25",2018-02-01T10:53:35Z
org.slf4jslf4j-api,"update","1.7.25","1.7.5",2018-02-01T10:52:50Z
org.slf4jslf4j-api,"update","1.7.5","1.7.25",2018-02-01T10:32:28Z
org.slf4jslf4j-api,"update","1.7.25","1.7.5",2018-01-29T16:42:41Z
org.slf4jslf4j-api,"update","1.7.5","1.7.25",2017-11-15T00:17:55Z
org.slf4jslf4j-api,"update","1.7.25","1.7.5",2017-09-29T01:09:31Z
org.slf4jslf4j-api,"update","1.7.5","1.7.25",2017-09-07T23:24:28Z
org.slf4jslf4j-api,"add","","1.7.5",2014-07-16T04:09:59Z
org.gbifecat-checklistbank,"remove","1.0-SNAPSHOT","",2011-01-11T23:59:48Z
org.gbifecat-common,"remove","1.6","",2018-11-19T01:06:15Z
org.gbifecat-common,"add","","1.6",2018-06-14T06:56:34Z
org.gbifecat-common,"remove","1.6","",2018-06-14T05:02:30Z
org.gbifecat-common,"add","","1.6",2018-02-02T12:44:52Z
org.gbifecat-common,"remove","1.6","",2018-02-01T10:53:35Z
org.gbifecat-common,"add","","1.6",2018-02-01T10:52:50Z
org.gbifecat-common,"remove","1.6","",2018-02-01T10:32:28Z
org.gbifecat-common,"add","","1.6",2018-01-29T16:42:41Z
org.gbifecat-common,"remove","1.6","",2017-11-15T00:17:55Z
org.gbifecat-common,"add","","1.6",2017-09-29T01:09:31Z
org.gbifecat-common,"remove","1.6","",2017-06-20T03:04:02Z
org.gbifecat-common,"add","","1.6",2017-05-05T09:45:48Z
org.gbifecat-common,"remove","1.6","",2017-04-05T05:37:45Z
org.gbifecat-common,"update","1.5.1-SNAPSHOT","1.6",2014-02-19T04:09:14Z
org.gbifecat-common,"update","1.2-SNAPSHOT","1.5.1-SNAPSHOT",2012-01-23T02:41:14Z
org.gbifecat-common,"add","","1.2-SNAPSHOT",2011-01-11T23:59:48Z
org.gbifname-parser,"remove","2.24","",2021-10-04T22:21:48Z
org.gbifname-parser,"add","","2.24",2018-11-19T01:06:15Z
org.gbifname-parser,"remove","2.24","",2018-06-14T06:56:34Z
org.gbifname-parser,"add","","2.24",2018-06-14T05:02:30Z
org.gbifname-parser,"remove","2.24","",2018-02-02T12:44:52Z
org.gbifname-parser,"add","","2.24",2018-02-01T10:53:35Z
org.gbifname-parser,"remove","2.24","",2018-02-01T10:52:50Z
org.gbifname-parser,"add","","2.24",2018-02-01T10:32:28Z
org.gbifname-parser,"remove","2.24","",2018-01-29T16:42:41Z
org.gbifname-parser,"update","2.21","2.24",2017-11-17T03:48:33Z
org.gbifname-parser,"add","","2.21",2017-11-15T00:17:55Z
org.gbifname-parser,"remove","2.21","",2017-09-29T01:09:31Z
org.gbifname-parser,"add","","2.21",2017-06-20T03:04:02Z
org.gbifname-parser,"remove","2.21","",2017-05-05T09:45:48Z
org.gbifname-parser,"add","","2.21",2017-04-05T05:37:45Z
org.gbifdwca-io,"remove","1.27","",2021-10-04T22:21:48Z
org.gbifdwca-io,"update","1.32","1.27",2018-11-19T23:58:50Z
org.gbifdwca-io,"update","1.27","1.32",2018-11-19T01:06:15Z
org.gbifdwca-io,"update","1.32","1.27",2018-06-14T06:56:34Z
org.gbifdwca-io,"update","1.27","1.32",2018-06-14T05:02:30Z
org.gbifdwca-io,"update","1.32","1.27",2018-02-02T12:44:52Z
org.gbifdwca-io,"update","1.27","1.32",2018-02-01T10:53:35Z
org.gbifdwca-io,"update","1.32","1.27",2018-02-01T10:52:50Z
org.gbifdwca-io,"update","1.27","1.32",2018-02-01T10:32:28Z
org.gbifdwca-io,"update","1.32","1.27",2018-01-29T16:42:41Z
org.gbifdwca-io,"update","1.24","1.32",2017-11-17T03:48:33Z
org.gbifdwca-io,"update","1.27","1.24",2017-11-15T00:17:55Z
org.gbifdwca-io,"update","1.24","1.27",2017-09-29T01:09:31Z
org.gbifdwca-io,"update","1.23","1.24",2017-09-07T04:45:37Z
org.gbifdwca-io,"update","1.27","1.23",2017-06-20T03:04:02Z
org.gbifdwca-io,"add","","1.27",2017-05-05T09:45:48Z
org.gbifdwca-io,"remove","1.27","",2017-04-05T05:37:45Z
org.gbifdwca-io,"add","","1.27",2016-07-25T11:44:41Z
com.fasterxml.jackson.corejackson-annotations,"update","2.8.9","2.12.3",2021-06-08T04:47:28Z
com.fasterxml.jackson.corejackson-annotations,"add","","2.8.9",2018-11-19T01:06:15Z
com.fasterxml.jackson.corejackson-annotations,"remove","2.8.9","",2018-06-14T06:56:34Z
com.fasterxml.jackson.corejackson-annotations,"add","","2.8.9",2018-06-14T05:02:30Z
com.fasterxml.jackson.corejackson-annotations,"remove","2.8.9","",2018-02-02T12:44:52Z
com.fasterxml.jackson.corejackson-annotations,"add","","2.8.9",2018-02-01T10:53:35Z
com.fasterxml.jackson.corejackson-annotations,"remove","2.8.9","",2018-02-01T10:52:50Z
com.fasterxml.jackson.corejackson-annotations,"add","","2.8.9",2018-02-01T10:32:28Z
com.fasterxml.jackson.corejackson-annotations,"remove","2.8.9","",2018-01-29T16:42:41Z
com.fasterxml.jackson.corejackson-annotations,"update","2.8.8","2.8.9",2017-11-17T03:48:33Z
com.fasterxml.jackson.corejackson-annotations,"add","","2.8.8",2017-11-15T00:17:55Z
com.fasterxml.jackson.corejackson-annotations,"remove","2.8.8","",2017-09-29T01:09:31Z
com.fasterxml.jackson.corejackson-annotations,"add","","2.8.8",2017-06-20T03:04:02Z
com.opencsvopencsv,"remove","4.1","",2021-10-04T22:21:48Z
com.opencsvopencsv,"add","","4.1",2018-11-19T23:58:50Z
com.opencsvopencsv,"remove","4.1","",2018-11-19T01:06:15Z
com.opencsvopencsv,"add","","4.1",2018-06-14T06:56:34Z
com.opencsvopencsv,"remove","4.1","",2018-06-14T05:02:30Z
com.opencsvopencsv,"add","","4.1",2018-05-08T01:34:37Z
org.apache.lucenelucene-analyzers,"remove","3.4.0","",2013-02-05T01:36:40Z
org.apache.lucenelucene-analyzers,"update","2.9.2","3.4.0",2012-05-21T01:36:05Z
commons-clicommons-cli,"remove","1.2","",2021-10-04T22:21:48Z
commons-clicommons-cli,"add","","1.2",2014-03-20T22:25:57Z
junitjunit,"update","4.12","4.13.1",2021-02-08T05:28:29Z
junitjunit,"update","4.13.1","4.12",2021-02-08T03:15:08Z
junitjunit,"update","4.12","4.13.1",2020-10-13T22:49:19Z
junitjunit,"update","4.4","4.12",2018-11-19T01:06:15Z
junitjunit,"update","4.12","4.4",2018-06-14T06:56:34Z
junitjunit,"update","4.4","4.12",2018-06-14T05:02:30Z
junitjunit,"update","4.12","4.4",2018-02-02T12:44:52Z
junitjunit,"update","4.4","4.12",2018-02-01T10:53:35Z
junitjunit,"update","4.12","4.4",2018-02-01T10:52:50Z
junitjunit,"update","4.4","4.12",2018-02-01T10:32:28Z
junitjunit,"update","4.12","4.4",2018-01-29T16:42:41Z
junitjunit,"update","4.4","4.12",2017-09-07T23:24:28Z
junitjunit,"update","4.12","4.4",2017-06-20T03:04:02Z
junitjunit,"update","4.4","4.12",2017-06-15T06:06:50Z
org.gbif.checklistbankchecklistbank-common,"remove","2.61","",2021-10-04T22:21:48Z
org.gbif.checklistbankchecklistbank-common,"add","","2.61",2018-11-19T01:06:15Z
org.gbif.checklistbankchecklistbank-common,"remove","2.61","",2018-06-14T06:56:34Z
org.gbif.checklistbankchecklistbank-common,"add","","2.61",2018-06-14T05:02:30Z
org.gbif.checklistbankchecklistbank-common,"remove","2.61","",2018-02-02T12:44:52Z
org.gbif.checklistbankchecklistbank-common,"add","","2.61",2018-02-01T10:53:35Z
org.gbif.checklistbankchecklistbank-common,"remove","2.61","",2018-02-01T10:52:50Z
org.gbif.checklistbankchecklistbank-common,"add","","2.61",2018-02-01T10:32:28Z
org.gbif.checklistbankchecklistbank-common,"remove","2.61","",2018-01-29T16:42:41Z
org.gbif.checklistbankchecklistbank-common,"update","2.52","2.61",2017-11-17T03:48:33Z
org.gbif.checklistbankchecklistbank-common,"add","","2.52",2017-11-15T00:17:55Z
org.gbif.checklistbankchecklistbank-common,"remove","2.52","",2017-09-29T01:09:31Z
org.gbif.checklistbankchecklistbank-common,"add","","2.52",2017-06-20T03:04:02Z
org.gbif.checklistbankchecklistbank-common,"remove","2.52","",2017-05-05T09:45:48Z
org.gbif.checklistbankchecklistbank-common,"add","","2.52",2017-04-05T05:37:45Z
commons-dbcpcommons-dbcp,"remove","1.2.1","",2012-01-23T02:41:14Z
com.fasterxml.jackson.corejackson-core,"update","2.8.9","2.12.3",2021-06-08T04:47:28Z
com.fasterxml.jackson.corejackson-core,"add","","2.8.9",2018-11-19T01:06:15Z
com.fasterxml.jackson.corejackson-core,"remove","2.8.9","",2018-06-14T06:56:34Z
com.fasterxml.jackson.corejackson-core,"add","","2.8.9",2018-06-14T05:02:30Z
com.fasterxml.jackson.corejackson-core,"remove","2.8.9","",2018-02-02T12:44:52Z
com.fasterxml.jackson.corejackson-core,"add","","2.8.9",2018-02-01T10:53:35Z
com.fasterxml.jackson.corejackson-core,"remove","2.8.9","",2018-02-01T10:52:50Z
com.fasterxml.jackson.corejackson-core,"add","","2.8.9",2018-02-01T10:32:28Z
com.fasterxml.jackson.corejackson-core,"remove","2.8.9","",2018-01-29T16:42:41Z
com.fasterxml.jackson.corejackson-core,"update","2.8.8","2.8.9",2017-11-17T03:48:33Z
com.fasterxml.jackson.corejackson-core,"add","","2.8.8",2017-11-15T00:17:55Z
com.fasterxml.jackson.corejackson-core,"remove","2.8.8","",2017-09-29T01:09:31Z
com.fasterxml.jackson.corejackson-core,"add","","2.8.8",2017-06-20T03:04:02Z
