library,type,old_version,new_version,commit_date
com.luceneikAnalyzer,"remove","6.6.0","",2019-07-16T15:25:29Z
org.opensymphony.quartzquartz,"remove","1.6.1","",2019-07-19T15:11:49Z
org.wltea.ik-analyzerik-analyzer,"add","","8.1.0",2019-07-16T15:25:29Z
com.alibabafastjson,"add","","1.2.58",2019-08-04T11:16:59Z
org.quartz-schedulerquartz-jobs,"remove","2.2.3","",2019-07-19T15:11:49Z
org.apache.shiroshiro-spring,"add","","1.4.1",2019-07-19T15:11:49Z
org.apache.shiroshiro-all,"remove","1.4.1","",2019-07-19T15:11:49Z
com.baiduueditor,"remove","1.1.2","",2019-10-31T05:36:49Z
com.qcloudcos_api,"add","","5.6.8",2019-10-23T14:34:03Z
org.jsonjson,"remove","20180813","",2019-10-31T05:36:49Z
org.springframework.bootspring-boot-starter-mail,"add","","unknown",2019-07-16T15:25:29Z
org.springframework.bootspring-boot-starter-undertow,"add","","unknown",2019-10-06T04:48:28Z
org.quartz-schedulerquartz,"remove","2.2.3","",2019-07-19T15:11:49Z
org.apache.shiroshiro-ehcache,"add","","1.4.1",2019-07-19T15:11:49Z
