library,type,old_version,new_version,commit_date
org.apache.solrsolr-solrj,"remove","8.11.1","",2023-01-24T17:37:49Z
org.apache.solrsolr-solrj,"update","8.9.0","8.11.1",2022-01-08T02:48:41Z
org.apache.solrsolr-solrj,"add","","8.9.0",2021-09-24T12:24:59Z
io.springfoxspringfox-boot-starter,"add","","3.0.0",2022-01-08T14:07:21Z
io.springfoxspringfox-boot-starter,"remove","3.0.0","",2021-12-19T02:50:01Z
org.apache.commonscommons-lang3,"update","3.11","3.12.0",2021-03-31T11:03:53Z
io.springfoxspringfox-swagger2,"remove","2.9.2","",2022-01-08T14:07:21Z
io.springfoxspringfox-swagger2,"add","","2.9.2",2021-12-19T02:50:01Z
com.google.guavaguava,"update","31.0.1-jre","31.1-jre",2023-01-24T17:37:49Z
com.google.guavaguava,"update","30.1.1-jre","31.0.1-jre",2021-09-30T12:22:13Z
com.google.guavaguava,"update","30.1-jre","30.1.1-jre",2021-03-31T11:03:53Z
com.google.guavaguava,"add","","30.1-jre",2021-03-29T11:25:14Z
org.projectlomboklombok,"update","1.18.22","1.18.24",2023-01-24T17:37:49Z
org.projectlomboklombok,"update","1.18.20","1.18.22",2022-01-08T02:48:41Z
org.projectlomboklombok,"update","1.18.18","1.18.20",2021-06-01T03:48:14Z
org.projectlomboklombok,"update","1.18.16","1.18.18",2021-03-31T11:03:53Z
org.springframework.bootspring-boot-starter-websocket,"add","","unknown",2021-03-29T11:25:14Z
net.logstash.logbacklogstash-logback-encoder,"remove","7.0.1","",2023-01-24T17:37:49Z
net.logstash.logbacklogstash-logback-encoder,"update","6.6","7.0.1",2022-01-08T02:48:41Z
net.logstash.logbacklogstash-logback-encoder,"add","","6.6",2021-06-02T12:19:13Z
com.alibaba.fastjson2fastjson2,"add","","2.0.23",2023-01-24T17:37:49Z
jakarta.validationjakarta.validation-api,"add","","3.0.2",2023-01-24T17:37:49Z
cn.hutoolhutool-all,"update","5.7.18","5.8.11",2023-01-24T17:37:49Z
cn.hutoolhutool-all,"update","5.7.13","5.7.18",2022-01-08T02:48:41Z
cn.hutoolhutool-all,"update","5.6.6","5.7.13",2021-09-30T12:22:13Z
cn.hutoolhutool-all,"update","5.6.2","5.6.6",2021-06-01T03:48:14Z
cn.hutoolhutool-all,"update","5.5.1","5.6.2",2021-03-31T11:03:53Z
com.mysqlmysql-connector-j,"add","","8.0.32",2023-01-24T17:37:49Z
org.modelmappermodelmapper,"update","3.0.0","3.1.1",2023-01-24T17:37:49Z
org.modelmappermodelmapper,"update","2.4.4","3.0.0",2022-01-08T02:48:41Z
org.modelmappermodelmapper,"add","","2.4.4",2021-06-03T06:29:40Z
org.apache.solrsolr-core,"remove","8.11.1","",2023-01-24T17:37:49Z
org.apache.solrsolr-core,"update","8.9.0","8.11.1",2022-01-08T02:48:41Z
org.apache.solrsolr-core,"add","","8.9.0",2021-09-24T12:24:59Z
org.apache.lucenelucene-highlighter,"update","8.11.1","9.4.2",2023-01-24T17:37:49Z
org.apache.lucenelucene-highlighter,"update","8.9.0","8.11.1",2022-01-08T02:48:41Z
org.apache.lucenelucene-highlighter,"add","","8.9.0",2021-09-30T11:54:08Z
org.apache.lucenelucene-analyzers-smartcn,"update","8.11.1","8.11.2",2023-01-24T17:37:49Z
org.apache.lucenelucene-analyzers-smartcn,"update","8.9.0","8.11.1",2022-01-08T02:48:41Z
org.apache.lucenelucene-analyzers-smartcn,"add","","8.9.0",2021-09-30T11:54:08Z
com.alibabadruid,"remove","1.2.8","",2023-01-24T17:37:49Z
com.alibabadruid,"update","1.2.7","1.2.8",2022-01-08T02:48:41Z
com.alibabadruid,"update","1.2.6","1.2.7",2021-09-30T12:22:13Z
com.alibabadruid,"update","1.2.5","1.2.6",2021-06-01T03:48:14Z
com.alibabadruid,"update","1.2.4","1.2.5",2021-03-31T11:03:53Z
org.springframework.bootspring-boot-configuration-processor,"remove","unknown","",2021-06-02T12:19:13Z
org.springframework.bootspring-boot-configuration-processor,"add","","unknown",2021-06-01T10:29:12Z
com.baomidoumybatis-plus-boot-starter,"update","3.5.0","3.5.3.1",2023-01-24T17:37:49Z
com.baomidoumybatis-plus-boot-starter,"update","3.4.3.4","3.5.0",2022-01-08T02:48:41Z
com.baomidoumybatis-plus-boot-starter,"update","3.4.2","3.4.3.4",2021-09-30T12:22:13Z
com.baomidoumybatis-plus-boot-starter,"update","3.4.1","3.4.2",2021-03-31T11:03:53Z
com.alibabafastjson,"remove","1.2.79","",2023-01-24T17:37:49Z
com.alibabafastjson,"update","1.2.78","1.2.79",2022-01-08T02:48:41Z
com.alibabafastjson,"update","1.2.76","1.2.78",2021-09-30T12:22:13Z
com.alibabafastjson,"update","1.2.75","1.2.76",2021-06-01T03:48:14Z
org.springframework.bootspring-boot-starter,"remove","unknown","",2021-03-29T09:10:42Z
org.apache.lucenelucene-queryparser,"update","8.11.1","9.4.2",2023-01-24T17:37:49Z
org.apache.lucenelucene-queryparser,"update","8.9.0","8.11.1",2022-01-08T02:48:41Z
org.apache.lucenelucene-queryparser,"add","","8.9.0",2021-09-30T11:54:08Z
mysqlmysql-connector-java,"remove","8.0.27","",2023-01-24T17:37:49Z
mysqlmysql-connector-java,"update","8.0.26","8.0.27",2022-01-08T02:48:41Z
mysqlmysql-connector-java,"update","8.0.23","8.0.26",2021-09-30T12:22:13Z
mysqlmysql-connector-java,"update","8.0.22","8.0.23",2021-03-31T11:03:53Z
com.auth0java-jwt,"add","","4.2.2",2023-02-02T10:21:53Z
io.springfoxspringfox-swagger-ui,"remove","2.9.2","",2022-01-08T14:07:21Z
io.springfoxspringfox-swagger-ui,"add","","2.9.2",2021-12-19T02:50:01Z
io.springfoxspringfox-swagger-ui,"remove","3.0.0","",2021-03-29T09:10:42Z
org.apache.lucenelucene-core,"update","8.11.1","9.4.2",2023-01-24T17:37:49Z
