library,type,old_version,new_version,commit_date
com.fasterxml.jackson.corejackson-databind,"add","","2.9.8",2019-04-03T13:37:25Z
org.seleniumhq.seleniumselenium-java,"remove","3.141.59","",2019-04-01T09:58:21Z
org.seleniumhq.seleniumselenium-java,"add","","3.141.59",2019-03-10T08:02:33Z
org.apache.lucenelucene-analyzers-smartcn,"remove","6.6.1","",2019-03-03T08:15:03Z
org.apache.commonscommons-pool2,"remove","2.6.0","",2019-02-08T11:10:28Z
org.apache.commonscommons-pool2,"add","","2.6.0",2019-02-01T15:30:51Z
org.ansjansj_seg,"update","5.1.1","5.1.6",2019-03-05T07:46:32Z
org.ansjansj_seg,"add","","5.1.1",2019-02-14T07:25:40Z
commons-clicommons-cli,"add","","1.4",2018-11-18T07:41:07Z
mysqlmysql-connector-java,"update","6.0.6","8.0.15",2019-03-02T08:19:42Z
org.ansjansj_lucene6_plug,"add","","5.1.2.0",2019-03-03T08:15:03Z
com.zaxxerHikariCP,"remove","2.7.8","",2019-02-08T11:10:28Z
