library,type,old_version,new_version,commit_date
org.apache.lucenelucene-backward-codecs,"add","","5.5.1",2016-07-17T11:05:43Z
org.springframework.dataspring-data-mongodb,"remove","1.7.0.RELEASE","",2018-05-10T15:39:11Z
org.springframework.dataspring-data-mongodb,"add","","1.7.0.RELEASE",2017-05-30T10:51:51Z
org.apache.solrsolr-solrj,"remove","6.0.1","",2016-09-24T19:46:02Z
org.apache.solrsolr-solrj,"add","","6.0.1",2016-06-20T02:28:29Z
com.fasterxml.jackson.corejackson-databind,"update","2.4.1","2.9.10.3",2020-03-14T06:09:24Z
com.fasterxml.jackson.corejackson-databind,"update","2.9.10.3","2.4.1",2020-03-14T06:08:25Z
com.fasterxml.jackson.corejackson-databind,"update","2.4.1","2.9.10.3",2020-03-04T22:00:10Z
com.fasterxml.jackson.corejackson-databind,"add","","2.4.1",2016-03-29T04:35:21Z
org.apache.httpcomponentshttpclient,"update","4.3.5","4.5.1",2018-10-28T10:10:25Z
org.apache.httpcomponentshttpclient,"add","","4.3.5",2016-03-29T04:35:21Z
org.projectlomboklombok,"add","","1.18.6",2019-04-14T04:03:03Z
org.projectlomboklombok,"remove","1.18.6","",2019-03-10T09:48:53Z
org.projectlomboklombok,"add","","1.18.6",2019-02-25T15:44:16Z
org.codehaus.jacksonjackson-core-asl,"add","","1.9.13",2016-03-29T04:35:21Z
com.itextpdfitext-asian,"add","","5.2.0",2016-08-12T23:37:01Z
org.jsonjson,"update","20141113","20140107",2016-04-02T17:23:00Z
org.jsonjson,"add","","20141113",2016-03-29T04:35:21Z
org.springframeworkspring-context-support,"update","4.2.0.RELEASE","5.2.3.RELEASE",2020-03-14T06:08:25Z
org.springframeworkspring-context-support,"update","5.2.3.RELEASE","4.2.0.RELEASE",2020-03-04T22:00:10Z
org.springframeworkspring-context-support,"update","4.2.0.RELEASE","5.2.3.RELEASE",2020-02-16T15:57:45Z
org.springframeworkspring-context-support,"add","","4.2.0.RELEASE",2016-09-04T09:18:14Z
org.apache.poipoi-scratchpad,"update","3.0.2-FINAL","3.10-FINAL",2016-07-03T09:49:53Z
org.apache.poipoi-scratchpad,"add","","3.0.2-FINAL",2016-07-02T16:58:28Z
com.lowagieitext,"add","","4.2.1",2016-04-08T14:15:35Z
junitjunit,"update","3.8.1","4.11",2016-10-22T14:17:11Z
com.aliyun.ossaliyun-sdk-oss,"add","","2.8.2",2018-10-28T10:10:25Z
org.apache.poipoi-examples,"add","","3.10-FINAL",2016-07-03T09:49:53Z
org.springframeworkspring-webmvc,"update","4.2.0.RELEASE","5.2.3.RELEASE",2020-03-14T06:08:25Z
org.springframeworkspring-webmvc,"update","5.2.3.RELEASE","4.2.0.RELEASE",2020-03-04T22:00:10Z
org.springframeworkspring-webmvc,"update","4.2.0.RELEASE","5.2.3.RELEASE",2020-02-16T15:57:45Z
org.springframeworkspring-webmvc,"add","","4.2.0.RELEASE",2016-03-29T04:35:21Z
org.hibernatehibernate-validator,"remove","5.2.1.Final","",2017-12-29T15:34:28Z
org.hibernatehibernate-validator,"add","","5.2.1.Final",2016-03-29T04:35:21Z
org.apache.poipoi-ooxml,"add","","3.10-FINAL",2016-07-03T09:49:53Z
com.alibabadruid,"add","","1.0.14",2017-09-03T08:46:58Z
com.alibabafastjson,"update","1.2.7","1.2.25",2020-03-14T06:08:25Z
com.alibabafastjson,"update","1.2.25","1.2.7",2020-02-16T15:57:45Z
com.alibabafastjson,"update","1.2.7","1.2.25",2020-02-16T15:57:10Z
com.alibabafastjson,"add","","1.2.7",2016-10-01T10:35:51Z
org.springframeworkspring-test,"update","4.2.0.RELEASE","5.2.3.RELEASE",2020-03-14T06:08:25Z
org.springframeworkspring-test,"update","5.2.3.RELEASE","4.2.0.RELEASE",2020-03-04T22:00:10Z
org.springframeworkspring-test,"update","4.2.0.RELEASE","5.2.3.RELEASE",2020-02-16T15:57:45Z
org.springframeworkspring-test,"add","","4.2.0.RELEASE",2016-09-24T19:46:02Z
org.apache.httpcomponentshttpcore,"add","","4.4.3",2018-10-28T10:10:25Z
mysqlmysql-connector-java,"update","5.1.34","8.0.13",2019-01-13T07:56:37Z
mysqlmysql-connector-java,"update","8.0.13","5.1.34",2019-01-12T18:02:56Z
mysqlmysql-connector-java,"update","5.1.34","8.0.13",2019-01-09T06:09:50Z
mysqlmysql-connector-java,"add","","5.1.34",2016-03-29T04:35:21Z
org.freemarkerfreemarker,"add","","2.3.28",2018-05-10T15:39:11Z
org.apache.lucenelucene-core,"update","6.0.1","5.5.1",2016-06-14T14:07:24Z
org.apache.lucenelucene-core,"add","","6.0.1",2016-06-11T08:44:24Z
org.mybatis.generatormybatis-generator-core,"update","1.3.2","1.3.7",2019-01-13T07:56:37Z
org.mybatis.generatormybatis-generator-core,"update","1.3.7","1.3.2",2019-01-12T18:02:56Z
org.mybatis.generatormybatis-generator-core,"update","1.3.2","1.3.7",2019-01-09T06:09:50Z
org.mybatis.generatormybatis-generator-core,"add","","1.3.2",2017-08-13T06:11:46Z
org.glassfish.webjavax.el,"add","","2.2.4",2016-09-24T19:46:02Z
org.springframeworkspring-expression,"update","4.2.0.RELEASE","5.2.3.RELEASE",2020-03-14T06:08:25Z
org.springframeworkspring-expression,"update","5.2.3.RELEASE","4.2.0.RELEASE",2020-03-04T22:00:10Z
org.springframeworkspring-expression,"update","4.2.0.RELEASE","5.2.3.RELEASE",2020-02-16T15:57:45Z
org.springframeworkspring-expression,"add","","4.2.0.RELEASE",2016-03-29T04:35:21Z
org.apache.lucenelucene-analyzers-common,"update","6.0.1","5.5.1",2016-06-14T14:07:24Z
org.apache.lucenelucene-analyzers-common,"add","","6.0.1",2016-06-11T08:44:24Z
redis.clientsjedis,"remove","2.8.0","",2018-05-10T15:39:11Z
redis.clientsjedis,"add","","2.8.0",2016-07-10T08:46:09Z
jstljstl,"add","","1.2",2016-03-29T04:35:21Z
com.google.code.gsongson,"remove","2.3","",2016-06-21T14:32:12Z
com.google.code.gsongson,"add","","2.3",2016-06-20T02:28:29Z
org.springframeworkspring-core,"update","4.2.0.RELEASE","5.2.3.RELEASE",2020-03-14T06:08:25Z
org.springframeworkspring-core,"update","5.2.3.RELEASE","4.2.0.RELEASE",2020-03-04T22:00:10Z
org.springframeworkspring-core,"update","4.2.0.RELEASE","5.2.3.RELEASE",2020-02-16T15:57:45Z
org.springframeworkspring-core,"add","","4.2.0.RELEASE",2016-03-29T04:35:21Z
org.mongodbmongo-java-driver,"remove","3.0.0","",2018-05-10T15:39:11Z
org.mongodbmongo-java-driver,"add","","3.0.0",2017-05-30T10:51:51Z
org.springframeworkspring-context,"update","4.2.0.RELEASE","5.2.3.RELEASE",2020-03-14T06:08:25Z
org.springframeworkspring-context,"update","5.2.3.RELEASE","4.2.0.RELEASE",2020-03-04T22:00:10Z
org.springframeworkspring-context,"update","4.2.0.RELEASE","5.2.3.RELEASE",2020-02-16T15:57:45Z
org.springframeworkspring-context,"add","","4.2.0.RELEASE",2016-03-29T04:35:21Z
com.google.guavaguava,"update","25.1-android","27.1-jre",2019-03-31T08:42:39Z
com.google.guavaguava,"update","23.6-jre","25.1-android",2018-06-12T14:31:08Z
com.google.guavaguava,"add","","23.6-jre",2017-12-29T15:34:28Z
org.slf4jslf4j-api,"add","","1.7.25",2018-11-17T08:34:02Z
javax.eljavax.el-api,"add","","2.2.4",2016-09-24T19:46:02Z
log4jlog4j,"add","","1.2.17",2016-03-29T04:35:21Z
org.apache.poipoi,"add","","3.10-FINAL",2016-07-03T09:49:53Z
org.springframeworkspring-beans,"update","4.2.0.RELEASE","5.2.3.RELEASE",2020-03-14T06:08:25Z
org.springframeworkspring-beans,"update","5.2.3.RELEASE","4.2.0.RELEASE",2020-03-04T22:00:10Z
org.springframeworkspring-beans,"update","4.2.0.RELEASE","5.2.3.RELEASE",2020-02-16T15:57:45Z
org.springframeworkspring-beans,"add","","4.2.0.RELEASE",2016-03-29T04:35:21Z
org.springframeworkspring-orm,"update","4.2.0.RELEASE","5.2.3.RELEASE",2020-03-14T06:08:25Z
org.springframeworkspring-orm,"update","5.2.3.RELEASE","4.2.0.RELEASE",2020-03-04T22:00:10Z
org.springframeworkspring-orm,"update","4.2.0.RELEASE","5.2.3.RELEASE",2020-02-16T15:57:45Z
org.springframeworkspring-orm,"add","","4.2.0.RELEASE",2016-03-29T04:35:21Z
com.fasterxml.jackson.corejackson-annotations,"add","","2.4.0",2016-03-29T04:35:21Z
commons-configurationcommons-configuration,"remove","1.10","",2016-10-02T06:18:33Z
commons-configurationcommons-configuration,"add","","1.10",2016-07-10T08:46:09Z
org.springframeworkspring-tx,"update","4.2.0.RELEASE","5.2.3.RELEASE",2020-03-14T06:08:25Z
