library,type,old_version,new_version,commit_date
org.apache.lucenelucene-backward-codecs,"update","9.10.0","10.0.0",2024-10-28T19:55:25Z
org.apache.lucenelucene-backward-codecs,"update","9.8.0","9.10.0",2024-04-27T15:44:54Z
org.apache.lucenelucene-backward-codecs,"update","9.7.0","9.8.0",2023-12-06T14:19:08Z
org.apache.lucenelucene-backward-codecs,"update","9.5.0","9.7.0",2023-07-27T08:27:41Z
org.apache.lucenelucene-backward-codecs,"update","9.4.0","9.5.0",2023-02-16T14:18:55Z
org.apache.lucenelucene-backward-codecs,"update","9.3.0","9.4.0",2022-10-18T21:59:19Z
org.apache.lucenelucene-backward-codecs,"update","9.2.0","9.3.0",2022-08-19T21:05:52Z
org.apache.lucenelucene-backward-codecs,"update","9.1.0","9.2.0",2022-06-16T09:11:37Z
org.apache.lucenelucene-backward-codecs,"update","9.0.0","9.1.0",2022-03-28T17:03:02Z
org.apache.lucenelucene-backward-codecs,"update","8.11.0","9.0.0",2021-12-19T15:39:18Z
org.apache.lucenelucene-backward-codecs,"update","8.10.0","8.11.0",2021-11-26T14:22:06Z
org.apache.lucenelucene-analysis-common,"update","9.10.0","10.0.0",2024-10-28T19:55:25Z
org.apache.lucenelucene-analysis-common,"update","9.8.0","9.10.0",2024-04-27T15:44:54Z
org.apache.lucenelucene-analysis-common,"update","9.7.0","9.8.0",2023-12-06T14:19:08Z
org.apache.lucenelucene-analysis-common,"update","9.5.0","9.7.0",2023-07-27T08:27:41Z
org.apache.lucenelucene-analysis-common,"update","9.4.0","9.5.0",2023-02-16T14:18:55Z
org.apache.lucenelucene-analysis-common,"update","9.3.0","9.4.0",2022-10-18T21:59:19Z
org.apache.lucenelucene-analysis-common,"update","9.2.0","9.3.0",2022-08-19T21:05:52Z
org.apache.lucenelucene-analysis-common,"update","9.1.0","9.2.0",2022-06-16T09:11:37Z
org.apache.lucenelucene-analysis-common,"update","9.0.0","9.1.0",2022-03-28T17:03:02Z
org.apache.lucenelucene-analysis-common,"add","","9.0.0",2021-12-19T15:39:18Z
javax.xml.bindjaxb-api,"remove","2.4.0-b180830.0359","",2024-05-16T10:08:49Z
commons-loggingcommons-logging,"update","1.3.1","1.3.4",2024-10-28T19:55:25Z
commons-loggingcommons-logging,"update","1.3.0","1.3.1",2024-05-16T10:08:49Z
commons-loggingcommons-logging,"update","1.2","1.3.0",2024-04-27T15:44:54Z
commons-loggingcommons-logging,"add","","1.2",2022-04-06T16:46:10Z
org.junit.jupiterjunit-jupiter-api,"update","5.10.2","5.11.2",2024-10-28T19:55:25Z
org.junit.jupiterjunit-jupiter-api,"add","","5.10.2",2024-05-16T10:08:49Z
com.puppycrawl.toolscheckstyle,"update","9.2","10.16.0",2024-05-16T10:08:49Z
com.puppycrawl.toolscheckstyle,"add","","9.2",2021-12-20T14:21:04Z
org.apache.lucenelucene-queryparser,"update","9.10.0","10.0.0",2024-10-28T19:55:25Z
org.apache.lucenelucene-queryparser,"update","9.8.0","9.10.0",2024-04-27T15:44:54Z
org.apache.lucenelucene-queryparser,"update","9.7.0","9.8.0",2023-12-06T14:19:08Z
org.apache.lucenelucene-queryparser,"update","9.5.0","9.7.0",2023-07-27T08:27:41Z
org.apache.lucenelucene-queryparser,"update","9.4.0","9.5.0",2023-02-16T14:18:55Z
org.apache.lucenelucene-queryparser,"update","9.3.0","9.4.0",2022-10-18T21:59:19Z
org.apache.lucenelucene-queryparser,"update","9.2.0","9.3.0",2022-08-19T21:05:52Z
org.apache.lucenelucene-queryparser,"update","9.1.0","9.2.0",2022-06-16T09:11:37Z
org.apache.lucenelucene-queryparser,"update","9.0.0","9.1.0",2022-03-28T17:03:02Z
org.apache.lucenelucene-queryparser,"update","8.11.0","9.0.0",2021-12-19T15:39:18Z
org.apache.lucenelucene-queryparser,"update","8.10.0","8.11.0",2021-11-26T14:22:06Z
com.erudikapara-core,"update","1.50.2","1.50.3",2024-10-31T09:24:14Z
com.erudikapara-core,"update","1.50.0","1.50.2",2024-10-28T19:55:25Z
com.erudikapara-core,"update","1.50.0-SNAPSHOT","1.50.0",2024-05-16T10:08:49Z
