library,type,old_version,new_version,commit_date
org.kitesdkkite-morphlines-solr-core,"remove","1.1.0","",2020-09-16T20:53:26Z
org.kitesdkkite-morphlines-solr-core,"add","","1.1.0",2017-05-11T00:03:56Z
org.kitesdkkite-morphlines-solr-core,"remove","1.1.0","",2017-05-10T17:47:33Z
org.apache.lucenelucene-backward-codecs,"remove","6.4.2","",2017-05-10T17:47:33Z
org.apache.solrsolr-solrj,"remove","6.4.2","",2017-05-10T17:47:33Z
org.apache.hadoophadoop-mapreduce-client-core,"update","2.6.0-cdh5.11.0","2.6.0-cdh5.13.0",2017-10-27T23:25:08Z
org.apache.hadoophadoop-mapreduce-client-core,"update","2.6.0-cdh5.10.0","2.6.0-cdh5.11.0",2017-05-10T17:47:33Z
com.factualshaded-solr,"update","7.7.2.6-SNAPSHOT","7.7.2.6",2020-09-22T17:17:37Z
com.factualshaded-solr,"update","6.4.2-SNAPSHOT","7.7.2.6-SNAPSHOT",2020-09-16T20:53:26Z
com.factualshaded-solr,"add","","6.4.2-SNAPSHOT",2017-05-10T17:47:33Z
org.kitesdkkite-morphlines-solr-cell,"remove","1.1.0","",2020-09-16T20:53:26Z
org.kitesdkkite-morphlines-solr-cell,"add","","1.1.0",2017-05-11T00:03:56Z
org.kitesdkkite-morphlines-solr-cell,"remove","1.1.0","",2017-05-10T17:47:33Z
org.apache.solrsolr-core,"remove","6.4.2","",2017-05-10T17:47:33Z
com.factual.solr.indexingsolr-morphlines-shaded,"update","1.0.0-SNAPSHOT","1.0.0",2020-09-22T17:17:37Z
com.factual.solr.indexingsolr-morphlines-shaded,"add","","1.0.0-SNAPSHOT",2020-09-16T20:53:26Z
org.apache.httpcomponentshttpclient,"add","","4.4.1",2017-05-11T00:03:56Z
org.apache.httpcomponentshttpclient,"remove","4.4.1","",2017-05-10T17:47:33Z
org.apache.httpcomponentshttpmime,"add","","4.4.1",2017-05-11T00:03:56Z
org.apache.httpcomponentshttpmime,"remove","4.4.1","",2017-05-10T17:47:33Z
org.apache.httpcomponentshttpcore,"add","","4.4.1",2017-05-11T00:03:56Z
org.apache.httpcomponentshttpcore,"remove","4.4.1","",2017-05-10T17:47:33Z
org.apache.solrsolr-morphlines-core,"remove","6.4.2","",2020-09-16T20:53:26Z
org.apache.solrsolr-morphlines-core,"add","","6.4.2",2017-05-11T00:03:56Z
org.apache.solrsolr-morphlines-core,"remove","6.4.2","",2017-05-10T17:47:33Z
com.factualopp,"remove","5.0.0-SNAPSHOT","",2017-05-11T00:03:56Z
com.factualopp,"add","","5.0.0-SNAPSHOT",2017-05-10T17:47:33Z
org.apache.lucenelucene-codecs,"remove","6.4.2","",2017-05-10T17:47:33Z
org.apache.hadoophadoop-common,"update","2.6.0-cdh5.11.0","2.6.0-cdh5.13.0",2017-10-27T23:25:08Z
org.apache.hadoophadoop-common,"update","2.6.0-cdh5.10.0","2.6.0-cdh5.11.0",2017-05-10T17:47:33Z
org.apache.hadoophadoop-hdfs,"update","2.6.0-cdh5.11.0","2.6.0-cdh5.13.0",2017-10-27T23:25:08Z
org.apache.hadoophadoop-hdfs,"update","2.6.0-cdh5.10.0","2.6.0-cdh5.11.0",2017-05-10T17:47:33Z
org.kitesdkkite-morphlines-core,"remove","1.1.0","",2017-05-10T17:47:33Z
