library,type,old_version,new_version,commit_date
org.apache.logging.log4jlog4j-api,"update","2.17.2","2.23.1",2024-12-16T22:49:51Z
org.apache.logging.log4jlog4j-api,"update","2.14.1","2.17.2",2022-04-05T21:55:56Z
org.apache.poipoi-ooxml,"update","5.2.2","5.2.5",2024-03-02T17:06:30Z
org.apache.poipoi-ooxml,"update","5.0.0","5.2.2",2022-04-05T21:55:56Z
org.apache.tikatika-parsers,"remove","1.27","",2022-04-05T21:55:56Z
org.jlinejline,"update","3.21.0","3.25.1",2024-03-02T17:06:30Z
org.apache.lucenelucene-queryparser,"update","9.1.0","9.10.0",2024-03-02T17:06:30Z
org.apache.lucenelucene-queryparser,"update","8.10.1","9.1.0",2022-04-05T21:55:56Z
org.apache.pdfboxpdfbox,"update","2.0.24","2.0.30",2024-12-16T22:49:51Z
org.apache.poipoi,"update","5.2.2","5.2.5",2024-03-02T17:06:30Z
org.apache.poipoi,"update","5.0.0","5.2.2",2022-04-05T21:55:56Z
org.apache.lucenelucene-core,"update","9.1.0","9.10.0",2024-03-02T17:06:30Z
org.apache.lucenelucene-core,"update","8.10.1","9.1.0",2022-04-05T21:55:56Z
org.apache.lucenelucene-codecs,"update","9.1.0","9.10.0",2024-03-02T17:06:30Z
org.apache.lucenelucene-codecs,"update","8.10.1","9.1.0",2022-04-05T21:55:56Z
org.apache.lucenelucene-analyzers-common,"update","8.11.1","8.11.3",2024-03-02T17:06:30Z
org.apache.lucenelucene-analyzers-common,"update","8.10.1","8.11.1",2022-04-05T21:55:56Z
org.apache.poipoi-scratchpad,"update","5.2.2","5.2.5",2024-03-02T17:06:30Z
org.apache.poipoi-scratchpad,"update","5.0.0","5.2.2",2022-04-05T21:55:56Z
org.apache.logging.log4jlog4j-jcl,"update","2.17.2","2.23.1",2024-12-16T22:49:51Z
org.apache.logging.log4jlog4j-jcl,"update","2.14.1","2.17.2",2022-04-05T21:55:56Z
org.apache.logging.log4jlog4j-slf4j-impl,"update","2.17.2","2.23.1",2024-12-16T22:49:51Z
org.apache.logging.log4jlog4j-slf4j-impl,"update","2.14.1","2.17.2",2022-04-05T21:55:56Z
org.apache.logging.log4jlog4j-core,"update","2.17.2","2.23.1",2024-12-16T22:49:51Z
org.apache.logging.log4jlog4j-core,"update","2.14.1","2.17.2",2022-04-05T21:55:56Z
org.apache.tikatika-parsers-standard-package,"update","2.3.0","2.9.1",2024-12-16T22:49:51Z
org.apache.tikatika-parsers-standard-package,"add","","2.3.0",2022-04-05T21:55:56Z
org.apache.tikatika-core,"update","2.3.0","2.9.1",2024-12-16T22:49:51Z
org.apache.tikatika-core,"add","","2.3.0",2022-04-05T21:55:56Z
