library,type,old_version,new_version,commit_date
org.apache.poipoi-ooxml,"add","","3.15",2017-05-28T14:06:07Z
org.apache.commonscommons-lang3,"add","","3.1",2017-07-05T13:57:56Z
commons-httpclientcommons-httpclient,"add","","3.1",2017-07-05T13:57:56Z
commons-codeccommons-codec,"add","","1.10",2017-08-28T16:12:09Z
org.apache.lucenelucene-highlighter,"add","","4.4.0",2017-04-18T04:11:36Z
io.jsonwebtokenjjwt,"add","","0.6.0",2017-05-04T04:15:25Z
javax.mailmail,"add","","1.4.5",2017-07-05T13:57:56Z
net.sourceforge.jexcelapijxl,"add","","2.6.12",2017-08-28T16:12:09Z
commons-fileuploadcommons-fileupload,"add","","1.2.1",2017-05-28T14:06:07Z
org.aspectjaspectjrt,"add","","1.6.10",2017-08-28T16:12:09Z
org.apache.lucenelucene-queryparser,"add","","4.4.0",2017-04-18T04:11:36Z
org.apache.lucenelucene-queryparser,"remove","4.4.0","",2017-04-08T09:28:10Z
org.apache.lucenelucene-queryparser,"add","","4.4.0",2017-04-01T13:05:46Z
org.apache.poipoi,"add","","3.15",2017-05-28T14:06:07Z
org.apache.lucenelucene-core,"add","","4.4.0",2017-04-18T04:11:36Z
org.apache.lucenelucene-core,"remove","4.4.0","",2017-04-08T09:28:10Z
org.apache.lucenelucene-core,"add","","4.4.0",2017-04-01T13:05:46Z
commons-iocommons-io,"add","","1.4",2017-05-28T14:06:07Z
org.apache.lucenelucene-memory,"add","","4.4.0",2017-04-18T04:11:36Z
org.apache.lucenelucene-analyzers-common,"add","","4.4.0",2017-04-18T04:11:36Z
org.aspectjaspectjweaver,"add","","1.6.10",2017-08-28T16:12:09Z
