library,type,old_version,new_version,commit_date
com.google.code.gsongson,"update","2.8.0","2.8.9",2022-05-20T20:54:42Z
org.apache.cassandracassandra-all,"update","4.0.13","4.0.16",2025-02-04T18:32:50Z
org.apache.cassandracassandra-all,"update","4.0.10","4.0.13",2024-07-18T13:49:40Z
org.apache.cassandracassandra-all,"update","3.11.12","4.0.10",2023-07-06T23:51:32Z
org.apache.cassandracassandra-all,"update","3.11.10","3.11.12",2022-02-26T00:46:45Z
org.apache.cassandracassandra-all,"update","3.11.8","3.11.10",2022-02-09T01:02:04Z
org.apache.cassandracassandra-all,"update","3.11.5","3.11.8",2021-05-08T16:48:27Z
org.apache.cassandracassandra-all,"update","3.11.15","3.11.5",2020-10-15T09:03:17Z
org.apache.cassandracassandra-all,"update","3.11.3","3.11.15",2020-10-15T08:57:50Z
junitjunit,"update","4.12","4.13.1",2020-10-14T17:39:31Z
