library,type,old_version,new_version,commit_date
com.jstarcraftjstarcraft-core-storage,"remove","1.0","",2020-03-03T10:29:38Z
com.jstarcraftjstarcraft-core-storage,"add","","1.0",2020-02-21T14:07:57Z
com.jstarcraftjstarcraft-core-common,"add","","1.0",2020-03-03T10:29:38Z
com.jstarcraftjstarcraft-ai-math,"remove","1.0","",2023-04-11T03:16:15Z
com.jstarcraftjstarcraft-ai-math,"add","","1.0",2020-04-11T06:43:06Z
org.junit.platformjunit-platform-launcher,"add","","1.6.1",2020-04-10T08:15:26Z
com.github.xkzhangsanxk-time,"add","","3.2.4",2023-04-11T03:16:15Z
org.junit.jupiterjunit-jupiter-engine,"add","","5.6.1",2020-04-10T08:15:26Z
jdk.toolsjdk.tools,"add","","1.8",2020-02-09T06:11:32Z
org.apache.logging.log4jlog4j-slf4j-impl,"update","2.15.0","2.18.0",2022-07-31T14:44:42Z
org.apache.logging.log4jlog4j-slf4j-impl,"update","2.11.2","2.15.0",2021-12-10T16:00:38Z
edu.emory.mathcs.nlpnlp4j-api,"add","","1.1.3",2019-11-22T03:03:09Z
org.apache.tikatika-langdetect,"remove","1.24.1","",2020-07-11T10:05:51Z
org.apache.tikatika-langdetect,"add","","1.24.1",2020-07-08T08:07:47Z
org.apache.tikatika-core,"remove","1.24.1","",2020-07-11T10:05:51Z
org.apache.tikatika-core,"add","","1.24.1",2020-07-08T08:07:47Z
junitjunit,"remove","4.12","",2020-04-10T11:36:02Z
it.ozimovembedded-redis,"add","","0.7.3",2021-08-08T08:45:41Z
it.ozimovembedded-redis,"remove","0.7.3","",2021-08-08T08:45:29Z
it.ozimovembedded-redis,"add","","0.7.3",2021-07-07T12:29:34Z
com.jstarcraftjstarcraft-core-orm,"remove","1.0","",2020-02-21T14:07:57Z
com.jstarcraftjstarcraft-core-orm,"add","","1.0",2019-10-24T04:02:14Z
org.junit.jupiterjunit-jupiter-params,"add","","5.6.1",2020-04-10T08:15:26Z
org.apache.tikatika-parsers,"remove","1.24.1","",2020-07-11T10:05:51Z
org.apache.tikatika-parsers,"add","","1.24.1",2020-07-08T08:07:47Z
org.lionsoulip2region,"remove","1.7.2","",2022-09-28T04:27:33Z
org.lionsoulip2region,"add","","1.7.2",2022-05-06T06:14:05Z
org.apache.lucenelucene-queryparser,"update","8.4.0","8.6.2",2022-06-09T13:24:19Z
org.apache.lucenelucene-queryparser,"update","8.2.0","8.4.0",2021-08-08T08:45:29Z
org.apache.lucenelucene-queryparser,"add","","8.2.0",2020-03-03T10:29:38Z
com.hankcshanlp,"update","portable-1.8.2","portable-1.8.3",2023-01-02T13:44:59Z
com.hankcshanlp,"update","portable-1.7.5","portable-1.8.2",2021-08-08T08:45:29Z
org.junit.platformjunit-platform-runner,"add","","1.6.1",2020-04-29T02:36:08Z
org.apache.lucenelucene-core,"update","8.4.0","8.6.2",2022-06-09T13:24:19Z
org.apache.lucenelucene-core,"update","8.2.0","8.4.0",2021-08-08T08:45:29Z
org.apache.lucenelucene-core,"update","8.1.1","8.2.0",2019-10-30T14:38:13Z
com.github.mageseik-analyzer,"update","8.2.0","8.4.0",2021-08-08T08:45:29Z
org.apache.lucenelucene-analyzers-common,"update","8.4.0","8.6.2",2022-06-09T13:24:19Z
org.apache.lucenelucene-analyzers-common,"update","8.2.0","8.4.0",2021-08-08T08:45:29Z
org.apache.lucenelucene-analyzers-common,"update","8.1.1","8.2.0",2019-10-30T14:38:13Z
com.optimaize.languagedetectorlanguage-detector,"remove","0.6","",2020-04-10T04:01:41Z
com.optimaize.languagedetectorlanguage-detector,"add","","0.6",2019-11-23T13:39:39Z
org.apache.logging.log4jlog4j-jcl,"update","2.15.0","2.18.0",2022-07-31T14:44:42Z
org.apache.logging.log4jlog4j-jcl,"update","2.11.2","2.15.0",2021-12-10T16:00:38Z
org.apache.lucenelucene-test-framework,"update","8.4.0","8.6.2",2022-06-09T13:24:19Z
org.apache.lucenelucene-test-framework,"update","8.2.0","8.4.0",2021-08-08T08:45:29Z
org.apache.lucenelucene-test-framework,"add","","8.2.0",2019-10-30T14:38:13Z
