library,type,old_version,new_version,commit_date
org.apache.lucenelucene-core,"remove","4.10.2","",2014-11-26T14:25:54Z
org.apache.lucenelucene-core,"update","4.9.0","4.10.2",2014-11-10T10:02:44Z
org.apache.lucenelucene-core,"update","4.5.0","4.9.0",2014-09-30T11:38:14Z
org.apache.lucenelucene-core,"update","4.4.0","4.5.0",2013-10-10T13:51:47Z
org.apache.lucenelucene-core,"update","4.3.0","4.4.0",2013-10-08T14:35:10Z
org.apache.lucenelucene-highlighter,"remove","4.10.2","",2014-11-29T18:57:36Z
org.apache.lucenelucene-highlighter,"add","","4.10.2",2014-11-10T10:02:44Z
javax.transactionjta,"remove","1.1","",2014-11-29T18:57:36Z
javax.transactionjta,"add","","1.1",2014-11-26T16:36:16Z
org.apache.lucenelucene-analyzers-common,"remove","4.10.2","",2014-11-26T14:25:54Z
org.apache.lucenelucene-analyzers-common,"update","4.9.0","4.10.2",2014-11-10T10:02:44Z
org.apache.lucenelucene-analyzers-common,"update","4.5.0","4.9.0",2014-09-30T11:38:14Z
org.apache.lucenelucene-analyzers-common,"update","4.4.0","4.5.0",2013-10-10T13:51:47Z
org.apache.lucenelucene-analyzers-common,"update","4.3.0","4.4.0",2013-10-08T14:35:10Z
org.hibernatehibernate-search-engine,"remove","5.0.0.Beta3","",2014-11-29T18:57:36Z
org.hibernatehibernate-search-engine,"add","","5.0.0.Beta3",2014-11-26T14:25:54Z
junitjunit,"remove","3.8.1","",2014-11-29T18:57:36Z
