library,type,old_version,new_version,commit_date
org.elasticsearch.testframework,"add","","5.0.1",2016-11-25T01:45:40Z
org.hamcresthamcrest-library,"remove","1.3.RC2","",2015-11-03T07:24:04Z
org.codehaus.groovygroovy-all,"add","","2.3.2",2015-11-04T06:19:15Z
org.slf4jslf4j-log4j12,"update","1.6.0","1.6.2",2015-11-03T07:24:04Z
org.slf4jslf4j-api,"update","1.6.0","1.6.2",2015-11-03T07:24:04Z
org.elasticsearchelasticsearch,"update","2.0.0","5.0.1",2016-11-25T01:45:40Z
org.elasticsearchelasticsearch,"update","1.1.1","2.0.0",2015-11-03T07:24:04Z
org.hamcresthamcrest-core,"add","","1.3",2016-11-25T01:45:40Z
org.hamcresthamcrest-core,"remove","1.3.RC2","",2015-11-03T07:24:04Z
com.argo.arirangmorph,"update","1.0.0","1.1.0",2016-11-25T01:45:40Z
log4jlog4j,"remove","1.2.16","",2016-11-25T01:45:40Z
net.java.dev.jnajna,"add","","4.1.0",2015-11-04T03:52:14Z
org.testngtestng,"remove","6.3.1","",2015-11-03T08:55:42Z
arirang.lucene-analyzer-4.6arirang.lucene-analyzer-4.6,"remove","4.7.2","",2015-11-04T06:19:15Z
org.apache.lucenelucene-core,"update","5.2.1","6.2.1",2016-11-25T01:45:40Z
org.apache.lucenelucene-core,"update","4.7.2","5.2.1",2015-11-03T07:24:04Z
org.hamcresthamcrest-all,"add","","1.3",2015-11-04T03:52:14Z
arirang.lucene-analyzer-5.0arirang.lucene-analyzer-5.0,"remove","5.0-1.0.0","",2015-11-04T06:23:30Z
arirang.lucene-analyzer-5.0arirang.lucene-analyzer-5.0,"add","","5.0-1.0.0",2015-11-04T06:19:15Z
com.carrotsearch.randomizedtestingrandomizedtesting-runner,"update","2.1.16","2.3.2",2016-11-25T01:45:40Z
com.carrotsearch.randomizedtestingrandomizedtesting-runner,"add","","2.1.16",2015-11-04T03:52:14Z
org.slf4jjcl-over-slf4j,"remove","1.6.2","",2015-11-03T08:55:42Z
org.slf4jjcl-over-slf4j,"update","1.6.0","1.6.2",2015-11-03T07:24:04Z
org.apache.logging.log4jlog4j-core,"add","","2.6.2",2016-11-25T01:45:40Z
org.apache.lucenearirang.lucene-analyzer,"update","5.0-1.0.0","6.0-1.1.0",2016-11-25T01:45:40Z
org.apache.lucenearirang.lucene-analyzer,"add","","5.0-1.0.0",2015-11-04T06:23:30Z
junitjunit,"add","","4.11",2015-11-03T07:24:04Z
org.apache.lucenelucene-test-framework,"update","5.2.1","6.2.1",2016-11-25T01:45:40Z
org.apache.lucenelucene-test-framework,"add","","5.2.1",2015-11-04T03:52:14Z
