library,type,old_version,new_version,commit_date
org.apache.directory.serverapacheds-i18n,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
com.fasterxml.jackson.dataformatjackson-dataformat-smile,"remove","2.5.4","",2019-05-21T09:38:20Z
net.sourceforge.argparse4jargparse4j,"remove","0.8.1","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-core-shared,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
com.adobe.xmpxmpcore,"remove","5.1.3","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-interceptors-referral,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
io.dropwizard.metricsmetrics-core,"remove","3.2.2","",2019-05-21T09:38:20Z
org.bouncycastlebcmail-jdk15on,"remove","1.54","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-interceptor-kerberos,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-protocol-kerberos,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
org.apache.curatorcurator-recipes,"remove","2.8.0","",2019-05-21T09:38:20Z
org.apache.pdfboxpdfbox-tools,"remove","2.0.8","",2019-05-21T09:38:20Z
org.apache.calcitecalcite-linq4j,"remove","1.13.0","",2019-05-21T09:38:20Z
org.eclipse.jettyjetty-rewrite,"remove","9.4.8.v20171121","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-interceptors-changelog,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
junitjunit,"update","4.10","4.13.1",2020-10-13T13:19:11Z
org.apache.directory.serverapacheds-interceptors-subtree,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
org.restlet.jeeorg.restlet.ext.servlet,"remove","2.3.0","",2019-05-21T09:38:20Z
com.carrotsearch.randomizedtestingjunit4-ant,"remove","2.5.3","",2019-05-21T09:38:20Z
org.codehaus.janinocommons-compiler,"remove","2.7.6","",2019-05-21T09:38:20Z
org.carrot2.attributesattributes-binder,"remove","1.3.1","",2019-05-21T09:38:20Z
org.apache.hadoophadoop-minikdc,"remove","2.7.4","",2019-05-21T09:38:20Z
org.apache.commonscommons-compress,"update","1.14","1.18",2019-05-21T09:42:59Z
org.apache.directory.serverapacheds-interceptors-exception,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
org.apache.calcite.avaticaavatica-core,"remove","1.10.0","",2019-05-21T09:38:20Z
com.googlecode.mp4parserisoparser,"remove","1.1.18","",2019-05-21T09:38:20Z
org.apache.uimaAlchemyAPIAnnotator,"remove","2.3.1","",2019-05-21T09:38:20Z
net.thisptrjackson-jq,"remove","0.0.8","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-interceptors-normalization,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-interceptors-trigger,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
org.apache.hadoophadoop-common,"remove","2.7.4","",2019-05-21T09:38:20Z
com.healthmarketscience.jackcessjackcess,"remove","2.1.8","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-interceptors-journal,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
org.eclipse.jettyjetty-servlets,"remove","9.4.8.v20171121","",2019-05-21T09:38:20Z
org.restlet.jeeorg.restlet,"remove","2.3.0","",2019-05-21T09:38:20Z
de.l3s.boilerpipeboilerpipe,"remove","1.1.0","",2019-05-21T09:38:20Z
org.apache.hadoophadoop-annotations,"remove","2.7.4","",2019-05-21T09:38:20Z
com.sun.mailjavax.mail,"remove","1.5.1","",2019-05-21T09:38:20Z
org.eclipse.jettyjetty-xml,"remove","9.4.8.v20171121","",2019-05-21T09:38:20Z
com.fasterxml.jackson.corejackson-annotations,"remove","2.5.4","",2019-05-21T09:38:20Z
com.drewnoakesmetadata-extractor,"remove","2.10.1","",2019-05-21T09:38:20Z
org.apache.tikatika-core,"remove","1.17","",2019-05-21T09:38:20Z
com.fasterxml.jackson.corejackson-core,"remove","2.5.4","",2019-05-21T09:38:20Z
io.dropwizard.metricsmetrics-graphite,"remove","3.2.2","",2019-05-21T09:38:20Z
org.mortbay.jettyjetty-sslengine,"remove","6.1.26","",2019-05-21T09:38:20Z
org.gagravarrvorbis-java-core,"remove","0.8","",2019-05-21T09:38:20Z
org.slf4jslf4j-log4j12,"remove","1.7.24","",2019-05-21T09:38:20Z
io.dropwizard.metricsmetrics-ganglia,"remove","3.2.2","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-core-api,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
com.github.ben-manes.caffeinecaffeine,"remove","2.4.0","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-interceptors-collective,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
org.apache.jamesapache-mime4j-core,"remove","0.8.1","",2019-05-21T09:38:20Z
com.rometoolsrome,"remove","1.5.1","",2019-05-21T09:38:20Z
org.apache.lucenelucene-codecs,"remove","1.0-SNAPSHOT","",2019-05-21T09:38:20Z
org.apache.zookeeperzookeeper,"remove","3.4.11","",2019-05-21T09:38:20Z
org.apache.htracehtrace-core,"remove","3.2.0-incubating","",2019-05-21T09:38:20Z
io.prometheussimpleclient_httpserver,"remove","0.2.0","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-interceptors-admin,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
org.mockitomockito-core,"remove","2.6.2","",2019-05-21T09:38:20Z
com.fasterxml.jackson.corejackson-databind,"remove","2.5.4","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-core,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
org.apache.tikatika-java7,"remove","1.17","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-protocol-shared,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
com.rometoolsrome-utils,"remove","1.5.1","",2019-05-21T09:38:20Z
com.healthmarketscience.jackcessjackcess-encrypt,"remove","2.1.4","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-interceptors-schema,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
org.apache.tikatika-xmp,"remove","1.17","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-core-avl,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
org.hsqldbhsqldb,"remove","2.4.0","",2019-05-21T09:38:20Z
org.gagravarrvorbis-java-tika,"remove","0.8","",2019-05-21T09:38:20Z
org.apache.curatorcurator-client,"remove","2.8.0","",2019-05-21T09:38:20Z
net.arnxjsonic,"remove","1.2.7","",2019-05-21T09:38:20Z
org.apache.poipoi-scratchpad,"remove","3.17","",2019-05-21T09:38:20Z
io.dropwizard.metricsmetrics-jetty9,"remove","3.2.2","",2019-05-21T09:38:20Z
org.noggitnoggit,"remove","0.8","",2019-05-21T09:38:20Z
org.apache.calcitecalcite-core,"remove","1.13.0","",2019-05-21T09:38:20Z
com.sun.jerseyjersey-server,"remove","1.9","",2019-05-21T09:38:20Z
com.google.protobufprotobuf-java,"remove","3.1.0","",2019-05-21T09:38:20Z
io.prometheussimpleclient_common,"remove","0.2.0","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-protocol-ldap,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
org.codehaus.janinojanino,"remove","2.7.6","",2019-05-21T09:38:20Z
org.apache.solrsolr-velocity,"remove","1.0-SNAPSHOT","",2019-05-21T09:38:20Z
io.prometheussimpleclient,"remove","0.2.0","",2019-05-21T09:38:20Z
org.jsoupjsoup,"remove","1.8.2","",2019-05-21T09:38:20Z
org.apache.pdfboxfontbox,"remove","2.0.8","",2019-05-21T09:38:20Z
org.slf4jslf4j-simple,"remove","1.7.24","",2019-05-21T09:38:20Z
org.aspectjaspectjrt,"remove","1.8.0","",2019-05-21T09:38:20Z
com.tdunningt-digest,"remove","3.1","",2019-05-21T09:38:20Z
com.pffjava-libpst,"remove","0.8.1","",2019-05-21T09:38:20Z
org.apache.lucenelucene-core,"remove","1.0-SNAPSHOT","",2019-05-21T09:38:20Z
net.sf.ehcacheehcache-core,"remove","2.4.4","",2019-05-21T09:38:20Z
org.carrot2.shadedcarrot2-guava,"remove","18.0","",2019-05-21T09:38:20Z
org.apache.jamesapache-mime4j-dom,"remove","0.8.1","",2019-05-21T09:38:20Z
org.apache.hadoophadoop-auth,"remove","2.7.4","",2019-05-21T09:38:20Z
info.ganglia.gmetric4jgmetric4j,"remove","1.0.7","",2019-05-21T09:38:20Z
org.apache.directory.apiapi-all,"remove","1.0.0-M20","",2019-05-21T09:38:20Z
org.apache.pdfboxjempbox,"remove","1.8.13","",2019-05-21T09:38:20Z
org.apache.uimaOpenCalaisAnnotator,"remove","2.3.1","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-interceptors-operational,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
org.slf4jjul-to-slf4j,"remove","1.7.24","",2019-05-21T09:38:20Z
org.apache.curatorcurator-framework,"remove","2.8.0","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-interceptors-authz,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
com.cybozu.labslangdetect,"remove","1.1-20120112","",2019-05-21T09:38:20Z
org.tallisonjmatio,"remove","1.2","",2019-05-21T09:38:20Z
org.apache.lucenelucene-codecs-aggregator,"add","","1.0-SNAPSHOT",2020-11-23T01:39:52Z
com.sun.mailgimap,"remove","1.5.1","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-xdbm-partition,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
org.slf4jjcl-over-slf4j,"remove","1.7.24","",2019-05-21T09:38:20Z
org.eclipse.jettyjetty-jmx,"remove","9.4.8.v20171121","",2019-05-21T09:38:20Z
org.apache.hadoophadoop-hdfs,"remove","2.7.4","",2019-05-21T09:38:20Z
com.googlecode.juniversalchardetjuniversalchardet,"remove","1.0.3","",2019-05-21T09:38:20Z
org.eclipse.jettyjetty-deploy,"remove","9.4.8.v20171121","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-jdbm-partition,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
org.eclipse.jettyjetty-security,"remove","9.4.8.v20171121","",2019-05-21T09:38:20Z
org.apache.tikatika-parsers,"remove","1.17","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-ldif-partition,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
org.apache.directory.jdbmapacheds-jdbm1,"remove","2.0.0-M2","",2019-05-21T09:38:20Z
org.eclipse.jettyjetty-server,"update","9.4.17.v20190418","9.4.35.v20201120",2020-12-02T18:38:17Z
org.eclipse.jettyjetty-server,"update","9.4.8.v20171121","9.4.17.v20190418",2019-05-21T09:42:59Z
io.dropwizard.metricsmetrics-jvm,"remove","3.2.2","",2019-05-21T09:38:20Z
org.eclipse.jettyjetty-webapp,"remove","9.4.8.v20171121","",2019-05-21T09:38:20Z
org.apache.solrsolr-analysis-extras,"remove","1.0-SNAPSHOT","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-kerberos-codec,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-interceptors-event,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
org.apache.directory.serverapacheds-mavibot-partition,"remove","2.0.0-M15","",2019-05-21T09:38:20Z
net.hydromaticeigenbase-properties,"remove","1.1.5","",2019-05-21T09:38:20Z
org.apache.pdfboxpdfbox,"remove","2.0.8","",2019-05-21T09:38:20Z
org.apache.minamina-core,"remove","2.0.0-M5","",2019-05-21T09:38:20Z
org.carrot2carrot2-mini,"remove","3.15.0","",2019-05-21T09:38:20Z
org.apache.solrsolr-analytics,"remove","1.0-SNAPSHOT","",2019-05-21T09:38:20Z
org.ccil.cowan.tagsouptagsoup,"remove","1.2.1","",2019-05-21T09:38:20Z
org.asciidoctorasciidoctor-ant,"remove","1.6.0-alpha.5","",2019-05-21T09:38:20Z
org.apache.derbyderby,"remove","10.9.1.0","",2019-05-21T09:38:20Z
