library,type,old_version,new_version,commit_date
org.apache.logging.log4jlog4j-api,"update","2.24.2","2.24.3",2024-12-16T00:20:34Z
org.apache.logging.log4jlog4j-api,"update","2.24.1","2.24.2",2024-11-22T00:03:37Z
org.apache.logging.log4jlog4j-api,"update","2.24.0","2.24.1",2024-09-30T00:28:22Z
org.apache.logging.log4jlog4j-api,"update","2.23.1","2.24.0",2024-09-09T00:36:30Z
org.apache.logging.log4jlog4j-api,"update","[2.19.0,)","2.23.1",2024-03-17T17:44:41Z
org.apache.logging.log4jlog4j-api,"update","[2.17.2,)","[2.19.0,)",2022-11-16T09:53:15Z
org.apache.logging.log4jlog4j-api,"update","[2.17.1,)","[2.17.2,)",2022-03-29T07:39:45Z
org.apache.logging.log4jlog4j-api,"update","[2.16.0,)","[2.17.1,)",2022-01-03T08:15:40Z
org.apache.logging.log4jlog4j-api,"update","2.15.0","[2.16.0,)",2021-12-14T12:25:17Z
com.fasterxml.jackson.corejackson-databind,"update","2.18.1","2.18.2",2024-11-29T00:28:42Z
com.fasterxml.jackson.corejackson-databind,"update","2.18.0","2.18.1",2024-11-11T00:25:46Z
com.fasterxml.jackson.corejackson-databind,"update","2.17.2","2.18.0",2024-09-30T00:28:28Z
com.fasterxml.jackson.corejackson-databind,"update","2.17.1","2.17.2",2024-07-08T00:44:00Z
com.fasterxml.jackson.corejackson-databind,"update","2.17.0","2.17.1",2024-05-06T01:09:07Z
com.fasterxml.jackson.corejackson-databind,"update","2.16.1","2.17.0",2024-03-14T07:30:29Z
com.fasterxml.jackson.corejackson-databind,"update","2.16.1","2.17.0",2024-03-14T00:40:30Z
com.fasterxml.jackson.corejackson-databind,"update","2.17.0","2.16.1",2024-03-14T00:40:23Z
com.fasterxml.jackson.corejackson-databind,"update","2.14.0","2.16.1",2024-01-25T10:19:24Z
com.fasterxml.jackson.corejackson-databind,"update","2.16.1","2.14.0",2024-01-25T10:19:18Z
com.fasterxml.jackson.corejackson-databind,"update","2.14.0","2.16.1",2024-01-24T12:38:07Z
com.fasterxml.jackson.corejackson-databind,"update","2.13.4","2.14.0",2022-11-16T09:53:15Z
com.fasterxml.jackson.corejackson-databind,"update","[2.14.0-rc1,)","2.13.4",2022-10-13T19:53:14Z
com.fasterxml.jackson.corejackson-databind,"update","2.13.2.1","[2.14.0-rc1,)",2022-10-05T10:34:15Z
com.fasterxml.jackson.corejackson-databind,"update","[2.12.4,)","2.13.2.1",2022-03-29T07:39:45Z
com.fasterxml.jackson.corejackson-databind,"update","2.12.4","[2.12.4,)",2021-12-14T12:25:17Z
org.codehaus.mojocobertura-maven-plugin,"remove","2.7","",2022-11-13T06:29:31Z
com.fasterxml.jackson.corejackson-core,"update","2.18.1","2.18.2",2024-11-29T00:28:42Z
com.fasterxml.jackson.corejackson-core,"update","2.18.0","2.18.1",2024-11-11T00:25:46Z
com.fasterxml.jackson.corejackson-core,"update","2.17.2","2.18.0",2024-09-30T00:28:28Z
com.fasterxml.jackson.corejackson-core,"update","2.17.1","2.17.2",2024-07-08T00:44:00Z
com.fasterxml.jackson.corejackson-core,"update","2.17.0","2.17.1",2024-05-06T01:09:07Z
com.fasterxml.jackson.corejackson-core,"update","2.16.1","2.17.0",2024-03-14T07:30:29Z
com.fasterxml.jackson.corejackson-core,"update","2.16.1","2.17.0",2024-03-14T00:40:30Z
com.fasterxml.jackson.corejackson-core,"update","2.17.0","2.16.1",2024-03-14T00:40:23Z
