library,type,old_version,new_version,commit_date
org.apache.lucenelucene-backward-codecs,"add","","7.5.0",2019-11-26T08:56:04Z
org.apache.lucenelucene-sandbox,"remove","5.5.0","",2021-02-10T02:32:27Z
org.apache.lucenelucene-sandbox,"add","","5.5.0",2020-12-24T08:38:36Z
org.apache.lucenelucene-grouping,"add","","7.5.0",2019-01-18T08:52:31Z
org.apache.lucenelucene-core,"update","8.3.0","7.5.0",2021-02-10T02:32:27Z
org.apache.lucenelucene-core,"update","7.5.0","8.3.0",2021-01-13T05:31:26Z
org.apache.lucenelucene-core,"update","8.5.0","7.5.0",2020-12-24T08:38:36Z
org.apache.lucenelucene-core,"update","7.5.0","8.5.0",2020-12-22T12:12:53Z
org.apache.lucenelucene-core,"update","7.7.1","7.5.0",2020-10-27T06:07:57Z
org.apache.lucenelucene-core,"update","7.5.0","7.7.1",2020-09-02T08:02:15Z
org.apache.lucenelucene-core,"update","8.0.0","7.5.0",2020-08-12T10:49:16Z
org.apache.lucenelucene-core,"update","7.6.0","8.0.0",2020-08-05T07:16:39Z
org.apache.lucenelucene-core,"update","7.5.0","7.6.0",2020-08-04T11:21:32Z
org.apache.lucenelucene-codecs,"update","7.5.0","8.3.0",2021-01-11T05:41:02Z
org.apache.lucenelucene-codecs,"add","","7.5.0",2019-04-25T11:40:55Z
org.apache.lucenelucene-highlighter,"add","","7.5.0",2020-11-17T10:16:01Z
org.apache.lucenelucene-memory,"add","","7.5.0",2018-12-05T13:55:52Z
org.apache.lucenelucene-misc,"add","","7.5.0",2019-06-13T16:03:24Z
org.apache.lucenelucene-join,"add","","7.5.0",2019-01-23T12:54:34Z
