library,type,old_version,new_version,commit_date
org.apache.logging.log4jlog4j-api,"update","2.5","2.6.2",2016-07-18T09:25:02Z
org.apache.logging.log4jlog4j-api,"add","","2.5",2016-07-09T23:21:33Z
cz.muni.fi.mirmathml-canonicalizer,"update","1.4.0-SNAPSHOT","1.4.0",2018-06-21T13:58:27Z
cz.muni.fi.mirmathml-canonicalizer,"update","1.3.1","1.4.0-SNAPSHOT",2016-07-14T21:07:25Z
cz.muni.fi.mirmathml-canonicalizer,"update","1.3.1-SNAPSHOT","1.3.1",2016-01-27T13:58:18Z
cz.muni.fi.mirmathml-canonicalizer,"update","1.3.0-SNAPSHOT","1.3.1-SNAPSHOT",2016-01-08T23:04:49Z
cz.muni.fi.mirmathml-canonicalizer,"update","1.3.1-SNAPSHOT","1.3.0-SNAPSHOT",2016-01-08T20:23:40Z
cz.muni.fi.mirmathml-canonicalizer,"update","1.3.0","1.3.1-SNAPSHOT",2016-01-02T01:54:19Z
cz.muni.fi.mirmathml-canonicalizer,"update","1.3.0-SNAPSHOT","1.3.0",2015-12-14T17:22:32Z
cz.muni.fi.mirmathml-canonicalizer,"update","1.2.1-SNAPSHOT","1.3.0-SNAPSHOT",2015-11-22T18:05:40Z
org.apache.lucenelucene-core,"remove","4.6.0","",2015-11-11T18:44:48Z
commons-iocommons-io,"update","2.0.1","2.4",2015-12-11T13:57:55Z
org.apache.solrsolr-core,"update","4.10.2","4.10.4",2015-12-11T13:57:55Z
org.apache.solrsolr-core,"update","4.6.0","4.10.2",2015-11-11T18:44:48Z
org.apache.lucenelucene-analyzers-common,"remove","4.6.0","",2015-11-11T18:44:48Z
cz.muni.fi.mirmathml-unificator,"update","1.0.0","1.1.0",2016-07-01T12:41:45Z
cz.muni.fi.mirmathml-unificator,"update","0.1.0-SNAPSHOT","1.0.0",2016-01-27T13:58:18Z
cz.muni.fi.mirmathml-unificator,"add","","0.1.0-SNAPSHOT",2016-01-08T23:04:49Z
cz.muni.fi.mirmathml-unificator,"remove","0.1.0-SNAPSHOT","",2016-01-08T20:23:40Z
cz.muni.fi.mirmathml-unificator,"add","","0.1.0-SNAPSHOT",2016-01-02T01:54:19Z
org.apache.logging.log4jlog4j-core,"update","2.6.2","2.13.2",2021-05-26T09:27:54Z
org.apache.logging.log4jlog4j-core,"update","2.13.2","2.6.2",2021-05-26T09:27:19Z
org.apache.logging.log4jlog4j-core,"update","2.6.2","2.13.2",2021-02-15T20:03:14Z
org.apache.logging.log4jlog4j-core,"update","2.13.2","2.6.2",2021-02-15T19:59:41Z
org.apache.logging.log4jlog4j-core,"update","2.6.2","2.13.2",2021-02-15T19:59:38Z
org.apache.logging.log4jlog4j-core,"update","2.13.2","2.6.2",2020-10-13T03:29:21Z
org.apache.logging.log4jlog4j-core,"update","2.6.2","2.13.2",2020-07-01T18:04:07Z
org.apache.logging.log4jlog4j-core,"add","","2.6.2",2016-07-18T09:25:02Z
org.apache.commonscommons-compress,"update","1.18","1.19",2021-05-26T09:27:54Z
org.apache.commonscommons-compress,"update","1.19","1.18",2021-05-26T09:27:19Z
org.apache.commonscommons-compress,"update","1.18","1.19",2021-02-15T19:59:41Z
org.apache.commonscommons-compress,"update","1.9","1.18",2018-10-21T09:02:55Z
org.apache.commonscommons-compress,"update","1.10","1.9",2016-01-08T23:04:49Z
org.apache.commonscommons-compress,"add","","1.10",2016-01-08T20:23:40Z
junitjunit,"update","4.12","4.13.1",2021-05-26T09:27:54Z
junitjunit,"update","4.13.1","4.12",2021-05-26T09:27:19Z
junitjunit,"update","4.12","4.13.1",2020-10-13T03:29:21Z
junitjunit,"add","","4.12",2016-01-08T20:23:40Z
