library,type,old_version,new_version,commit_date
org.apache.logging.log4jlog4j-api,"update","2.17.0","2.17.1",2022-01-05T19:29:40Z
org.apache.logging.log4jlog4j-api,"update","2.17.1","2.17.0",2022-01-04T16:56:13Z
org.apache.logging.log4jlog4j-api,"update","2.17.0","2.17.1",2022-01-04T16:32:36Z
org.apache.logging.log4jlog4j-api,"update","2.16.0","2.17.0",2021-12-18T21:08:49Z
org.apache.logging.log4jlog4j-api,"update","2.17.0","2.16.0",2021-12-18T18:38:28Z
org.apache.logging.log4jlog4j-api,"update","2.16.0","2.17.0",2021-12-18T18:12:37Z
org.apache.logging.log4jlog4j-api,"update","2.15.0","2.16.0",2021-12-14T20:44:10Z
org.apache.logging.log4jlog4j-api,"update","2.14.1","2.15.0",2021-12-10T12:40:43Z
org.apache.logging.log4jlog4j-api,"update","2.15.0","2.14.1",2021-12-10T01:56:45Z
org.apache.logging.log4jlog4j-api,"update","2.14.1","2.15.0",2021-12-10T01:00:17Z
org.apache.logging.log4jlog4j-api,"update","2.11.1","2.14.1",2021-11-12T14:09:36Z
org.elasticsearch.testframework,"update","7.15.1","7.16.1",2021-12-14T20:56:13Z
org.elasticsearch.testframework,"update","7.8.0","7.15.1",2021-11-12T14:09:36Z
org.elasticsearch.testframework,"update","7.5.0","7.8.0",2020-07-21T22:20:41Z
org.jsonjson,"update","20200518","20230227",2023-04-14T18:01:51Z
org.jsonjson,"update","20160810","20200518",2021-11-12T14:09:36Z
org.elasticsearchelasticsearch,"update","7.15.1","7.16.1",2021-12-14T20:56:13Z
org.elasticsearchelasticsearch,"update","7.8.0","7.15.1",2021-11-12T14:09:36Z
org.elasticsearchelasticsearch,"update","7.5.0","7.8.0",2020-07-21T22:20:41Z
org.elasticsearch.clientelasticsearch-rest-high-level-client,"update","7.15.1","7.16.1",2021-12-14T20:56:13Z
org.elasticsearch.clientelasticsearch-rest-high-level-client,"update","7.8.0","7.15.1",2021-11-12T14:09:36Z
org.elasticsearch.clientelasticsearch-rest-high-level-client,"update","7.5.0","7.8.0",2020-07-21T22:20:41Z
org.elasticsearch.clientelasticsearch-rest-client,"update","7.15.1","7.16.1",2021-12-14T20:56:13Z
org.elasticsearch.clientelasticsearch-rest-client,"update","7.8.0","7.15.1",2021-11-12T14:09:36Z
org.elasticsearch.clientelasticsearch-rest-client,"update","7.5.0","7.8.0",2020-07-21T22:20:41Z
org.apache.logging.log4jlog4j-core,"update","2.17.0","2.17.1",2022-01-04T16:56:13Z
org.apache.logging.log4jlog4j-core,"update","2.16.0","2.17.0",2021-12-18T18:38:28Z
org.apache.logging.log4jlog4j-core,"update","2.15.0","2.16.0",2021-12-14T20:56:13Z
org.apache.logging.log4jlog4j-core,"update","2.14.1","2.15.0",2021-12-10T01:56:45Z
org.apache.logging.log4jlog4j-core,"update","2.11.1","2.14.1",2021-11-12T14:09:36Z
junitjunit,"update","4.12","4.13.2",2021-11-12T14:09:36Z
