library,type,old_version,new_version,commit_date
org.apache.solrsolr-solrj,"remove","4.10.4","",2016-08-03T12:46:29Z
org.apache.solrsolr-solrj,"update","5.0.0","4.10.4",2015-10-26T21:44:23Z
org.apache.solrsolr-solrj,"update","4.10.3","5.0.0",2015-02-27T13:05:25Z
org.apache.solrsolr-solrj,"update","4.10.0","4.10.3",2015-02-11T15:38:12Z
org.apache.solrsolr-solrj,"update","4.4.0","4.10.0",2014-10-01T13:17:19Z
org.apache.lucenelucene-core,"remove","4.10.4","",2016-08-03T12:46:29Z
org.apache.lucenelucene-core,"update","5.0.0","4.10.4",2015-10-26T21:44:23Z
org.apache.lucenelucene-core,"update","4.10.3","5.0.0",2015-02-27T13:05:25Z
org.apache.lucenelucene-core,"update","4.10.0","4.10.3",2015-02-11T15:38:12Z
org.apache.lucenelucene-core,"update","4.4.0","4.10.0",2014-10-01T13:17:19Z
org.apache.lucenelucene-core,"add","","4.4.0",2013-09-01T20:22:49Z
commons-loggingcommons-logging,"remove","1.2","",2016-08-03T12:46:29Z
commons-loggingcommons-logging,"update","1.1.3","1.2",2014-10-01T13:17:19Z
commons-loggingcommons-logging,"add","","1.1.3",2013-09-01T15:29:24Z
ch.qos.logbacklogback-classic,"remove","1.2.3","",2021-11-12T14:09:36Z
ch.qos.logbacklogback-classic,"add","","1.2.3",2017-10-30T09:52:33Z
commons-langcommons-lang,"remove","2.6","",2016-08-03T12:46:29Z
commons-langcommons-lang,"add","","2.6",2013-09-01T15:29:24Z
commons-codeccommons-codec,"remove","1.9","",2016-08-03T12:46:29Z
commons-codeccommons-codec,"update","1.7","1.9",2014-10-01T13:17:19Z
commons-codeccommons-codec,"add","","1.7",2013-09-01T15:29:24Z
org.apache.solrsolr-core,"remove","4.10.4","",2016-08-03T12:46:29Z
org.apache.solrsolr-core,"update","5.0.0","4.10.4",2015-10-26T21:44:23Z
org.apache.solrsolr-core,"update","4.10.3","5.0.0",2015-02-27T13:05:25Z
org.apache.solrsolr-core,"update","4.10.0","4.10.3",2015-02-11T15:38:12Z
org.apache.solrsolr-core,"update","4.4.0","4.10.0",2014-10-01T13:17:19Z
org.apache.solrsolr-core,"add","","4.4.0",2013-09-01T15:29:24Z
org.scala-langscala-library,"update","2.12.10","2.13.6",2021-11-12T14:09:36Z
org.scala-langscala-library,"update","2.12.6","2.12.10",2019-12-06T14:29:27Z
org.scala-langscala-library,"update","2.11.11","2.12.6",2018-09-18T12:28:29Z
org.scala-langscala-library,"update","2.11.8","2.11.11",2017-09-06T08:42:30Z
org.scala-langscala-library,"update","2.11.7","2.11.8",2016-08-01T09:57:49Z
org.scala-langscala-library,"update","2.11.5","2.11.7",2015-10-25T11:10:32Z
org.scala-langscala-library,"update","2.10.2","2.11.5",2015-02-11T15:38:12Z
org.scala-langscala-library,"add","","2.10.2",2013-09-02T06:32:47Z
org.apache.solrsolr-test-framework,"remove","4.10.4","",2016-08-03T12:46:29Z
org.apache.solrsolr-test-framework,"update","5.0.0","4.10.4",2015-10-26T21:44:23Z
org.apache.solrsolr-test-framework,"update","4.10.3","5.0.0",2015-02-27T13:05:25Z
org.apache.solrsolr-test-framework,"update","4.10.0","4.10.3",2015-02-11T15:38:12Z
org.apache.solrsolr-test-framework,"update","4.4.0","4.10.0",2014-10-01T13:17:19Z
org.apache.solrsolr-test-framework,"add","","4.4.0",2013-09-01T15:29:24Z
org.apache.lucenelucene-analyzers-common,"remove","4.10.4","",2016-08-03T12:46:29Z
org.apache.lucenelucene-analyzers-common,"add","","4.10.4",2016-08-01T09:57:49Z
org.apache.logging.log4jlog4j-core,"update","2.17.0","2.17.1",2022-01-04T16:56:13Z
org.apache.logging.log4jlog4j-core,"update","2.16.0","2.17.0",2021-12-18T18:38:28Z
org.apache.logging.log4jlog4j-core,"update","2.15.0","2.16.0",2021-12-14T21:01:46Z
org.apache.logging.log4jlog4j-core,"update","2.14.1","2.15.0",2021-12-10T01:56:45Z
org.apache.logging.log4jlog4j-core,"add","","2.14.1",2021-11-12T14:09:36Z
junitjunit,"update","4.12","4.13.2",2021-11-12T14:09:36Z
junitjunit,"add","","4.12",2015-10-25T20:19:40Z
