library,type,old_version,new_version,commit_date
org.datasyslabgeospark-sql_${spark.compatible.verison},"add","","1.2.0",2019-10-10T19:51:33Z
org.datasyslabgeospark-viz_${spark.compatible.verison},"add","","1.2.0",2019-10-10T19:51:33Z
org.datasyslabgeospark,"add","","1.2.0",2019-10-10T19:51:33Z
log4jlog4j,"add","","1.2.17",2019-10-12T04:08:10Z
org.apache.sparkspark-sql_${scala.version},"add","","2.3.3",2019-10-10T19:51:33Z
io.nettynetty-all,"update","4.1.17.Final","4.1.42.Final",2019-10-12T04:08:10Z
io.nettynetty-all,"add","","4.1.17.Final",2019-10-10T19:51:33Z
io.vertxvertx-web,"add","","3.8.2",2019-10-25T15:02:41Z
net.lingala.zip4jzip4j,"add","","2.2.4",2019-11-14T19:41:47Z
org.datasyslabsernetcdf,"remove","0.1.0","",2019-10-12T04:08:10Z
org.datasyslabsernetcdf,"add","","0.1.0",2019-10-10T19:51:33Z
org.apache.commonscommons-configuration,"remove","1.10","",2019-11-19T19:34:11Z
org.apache.commonscommons-configuration,"add","","1.10",2019-11-19T01:36:21Z
org.apache.winkwink-json4j,"add","","1.4",2019-10-21T01:09:34Z
org.apache.sparkspark-yarn_${scala.version},"remove","2.3.3","",2019-10-12T04:08:10Z
org.apache.sparkspark-yarn_${scala.version},"add","","2.3.3",2019-10-10T19:51:33Z
io.vertxvertx-hazelcast,"add","","3.8.2",2019-10-25T15:02:41Z
junitjunit,"update","4.11","4.13.1",2020-10-14T00:14:15Z
commons-configurationcommons-configuration,"add","","1.10",2019-11-19T19:34:11Z
commons-configurationcommons-configuration,"remove","1.10","",2019-11-19T01:36:21Z
commons-configurationcommons-configuration,"add","","1.10",2019-11-18T20:02:08Z
com.mapzen.jpostaljpostal,"add","","1.0",2019-10-12T04:08:10Z
