library,type,old_version,new_version,commit_date
org.codehaus.woodstoxwstx-asl,"remove","3.2.7","",2015-12-16T14:13:07Z
org.codehaus.woodstoxwstx-asl,"add","","3.2.7",2015-12-16T13:47:03Z
org.codehaus.woodstoxwstx-asl,"remove","3.2.7","",2015-12-14T20:31:00Z
org.codehaus.woodstoxwstx-asl,"add","","3.2.7",2014-06-10T05:36:27Z
org.apache.lucenelucene-core,"update","7.1.0","7.2.1",2018-03-26T20:48:56Z
org.apache.lucenelucene-core,"update","6.4.1","7.1.0",2017-10-26T13:48:44Z
org.apache.lucenelucene-core,"update","6.3.0","6.4.1",2017-02-12T04:31:57Z
org.apache.lucenelucene-core,"update","6.1.0","6.3.0",2017-01-02T02:07:20Z
org.apache.lucenelucene-core,"update","5.5.2","6.1.0",2016-07-20T05:22:00Z
org.apache.lucenelucene-core,"update","5.4.0","5.5.2",2016-07-20T04:09:02Z
org.apache.lucenelucene-core,"update","6.1.0","5.4.0",2016-07-13T21:06:35Z
org.apache.lucenelucene-core,"update","5.4.0","6.1.0",2016-07-12T07:34:18Z
org.apache.lucenelucene-core,"update","5.3.1","5.4.0",2015-12-16T14:35:58Z
org.apache.lucenelucene-core,"update","5.2.1","5.3.1",2015-12-16T14:13:07Z
org.apache.lucenelucene-core,"update","5.3.1","5.2.1",2015-12-16T13:47:03Z
org.apache.lucenelucene-core,"update","5.2.1","5.3.1",2015-12-11T22:00:05Z
org.apache.lucenelucene-core,"update","5.1.0","5.2.1",2015-08-12T05:58:38Z
org.apache.lucenelucene-core,"update","5.0.0","5.1.0",2015-08-12T04:10:12Z
org.apache.lucenelucene-core,"update","4.10.3","5.0.0",2015-02-19T00:44:53Z
org.apache.lucenelucene-core,"update","4.8.1","4.10.3",2015-01-26T16:46:55Z
org.apache.lucenelucene-core,"update","4.7.1","4.8.1",2014-09-15T14:03:20Z
org.apache.lucenelucene-core,"update","4.7.2","4.7.1",2014-06-10T05:36:27Z
org.apache.lucenelucene-core,"update","4.7.0","4.7.2",2014-06-04T04:01:52Z
org.apache.lucenelucene-core,"add","","4.7.0",2014-03-08T06:12:19Z
ch.qos.logbacklogback-classic,"update","1.1.3","1.1.7",2016-07-20T05:22:00Z
ch.qos.logbacklogback-classic,"update","1.1.2","1.1.3",2015-12-16T18:26:27Z
ch.qos.logbacklogback-classic,"update","1.0.6","1.1.2",2014-06-09T13:39:03Z
org.apache.solrsolr-core,"update","7.1.0","7.2.1",2018-03-26T20:48:56Z
org.apache.solrsolr-core,"update","6.4.1","7.1.0",2017-10-26T13:48:44Z
org.apache.solrsolr-core,"update","6.3.0","6.4.1",2017-02-12T04:31:57Z
org.apache.solrsolr-core,"update","6.1.0","6.3.0",2017-01-02T02:07:20Z
org.apache.solrsolr-core,"update","5.5.2","6.1.0",2016-07-20T05:22:00Z
org.apache.solrsolr-core,"update","5.4.0","5.5.2",2016-07-20T04:09:02Z
org.apache.solrsolr-core,"update","6.1.0","5.4.0",2016-07-13T21:06:35Z
org.apache.solrsolr-core,"update","5.4.0","6.1.0",2016-07-12T07:34:18Z
org.apache.solrsolr-core,"update","5.3.1","5.4.0",2015-12-16T14:35:58Z
org.apache.solrsolr-core,"update","5.2.1","5.3.1",2015-12-16T14:13:07Z
org.apache.solrsolr-core,"update","5.3.1","5.2.1",2015-12-16T13:47:03Z
org.apache.solrsolr-core,"update","5.2.1","5.3.1",2015-12-11T22:00:05Z
org.apache.solrsolr-core,"update","5.1.0","5.2.1",2015-08-12T05:58:38Z
org.apache.solrsolr-core,"update","5.0.0","5.1.0",2015-08-12T04:10:12Z
org.apache.solrsolr-core,"update","4.10.3","5.0.0",2015-02-19T00:44:53Z
org.apache.solrsolr-core,"update","4.8.1","4.10.3",2015-01-26T16:46:55Z
org.apache.solrsolr-core,"update","4.7.1","4.8.1",2014-09-15T14:03:20Z
org.apache.solrsolr-core,"update","4.7.2","4.7.1",2014-06-10T05:36:27Z
org.apache.solrsolr-core,"update","4.7.0","4.7.2",2014-06-04T04:01:52Z
org.apache.solrsolr-core,"update","4.3.0","4.7.0",2014-03-08T06:05:05Z
org.apache.solrsolr-core,"update","4.2.1","4.3.0",2013-05-29T13:52:20Z
org.slf4jslf4j-api,"update","1.6.4","1.7.7",2014-06-09T13:39:03Z
org.apache.solrsolr-test-framework,"update","7.1.0","7.2.1",2018-03-26T20:48:56Z
org.apache.solrsolr-test-framework,"update","6.4.1","7.1.0",2017-10-26T13:48:44Z
org.apache.solrsolr-test-framework,"update","6.3.0","6.4.1",2017-02-12T04:31:57Z
org.apache.solrsolr-test-framework,"update","6.1.0","6.3.0",2017-01-02T02:07:20Z
org.apache.solrsolr-test-framework,"update","5.5.2","6.1.0",2016-07-20T05:22:00Z
org.apache.solrsolr-test-framework,"update","5.4.0","5.5.2",2016-07-20T04:09:02Z
org.apache.solrsolr-test-framework,"update","6.1.0","5.4.0",2016-07-13T21:06:35Z
org.apache.solrsolr-test-framework,"update","5.4.0","6.1.0",2016-07-12T07:34:18Z
org.apache.solrsolr-test-framework,"update","5.3.1","5.4.0",2015-12-16T14:35:58Z
org.apache.solrsolr-test-framework,"update","5.2.1","5.3.1",2015-12-16T14:13:07Z
org.apache.solrsolr-test-framework,"update","5.3.1","5.2.1",2015-12-16T13:47:03Z
org.apache.solrsolr-test-framework,"update","5.2.1","5.3.1",2015-12-11T22:00:05Z
org.apache.solrsolr-test-framework,"update","5.1.0","5.2.1",2015-08-12T05:58:38Z
org.apache.solrsolr-test-framework,"update","5.0.0","5.1.0",2015-08-12T04:10:12Z
org.apache.solrsolr-test-framework,"update","4.10.3","5.0.0",2015-02-19T00:44:53Z
org.apache.solrsolr-test-framework,"update","4.8.1","4.10.3",2015-01-26T16:46:55Z
org.apache.solrsolr-test-framework,"update","4.7.1","4.8.1",2014-09-15T14:03:20Z
org.apache.solrsolr-test-framework,"update","4.7.2","4.7.1",2014-06-10T05:36:27Z
org.apache.solrsolr-test-framework,"update","4.7.0","4.7.2",2014-06-04T04:01:52Z
org.apache.solrsolr-test-framework,"update","4.3.0","4.7.0",2014-03-08T06:05:05Z
org.apache.solrsolr-test-framework,"update","4.2.1","4.3.0",2013-05-29T13:52:20Z
org.slf4jjcl-over-slf4j,"remove","1.7.7","",2016-07-20T05:22:00Z
org.slf4jjcl-over-slf4j,"update","1.6.4","1.7.7",2014-06-09T13:39:03Z
com.carrotsearchhppc,"remove","0.7.1","",2016-07-20T05:22:00Z
com.carrotsearchhppc,"update","0.5.2","0.7.1",2015-12-16T14:39:16Z
com.carrotsearchhppc,"add","","0.5.2",2014-06-10T05:36:27Z
net.htmlparser.jerichojericho-html,"update","3.3","3.4",2015-12-16T14:13:07Z
net.htmlparser.jerichojericho-html,"update","3.4","3.3",2015-12-16T13:47:03Z
net.htmlparser.jerichojericho-html,"update","3.3","3.4",2015-12-14T20:33:23Z
net.htmlparser.jerichojericho-html,"add","","3.3",2014-07-18T21:09:54Z
org.codehaus.woodstoxwoodstox-core-asl,"add","","4.4.1",2015-12-16T14:13:07Z
org.codehaus.woodstoxwoodstox-core-asl,"remove","4.4.1","",2015-12-16T13:47:03Z
org.codehaus.woodstoxwoodstox-core-asl,"add","","4.4.1",2015-12-14T20:31:00Z
org.apache.lucenelucene-test-framework,"update","7.1.0","7.2.1",2018-03-26T20:48:56Z
org.apache.lucenelucene-test-framework,"update","6.4.1","7.1.0",2017-10-26T13:48:44Z
org.apache.lucenelucene-test-framework,"update","6.3.0","6.4.1",2017-02-12T04:31:57Z
org.apache.lucenelucene-test-framework,"update","6.1.0","6.3.0",2017-01-02T02:07:20Z
org.apache.lucenelucene-test-framework,"update","5.5.2","6.1.0",2016-07-20T05:22:00Z
org.apache.lucenelucene-test-framework,"update","5.4.0","5.5.2",2016-07-20T04:09:02Z
org.apache.lucenelucene-test-framework,"update","6.1.0","5.4.0",2016-07-13T21:06:35Z
org.apache.lucenelucene-test-framework,"update","5.4.0","6.1.0",2016-07-12T07:34:18Z
org.apache.lucenelucene-test-framework,"update","5.3.1","5.4.0",2015-12-16T14:35:58Z
org.apache.lucenelucene-test-framework,"update","5.2.1","5.3.1",2015-12-16T14:13:07Z
org.apache.lucenelucene-test-framework,"update","5.3.1","5.2.1",2015-12-16T13:47:03Z
