library,type,old_version,new_version,commit_date
cn.hutoolhutool-core,"update","5.8.19","5.8.25",2024-04-05T01:56:39Z
cn.hutoolhutool-core,"update","5.7.3","5.8.19",2023-06-14T16:39:49Z
cn.hutoolhutool-core,"add","","5.7.3",2021-07-10T13:58:26Z
org.apache.commonscommons-lang3,"add","","unknown",2024-07-06T07:58:08Z
org.apache.commonscommons-pool2,"add","","2.6.2",2021-07-04T16:37:44Z
com.dyuproject.protostuffprotostuff-runtime,"update","1.1.5","1.1.6",2020-08-06T08:05:44Z
org.redissonredisson,"update","3.12.5","3.22.0",2024-08-05T21:31:13Z
org.redissonredisson,"update","3.11.5","3.12.5",2020-08-06T04:04:16Z
org.redissonredisson,"add","","3.11.5",2019-12-30T16:21:28Z
com.dyuproject.protostuffprotostuff-core,"update","1.1.5","1.1.6",2020-08-06T08:05:44Z
com.alibabafastjson,"update","1.2.66","1.2.83",2022-06-17T03:24:35Z
com.alibabafastjson,"add","","1.2.66",2020-08-06T03:33:49Z
redis.clientsjedis,"add","","3.2.0",2020-08-09T11:01:15Z
redis.clientsjedis,"remove","3.2.0","",2019-12-30T16:21:28Z
org.projectlomboklombok,"add","","1.18.10",2020-08-11T14:18:42Z
org.aspectjaspectjweaver,"add","","1.9.5",2023-06-05T16:17:09Z
org.aspectjaspectjrt,"add","","1.9.5",2023-06-05T16:17:09Z
