library,type,old_version,new_version,commit_date
org.springframeworkspring-core,"update","5.0.0.RELEASE","5.0.6.RELEASE",2018-05-21T12:49:26Z
org.springframework.dataspring-data-commons,"add","","2.0.7.RELEASE",2018-05-21T12:49:26Z
org.springframework.amqpspring-rabbit,"add","","2.0.3.RELEASE",2018-05-23T15:40:36Z
tk.mybatismapper,"add","","4.0.2",2018-05-21T15:54:29Z
commons-collectionscommons-collections,"update","3.2","3.2.1",2018-05-21T12:49:26Z
org.springframeworkspring-context,"update","5.0.0.RELEASE","5.0.6.RELEASE",2018-05-21T12:49:26Z
org.springframework.dataspring-data-redis,"update","2.0.5.RELEASE","2.0.7.RELEASE",2018-05-21T12:49:26Z
org.springframework.dataspring-data-redis,"add","","2.0.5.RELEASE",2018-05-17T15:34:28Z
org.apache.shiroshiro-spring,"add","","1.4.0",2018-05-12T05:04:44Z
io.dropwizard.metricsmetrics-core,"add","","3.2.4",2018-05-23T15:40:36Z
javax.persistencepersistence-api,"add","","1.0",2018-05-21T15:54:29Z
org.tinygrouporg.tinygroup.stopword,"add","","3.4.9",2018-06-04T09:00:39Z
org.springframeworkspring-beans,"update","5.0.0.RELEASE","5.0.6.RELEASE",2018-05-21T12:49:26Z
commons-iocommons-io,"add","","2.2",2018-06-01T10:16:33Z
org.tinygrouporg.tinygroup.chineseanalyzer,"add","","3.4.9",2018-06-04T09:00:39Z
org.tinygrouporg.tinygroup.tinyseg,"add","","3.4.9",2018-06-04T09:00:39Z
org.apache.commonscommons-pool2,"add","","2.2",2018-05-17T15:34:28Z
org.apache.lucenelucene-memory,"add","","7.3.0",2018-06-04T09:00:39Z
org.apache.shiroshiro-ehcache,"add","","1.4.0",2018-05-12T05:04:44Z
org.apache.shiroshiro-web,"add","","1.4.0",2018-05-12T05:04:44Z
org.springframeworkspring-tx,"update","5.0.0.RELEASE","5.0.6.RELEASE",2018-05-21T12:49:26Z
org.springframeworkspring-webmvc,"update","5.0.0.RELEASE","5.0.6.RELEASE",2018-05-21T12:49:26Z
commons-loggingcommons-logging,"add","","1.1.1",2018-05-17T15:34:28Z
org.springframework.dataspring-data-keyvalue,"add","","2.0.5.RELEASE",2018-05-17T15:34:28Z
org.apache.lucenelucene-highlighter,"add","","7.3.0",2018-06-04T09:00:39Z
com.rabbitmqamqp-client,"add","","5.1.2",2018-05-23T15:40:36Z
org.springframeworkspring-jdbc,"update","5.0.0.RELEASE","5.0.6.RELEASE",2018-05-21T12:49:26Z
org.apache.shiroshiro-core,"update","1.2.2","1.4.0",2018-05-12T05:04:44Z
org.apache.shiroshiro-core,"add","","1.2.2",2018-05-12T01:19:23Z
org.springframeworkspring-test,"update","5.0.0.RELEASE","5.0.6.RELEASE",2018-05-21T12:49:26Z
org.springframeworkspring-aop,"add","","5.0.6.RELEASE",2018-06-03T05:42:39Z
commons-beanutilscommons-beanutils,"add","","1.9.2",2018-05-17T15:34:28Z
commons-fileuploadcommons-fileupload,"add","","1.3.3",2018-06-01T10:16:33Z
org.apache.lucenelucene-queryparser,"add","","7.3.0",2018-06-04T09:00:39Z
com.janeluoikanalyzer,"add","","2012_u6",2018-06-04T09:00:39Z
org.apache.lucenelucene-queries,"add","","7.3.0",2018-06-04T09:00:39Z
org.apache.lucenelucene-core,"add","","7.3.0",2018-06-04T09:00:39Z
net.sf.ehcacheehcache-core,"add","","2.6.11",2018-05-12T05:04:44Z
io.micrometermicrometer-core,"add","","1.0.4",2018-05-23T15:40:36Z
org.mybatis.generatormybatis-generator-core,"add","","1.3.2",2018-05-26T09:28:23Z
org.springframeworkspring-web,"update","5.0.0.RELEASE","5.0.6.RELEASE",2018-05-21T12:49:26Z
org.springframeworkspring-expression,"add","","5.0.6.RELEASE",2018-05-21T12:49:26Z
org.apache.lucenelucene-analyzers-common,"add","","7.3.0",2018-06-04T09:00:39Z
redis.clientsjedis,"update","2.7.3","2.9.0",2018-05-21T12:49:26Z
org.springframework.amqpspring-amqp,"add","","2.0.3.RELEASE",2018-05-23T15:40:36Z
org.aspectjaspectjweaver,"add","","1.8.13",2018-06-03T05:42:39Z
org.apache.lucenelucene-join,"add","","7.3.0",2018-06-04T09:00:39Z
com.github.pagehelperpagehelper,"add","","5.0.0",2018-05-26T09:28:23Z
