library,type,old_version,new_version,commit_date
com.sproutigy.libs.luceneplusluceneplus-core,"update","1.1.0-SNAPSHOT","1.1.0",2018-04-25T21:54:35Z
com.sproutigy.libs.luceneplusluceneplus-core,"update","1.0.5-SNAPSHOT","1.1.0-SNAPSHOT",2017-10-11T19:48:31Z
com.sproutigy.libs.luceneplusluceneplus-core,"update","1.0.4","1.0.5-SNAPSHOT",2017-10-11T19:42:41Z
com.sproutigy.libs.luceneplusluceneplus-core,"update","1.0.5-SNAPSHOT","1.0.4",2017-10-11T19:42:40Z
com.sproutigy.libs.luceneplusluceneplus-core,"update","1.1.1-SNAPSHOT","1.0.5-SNAPSHOT",2017-10-11T19:37:28Z
com.sproutigy.libs.luceneplusluceneplus-core,"update","1.1.0-SNAPSHOT","1.1.1-SNAPSHOT",2017-10-11T19:35:02Z
com.sproutigy.libs.luceneplusluceneplus-core,"update","1.0.3-SNAPSHOT","1.1.0-SNAPSHOT",2017-08-12T07:03:36Z
com.sproutigy.libs.luceneplusluceneplus-core,"update","1.0.2","1.0.3-SNAPSHOT",2017-07-21T19:32:13Z
com.sproutigy.libs.luceneplusluceneplus-core,"update","1.0.3-SNAPSHOT","1.0.2",2017-07-21T19:32:12Z
com.sproutigy.libs.luceneplusluceneplus-core,"update","1.0.2-SNAPSHOT","1.0.3-SNAPSHOT",2017-07-21T19:30:00Z
com.sproutigy.libs.luceneplusluceneplus-core,"update","1.0.1","1.0.2-SNAPSHOT",2017-07-04T22:03:53Z
com.sproutigy.libs.luceneplusluceneplus-core,"update","1.0.2-SNAPSHOT","1.0.1",2017-07-04T22:03:53Z
com.sproutigy.libs.luceneplusluceneplus-core,"update","1.0.1-SNAPSHOT","1.0.2-SNAPSHOT",2017-07-04T22:02:29Z
com.sproutigy.libs.luceneplusluceneplus-core,"update","1.0.0","1.0.1-SNAPSHOT",2017-06-28T21:44:30Z
com.sproutigy.libs.luceneplusluceneplus-core,"update","1.0.1-SNAPSHOT","1.0.0",2017-06-28T21:44:29Z
com.sproutigy.libs.luceneplusluceneplus-core,"update","1.0.0-SNAPSHOT","1.0.1-SNAPSHOT",2017-06-28T21:41:56Z
