library,type,old_version,new_version,commit_date
com.fasterxml.jackson.corejackson-databind,"update","2.8.4","${jackson.version}",2017-03-28T15:31:10Z
com.fasterxml.jackson.corejackson-databind,"add","","2.8.4",2016-11-10T12:18:15Z
com.fasterxml.jackson.corejackson-core,"update","2.8.4","${jackson.version}",2017-03-28T15:31:10Z
com.fasterxml.jackson.corejackson-core,"add","","2.8.4",2016-11-10T12:18:15Z
com.vividsolutionsjts-core,"update","1.14.0","${jts.version}",2017-03-28T15:31:10Z
com.vividsolutionsjts-core,"add","","1.14.0",2016-02-23T14:32:44Z
com.google.code.findbugsjsr305,"add","","3.0.1",2016-10-21T10:32:17Z
com.github.rholdersnowball-stemmer,"add","","1.3.0.581.1",2016-10-17T09:02:56Z
org.mockitomockito-all,"update","1.10.19","${mockito.version}",2017-03-28T15:31:10Z
org.apache.lucenelucene-queryparser,"update","5.5.3","${lucene.version}",2017-03-28T15:31:10Z
org.apache.lucenelucene-queryparser,"update","5.5.1","5.5.3",2016-12-14T11:03:20Z
org.apache.lucenelucene-queryparser,"update","5.3.0","5.5.1",2016-05-19T10:52:04Z
org.apache.lucenelucene-queryparser,"update","${lucene.version}","5.3.0",2016-04-22T08:58:18Z
org.apache.cassandracassandra-all,"update","3.0.10","${cassandra.version}",2017-03-28T15:31:10Z
org.apache.cassandracassandra-all,"update","3.0.9","3.0.10",2016-11-24T18:13:37Z
org.apache.cassandracassandra-all,"update","3.0.8","3.0.9",2016-09-30T14:45:15Z
org.apache.cassandracassandra-all,"update","3.0.7","3.0.8",2016-07-07T14:29:24Z
org.apache.cassandracassandra-all,"update","3.0.6","3.0.7",2016-06-15T16:42:56Z
org.apache.cassandracassandra-all,"update","3.0.5","3.0.6",2016-05-20T18:27:11Z
org.apache.cassandracassandra-all,"update","3.0.4","3.0.5",2016-04-22T12:51:08Z
org.apache.cassandracassandra-all,"update","${cassandra.version}","3.0.4",2016-04-22T08:58:18Z
org.apache.lucenelucene-core,"update","5.5.3","${lucene.version}",2017-03-28T15:31:10Z
org.apache.lucenelucene-core,"update","5.5.1","5.5.3",2016-12-14T11:03:20Z
org.apache.lucenelucene-core,"update","5.3.0","5.5.1",2016-05-19T10:52:04Z
org.apache.lucenelucene-core,"update","${lucene.version}","5.3.0",2016-04-22T08:58:18Z
org.scala-langscala-library,"update","2.12.0","${scala.version}",2017-03-28T15:31:10Z
org.scala-langscala-library,"update","2.11.8","2.12.0",2016-11-22T13:52:54Z
org.scala-langscala-library,"update","2.10.4","2.11.8",2016-10-21T10:32:17Z
org.scala-langscala-library,"add","","2.10.4",2016-07-14T14:16:45Z
com.typesafe.scala-loggingscala-logging_${scala.binary.version},"update","3.5.0","${scala.logging.version}",2017-03-28T15:31:10Z
com.typesafe.scala-loggingscala-logging_${scala.binary.version},"add","","3.5.0",2016-11-12T14:25:13Z
org.apache.lucenelucene-analyzers-common,"update","5.5.3","${lucene.version}",2017-03-28T15:31:10Z
org.apache.lucenelucene-analyzers-common,"update","5.5.1","5.5.3",2016-12-14T11:03:20Z
org.apache.lucenelucene-analyzers-common,"update","5.3.0","5.5.1",2016-05-19T10:52:04Z
org.apache.lucenelucene-analyzers-common,"update","${lucene.version}","5.3.0",2016-04-22T08:58:18Z
org.scalatestscalatest_${scala.binary.version},"update","3.0.1","${scalatest.version}",2017-03-28T15:31:10Z
org.scalatestscalatest_${scala.binary.version},"update","3.0.0","3.0.1",2016-11-22T13:52:54Z
org.scalatestscalatest_${scala.binary.version},"update","2.2.5","3.0.0",2016-10-21T10:32:17Z
org.scalatestscalatest_${scala.binary.version},"add","","2.2.5",2016-07-14T14:16:45Z
org.apache.lucenelucene-spatial,"update","5.5.3","${lucene.version}",2017-03-28T15:31:10Z
org.apache.lucenelucene-spatial,"update","5.5.1","5.5.3",2016-12-14T11:03:20Z
org.apache.lucenelucene-spatial,"update","5.3.0","5.5.1",2016-05-19T10:52:04Z
org.apache.lucenelucene-spatial,"update","${lucene.version}","5.3.0",2016-04-22T08:58:18Z
