library,type,old_version,new_version,commit_date
com.datastax.cassandracassandra-driver-core,"update","3.0.0","3.0.2",2016-05-20T18:27:11Z
com.datastax.cassandracassandra-driver-core,"update","2.1.8","3.0.0",2016-02-11T16:48:52Z
com.datastax.cassandracassandra-driver-core,"update","3.0.0","2.1.8",2016-02-09T11:24:24Z
com.datastax.cassandracassandra-driver-core,"update","3.0.0-rc1","3.0.0",2016-02-09T10:30:50Z
com.datastax.cassandracassandra-driver-core,"update","2.1.8","3.0.0-rc1",2016-02-08T14:36:51Z
com.datastax.cassandracassandra-driver-core,"update","3.0.0-rc1","2.1.8",2016-02-08T11:33:30Z
com.datastax.cassandracassandra-driver-core,"update","2.1.8","3.0.0-rc1",2016-01-18T15:41:57Z
org.apache.commonscommons-lang3,"remove","3.1","",2016-05-31T17:01:53Z
commons-loggingcommons-logging,"add","","1.1.1",2016-09-22T13:15:55Z
ch.qos.logbacklogback-classic,"add","","1.1.3",2016-02-11T16:48:52Z
ch.qos.logbacklogback-classic,"remove","1.1.3","",2016-02-09T11:24:24Z
ch.qos.logbacklogback-classic,"add","","1.1.3",2016-02-09T11:23:42Z
ch.qos.logbacklogback-classic,"remove","1.1.3","",2016-02-08T11:33:30Z
ch.qos.logbacklogback-classic,"add","","1.1.3",2016-01-18T15:41:57Z
org.apache.maven.pluginsmaven-failsafe-plugin,"remove","2.19.1","",2017-04-05T16:05:13Z
org.apache.maven.pluginsmaven-failsafe-plugin,"add","","2.19.1",2017-04-05T09:13:53Z
com.google.guavaguava,"remove","16.0","",2016-02-11T16:48:52Z
com.google.guavaguava,"add","","16.0",2016-02-09T11:24:24Z
com.google.guavaguava,"remove","16.0","",2016-02-08T14:36:51Z
com.google.guavaguava,"add","","16.0",2016-02-08T11:33:30Z
com.google.guavaguava,"remove","16.0","",2016-01-18T15:41:57Z
ch.qos.logbacklogback-core,"add","","1.1.3",2016-02-11T16:48:52Z
ch.qos.logbacklogback-core,"remove","1.1.3","",2016-02-09T11:24:24Z
ch.qos.logbacklogback-core,"add","","1.1.3",2016-02-09T11:23:42Z
ch.qos.logbacklogback-core,"remove","1.1.3","",2016-02-08T11:33:30Z
ch.qos.logbacklogback-core,"add","","1.1.3",2016-01-18T15:41:57Z
com.stratio.cassandracassandra-lucene-index-plugin,"remove","${project.version}","",2016-02-09T17:42:10Z
com.stratio.cassandracassandra-lucene-index-plugin,"add","","${project.version}",2016-02-09T11:24:24Z
com.stratio.cassandracassandra-lucene-index-plugin,"remove","${project.version}","",2016-02-09T11:23:42Z
com.stratio.cassandracassandra-lucene-index-plugin,"add","","${project.version}",2016-02-08T11:33:30Z
com.stratio.cassandracassandra-lucene-index-plugin,"remove","${project.version}","",2016-01-18T15:41:57Z
org.jolokiajolokia-client-java,"add","","1.3.4",2016-09-22T13:15:55Z
org.apache.cassandracassandra-all,"remove","2.2.5","",2016-02-11T16:48:52Z
org.apache.cassandracassandra-all,"update","2.2.4","2.2.5",2016-02-09T17:42:10Z
org.apache.cassandracassandra-all,"add","","2.2.4",2016-02-09T11:24:24Z
org.apache.cassandracassandra-all,"remove","3.4-SNAPSHOT","",2016-02-09T11:23:42Z
org.apache.cassandracassandra-all,"add","","3.4-SNAPSHOT",2016-02-08T11:33:30Z
org.apache.cassandracassandra-all,"remove","2.2.4","",2016-01-18T15:41:57Z
org.apache.cassandracassandra-all,"update","${cassandra.version}","2.2.4",2016-01-12T10:13:01Z
org.apache.cassandracassandra-all,"update","2.2.4","${cassandra.version}",2015-12-28T14:54:59Z
org.apache.cassandracassandra-all,"update","${cassandra.version}","2.2.4",2015-12-16T18:18:18Z
junitjunit,"update","4.8.1","4.12",2017-03-01T09:19:03Z
