library,type,old_version,new_version,commit_date
org.apache.lucenelucene-analysis-common,"add","","9.0.0",2022-08-02T20:34:32Z
org.apache.lucenelucene-analysis-common,"remove","9.0.0","",2022-08-02T19:09:34Z
org.apache.lucenelucene-analysis-common,"add","","9.0.0",2022-08-01T16:51:04Z
org.apache.lucenelucene-analysis-common,"remove","9.0.0","",2022-07-30T09:22:36Z
org.apache.lucenelucene-analysis-common,"add","","9.0.0",2022-07-16T09:23:21Z
org.apache.lucenelucene-analysis-common,"remove","9.0.0","",2022-06-27T09:09:50Z
org.apache.lucenelucene-analysis-common,"add","","9.0.0",2022-05-22T09:23:20Z
org.apache.lucenelucene-analysis-common,"remove","9.0.0","",2022-03-27T08:13:10Z
org.apache.lucenelucene-analysis-common,"add","","9.0.0",2022-03-19T15:38:28Z
org.assertjassertj-core,"update","3.25.3","3.26.3",2024-07-09T21:57:30Z
org.assertjassertj-core,"update","3.23.1","3.25.3",2024-02-05T21:38:33Z
org.assertjassertj-core,"add","","3.23.1",2023-03-24T17:53:33Z
com.google.appengineappengine-testing,"remove","1.9.90","",2023-03-24T17:53:33Z
com.google.appengineappengine-testing,"update","1.9.89","1.9.90",2021-07-18T07:23:57Z
com.google.appengineappengine-testing,"update","1.9.88","1.9.89",2021-06-05T10:30:22Z
com.google.appengineappengine-testing,"update","1.9.80","1.9.88",2021-04-24T10:30:22Z
com.google.appengineappengine-testing,"update","1.9.88","1.9.80",2021-04-22T06:55:33Z
com.google.appengineappengine-testing,"update","1.9.87","1.9.88",2021-04-10T09:15:00Z
com.google.appengineappengine-testing,"update","1.9.80","1.9.87",2021-03-20T10:10:20Z
com.google.appengineappengine-testing,"update","1.9.86","1.9.80",2021-03-02T06:50:22Z
com.google.appengineappengine-testing,"update","1.9.80","1.9.86",2021-02-14T13:53:33Z
com.google.appengineappengine-testing,"update","1.9.84","1.9.80",2021-01-17T12:13:31Z
com.google.appengineappengine-testing,"update","1.9.85","1.9.84",2020-12-16T18:55:10Z
com.google.appengineappengine-testing,"update","1.9.82","1.9.85",2020-12-16T18:43:22Z
com.google.appengineappengine-testing,"update","1.9.80","1.9.82",2020-09-12T09:22:02Z
org.apache.commonscommons-lang3,"update","3.12.0","3.14.0",2023-12-28T21:32:11Z
org.apache.commonscommons-lang3,"update","3.9","3.12.0",2021-08-08T14:49:14Z
org.apache.commonscommons-lang3,"update","3.12.0","3.9",2021-03-20T10:10:20Z
org.apache.commonscommons-lang3,"update","3.9","3.12.0",2021-03-02T06:50:22Z
com.google.appengineappengine-api-stubs,"remove","1.9.90","",2023-03-24T17:53:33Z
com.google.appengineappengine-api-stubs,"update","1.9.89","1.9.90",2021-07-18T07:23:57Z
com.google.appengineappengine-api-stubs,"update","1.9.88","1.9.89",2021-06-05T10:30:22Z
com.google.appengineappengine-api-stubs,"update","1.9.80","1.9.88",2021-04-24T10:30:22Z
com.google.appengineappengine-api-stubs,"update","1.9.88","1.9.80",2021-04-22T06:55:33Z
com.google.appengineappengine-api-stubs,"update","1.9.87","1.9.88",2021-04-10T09:15:00Z
com.google.appengineappengine-api-stubs,"update","1.9.80","1.9.87",2021-03-20T10:10:20Z
com.google.appengineappengine-api-stubs,"update","1.9.86","1.9.80",2021-03-02T06:50:22Z
com.google.appengineappengine-api-stubs,"update","1.9.80","1.9.86",2021-02-14T13:53:33Z
com.google.appengineappengine-api-stubs,"update","1.9.84","1.9.80",2021-01-17T12:13:31Z
com.google.appengineappengine-api-stubs,"update","1.9.85","1.9.84",2020-12-16T18:55:10Z
com.google.appengineappengine-api-stubs,"update","1.9.82","1.9.85",2020-12-16T18:43:22Z
com.google.appengineappengine-api-stubs,"update","1.9.80","1.9.82",2020-09-12T09:22:02Z
com.google.appengineappengine-api-labs,"remove","1.9.88","",2021-06-05T10:30:22Z
com.google.appengineappengine-api-labs,"update","1.9.80","1.9.88",2021-04-24T10:30:22Z
com.google.appengineappengine-api-labs,"update","1.9.88","1.9.80",2021-04-22T06:55:33Z
com.google.appengineappengine-api-labs,"update","1.9.87","1.9.88",2021-04-10T09:15:00Z
com.google.appengineappengine-api-labs,"update","1.9.80","1.9.87",2021-03-20T10:10:20Z
com.google.appengineappengine-api-labs,"update","1.9.86","1.9.80",2021-03-02T06:50:22Z
com.google.appengineappengine-api-labs,"update","1.9.80","1.9.86",2021-02-14T13:53:33Z
com.google.appengineappengine-api-labs,"update","1.9.84","1.9.80",2021-01-17T12:13:31Z
com.google.appengineappengine-api-labs,"update","1.9.85","1.9.84",2020-12-16T18:55:10Z
com.google.appengineappengine-api-labs,"update","1.9.82","1.9.85",2020-12-16T18:43:22Z
com.google.appengineappengine-api-labs,"update","1.9.80","1.9.82",2020-09-12T09:22:02Z
org.projectlomboklombok,"update","1.18.26","1.18.32",2024-03-20T21:27:42Z
org.projectlomboklombok,"add","","1.18.26",2023-03-24T17:53:33Z
javax.persistencepersistence-api,"remove","1.0.2","",2023-03-24T17:53:33Z
org.apache.lucenelucene-queryparser,"update","8.11.2","9.0.0",2022-08-02T20:34:32Z
org.apache.lucenelucene-queryparser,"update","9.0.0","8.11.2",2022-08-02T19:09:34Z
org.apache.lucenelucene-queryparser,"update","8.11.2","9.0.0",2022-08-01T16:51:04Z
org.apache.lucenelucene-queryparser,"update","9.0.0","8.11.2",2022-07-30T09:22:36Z
org.apache.lucenelucene-queryparser,"update","8.11.2","9.0.0",2022-07-16T09:23:21Z
org.apache.lucenelucene-queryparser,"update","9.0.0","8.11.2",2022-06-27T09:09:50Z
org.apache.lucenelucene-queryparser,"update","8.11.2","9.0.0",2022-05-22T09:23:20Z
org.apache.lucenelucene-queryparser,"update","9.0.0","8.11.2",2022-03-27T08:13:10Z
org.apache.lucenelucene-queryparser,"update","8.11.2","9.0.0",2022-03-19T15:38:28Z
org.apache.lucenelucene-queryparser,"update","8.11.1","8.11.2",2022-01-29T16:01:20Z
org.apache.lucenelucene-queryparser,"update","8.11.0","8.11.1",2021-12-21T19:50:53Z
org.apache.lucenelucene-queryparser,"update","8.10.1","8.11.0",2021-11-20T14:43:53Z
org.apache.lucenelucene-queryparser,"update","8.10.0","8.10.1",2021-11-06T09:16:36Z
org.apache.lucenelucene-queryparser,"update","8.9.0","8.10.0",2021-10-03T13:25:06Z
org.apache.lucenelucene-queryparser,"update","8.8.2","8.9.0",2021-07-03T15:42:00Z
org.apache.lucenelucene-queryparser,"update","8.5.2","8.8.2",2021-04-24T10:30:22Z
org.apache.lucenelucene-queryparser,"update","8.8.2","8.5.2",2021-04-22T06:55:33Z
org.apache.lucenelucene-queryparser,"update","8.8.1","8.8.2",2021-04-17T09:41:23Z
org.apache.lucenelucene-queryparser,"update","8.5.2","8.8.1",2021-03-20T10:10:20Z
org.apache.lucenelucene-queryparser,"update","8.8.1","8.5.2",2021-03-02T06:50:22Z
org.apache.lucenelucene-queryparser,"update","8.7.0","8.8.1",2021-02-28T18:32:15Z
org.apache.lucenelucene-queryparser,"update","8.5.2","8.7.0",2021-02-14T13:53:33Z
org.apache.lucenelucene-queryparser,"update","8.7.0","8.5.2",2021-01-17T12:13:31Z
org.apache.lucenelucene-queryparser,"update","8.6.3","8.7.0",2020-11-14T16:40:01Z
org.apache.lucenelucene-queryparser,"update","8.6.2","8.6.3",2020-10-17T09:34:58Z
org.apache.lucenelucene-queryparser,"update","8.6.1","8.6.2",2020-09-12T09:32:02Z
org.apache.lucenelucene-queryparser,"update","8.6.0","8.6.1",2020-08-29T09:10:23Z
org.apache.lucenelucene-queryparser,"update","8.5.2","8.6.0",2020-07-26T09:36:46Z
org.apache.lucenelucene-queryparser,"update","8.5.1","8.5.2",2020-06-06T20:03:35Z
org.apache.maven.scmmaven-scm-provider-gitexe,"update","1.12.2","1.13.0",2022-06-27T09:09:50Z
org.apache.maven.scmmaven-scm-provider-gitexe,"update","1.11.2","1.12.2",2022-01-29T15:00:02Z
org.apache.lucenelucene-queries,"update","8.11.2","9.0.0",2022-08-02T20:34:32Z
org.apache.lucenelucene-queries,"update","9.0.0","8.11.2",2022-08-02T19:09:34Z
org.apache.lucenelucene-queries,"update","8.11.2","9.0.0",2022-08-01T16:51:04Z
org.apache.lucenelucene-queries,"update","9.0.0","8.11.2",2022-07-30T09:22:36Z
org.apache.lucenelucene-queries,"update","8.11.2","9.0.0",2022-07-16T09:23:21Z
org.apache.lucenelucene-queries,"update","9.0.0","8.11.2",2022-06-27T09:09:50Z
org.apache.lucenelucene-queries,"update","8.11.2","9.0.0",2022-05-22T09:23:20Z
org.apache.lucenelucene-queries,"update","9.0.0","8.11.2",2022-03-27T08:13:10Z
org.apache.lucenelucene-queries,"update","8.11.2","9.0.0",2022-03-19T15:38:28Z
org.apache.lucenelucene-queries,"update","8.11.1","8.11.2",2022-01-29T16:01:20Z
org.apache.lucenelucene-queries,"update","8.11.0","8.11.1",2021-12-21T19:50:53Z
org.apache.lucenelucene-queries,"update","8.10.1","8.11.0",2021-11-20T14:43:53Z
org.apache.lucenelucene-queries,"update","8.10.0","8.10.1",2021-11-06T09:16:36Z
org.apache.lucenelucene-queries,"update","8.9.0","8.10.0",2021-10-03T13:25:06Z
org.apache.lucenelucene-queries,"update","8.8.2","8.9.0",2021-07-03T15:42:00Z
org.apache.lucenelucene-queries,"update","8.5.2","8.8.2",2021-04-24T10:30:22Z
org.apache.lucenelucene-queries,"update","8.8.2","8.5.2",2021-04-22T06:55:33Z
org.apache.lucenelucene-queries,"update","8.8.1","8.8.2",2021-04-17T09:41:23Z
org.apache.lucenelucene-queries,"update","8.5.2","8.8.1",2021-03-20T10:10:20Z
org.apache.lucenelucene-queries,"update","8.8.1","8.5.2",2021-03-02T06:50:22Z
org.apache.lucenelucene-queries,"update","8.7.0","8.8.1",2021-02-28T18:32:15Z
org.apache.lucenelucene-queries,"update","8.5.2","8.7.0",2021-02-14T13:53:33Z
org.apache.lucenelucene-queries,"update","8.7.0","8.5.2",2021-01-17T12:13:31Z
org.apache.lucenelucene-queries,"update","8.6.3","8.7.0",2020-11-14T16:40:01Z
org.apache.lucenelucene-queries,"update","8.6.2","8.6.3",2020-10-17T09:34:58Z
org.apache.lucenelucene-queries,"update","8.6.1","8.6.2",2020-09-12T09:32:02Z
org.apache.lucenelucene-queries,"update","8.6.0","8.6.1",2020-08-29T09:10:23Z
org.apache.lucenelucene-queries,"update","8.5.2","8.6.0",2020-07-26T09:36:46Z
org.apache.lucenelucene-queries,"update","8.5.1","8.5.2",2020-06-06T20:03:35Z
org.apache.lucenelucene-core,"update","8.11.2","9.0.0",2022-08-02T20:34:32Z
org.apache.lucenelucene-core,"update","9.0.0","8.11.2",2022-08-02T19:09:34Z
org.apache.lucenelucene-core,"update","8.11.2","9.0.0",2022-08-01T16:51:04Z
org.apache.lucenelucene-core,"update","9.0.0","8.11.2",2022-07-30T09:22:36Z
org.apache.lucenelucene-core,"update","8.11.2","9.0.0",2022-07-16T09:23:21Z
org.apache.lucenelucene-core,"update","9.0.0","8.11.2",2022-06-27T09:09:50Z
org.apache.lucenelucene-core,"update","8.11.2","9.0.0",2022-05-22T09:23:20Z
org.apache.lucenelucene-core,"update","9.0.0","8.11.2",2022-03-27T08:13:10Z
org.apache.lucenelucene-core,"update","8.11.2","9.0.0",2022-03-19T15:38:28Z
org.apache.lucenelucene-core,"update","8.11.1","8.11.2",2022-01-29T16:01:20Z
org.apache.lucenelucene-core,"update","8.11.0","8.11.1",2021-12-21T19:50:53Z
org.apache.lucenelucene-core,"update","8.10.1","8.11.0",2021-11-20T14:43:53Z
org.apache.lucenelucene-core,"update","8.10.0","8.10.1",2021-11-06T09:16:36Z
org.apache.lucenelucene-core,"update","8.9.0","8.10.0",2021-10-03T13:25:06Z
