library,type,old_version,new_version,commit_date
org.apache.lucenelucene-core,"update","4.0.0","5.5.3",2017-01-11T19:11:27Z
org.apache.lucenelucene-core,"update","3.6.1","4.0.0",2017-01-10T18:29:37Z
org.apache.lucenelucene-core,"update","3.0.1","3.6.1",2017-01-10T17:34:30Z
org.apache.lucenelucene-core,"add","","3.0.1",2016-11-17T22:03:14Z
commons-iocommons-io,"add","","2.4",2016-12-15T20:13:31Z
org.jacocojacoco-maven-plugin,"update","0.7.9","0.8.2",2020-03-09T02:42:22Z
org.jacocojacoco-maven-plugin,"add","","0.7.9",2017-03-06T22:47:54Z
javax.xml.bindjaxb-api,"add","","2.3.1",2020-03-09T02:42:22Z
com.jayway.jsonpathjson-path,"remove","unknown","",2016-11-23T18:16:18Z
org.springframework.bootspring-boot-starter-jdbc,"add","","unknown",2016-11-21T22:48:24Z
org.postgresqlpostgresql,"remove","unknown","",2016-11-22T06:47:43Z
org.postgresqlpostgresql,"update","9.4.1212.jre7","unknown",2016-11-21T22:48:24Z
org.postgresqlpostgresql,"add","","9.4.1212.jre7",2016-11-17T22:03:14Z
org.springframeworkspring-jdbc,"remove","unknown","",2016-11-23T18:16:18Z
org.springframeworkspring-jdbc,"add","","unknown",2016-11-21T22:36:06Z
org.apache.lucenelucene-analyzers-common,"update","4.0.0","5.5.3",2017-01-11T19:11:27Z
org.apache.lucenelucene-analyzers-common,"add","","4.0.0",2017-01-10T18:29:37Z
javax.mailmail,"add","","1.5.0-b01",2016-11-23T22:31:28Z
org.springframework.bootspring-boot-starter-test,"add","","unknown",2017-03-06T22:05:29Z
org.springframework.bootspring-boot-starter-test,"remove","unknown","",2016-11-23T18:16:18Z
org.apache.lucenelucene-queryparser,"update","4.0.0","5.5.3",2017-01-11T19:11:27Z
org.apache.lucenelucene-queryparser,"add","","4.0.0",2017-01-10T18:29:37Z
postgresqlpostgresql,"add","","9.1-901.jdbc4",2016-11-22T06:47:43Z
