library,type,old_version,new_version,commit_date
com.google.code.gsongson,"add","","unknown",2020-10-09T16:34:28Z
org.mybatis.spring.bootmybatis-spring-boot-starter,"update","2.1.3","2.1.1",2020-10-09T16:34:28Z
org.apache.lucenelucene-highlighter,"add","","5.3.1",2020-09-23T05:38:26Z
org.apache.lucenelucene-analyzers-smartcn,"add","","5.3.1",2020-09-23T05:38:26Z
org.springframework.securityspring-security-test,"remove","unknown","",2020-10-09T16:34:28Z
org.apache.shiroshiro-core,"add","","1.4.0",2020-10-09T16:34:28Z
org.springframework.bootspring-boot-starter,"add","","unknown",2020-10-09T16:34:28Z
org.apache.shiroshiro-spring,"add","","1.4.0",2020-10-09T16:34:28Z
org.projectlomboklombok,"remove","unknown","",2020-10-17T16:17:55Z
org.projectlomboklombok,"add","","unknown",2020-10-09T16:34:28Z
org.jsoupjsoup,"add","","1.8.3",2020-09-11T17:10:02Z
org.apache.lucenelucene-queryparser,"add","","5.3.1",2020-09-23T05:38:26Z
com.gitee.qdbp.thirdpartyueditor,"add","","1.4.3.3",2020-10-09T16:34:28Z
org.apache.lucenelucene-core,"add","","5.3.1",2020-09-23T05:38:26Z
org.jsonjson,"add","","20210307",2021-07-22T03:39:55Z
javax.servletjavax.servlet-api,"add","","4.0.1",2020-10-09T16:34:28Z
org.springframework.bootspring-boot-starter-mail,"remove","2.1.1.RELEASE","",2021-07-17T05:24:24Z
org.springframework.bootspring-boot-starter-mail,"add","","2.1.1.RELEASE",2021-05-16T13:31:15Z
org.springframework.bootspring-boot-starter-tomcat,"add","","unknown",2020-10-09T16:34:28Z
org.apache.lucenelucene-analyzers-common,"add","","5.3.1",2020-09-23T05:38:26Z
javax.mailjavax.mail-api,"add","","1.6.2",2021-07-17T05:24:24Z
redis.clientsjedis,"add","","2.9.0",2021-06-22T09:11:05Z
junitjunit,"add","","4.12",2021-07-05T03:54:38Z
org.springframework.bootspring-boot-starter-quartz,"add","","unknown",2020-10-09T16:34:28Z
cn.hutoolhutool-all,"add","","5.5.9",2021-03-11T19:36:26Z
