library,type,old_version,new_version,commit_date
com.fasterxml.jackson.corejackson-databind,"add","","2.3.3",2015-12-21T10:30:12Z
c3p0c3p0,"add","","0.9.1.2",2015-12-16T10:32:46Z
org.apache.commonscommons-lang3,"add","","3.3.2",2015-12-16T10:32:46Z
commons-codeccommons-codec,"update","1.3","1.8",2018-07-30T08:18:32Z
commons-codeccommons-codec,"add","","1.3",2015-12-21T10:30:12Z
com.google.guavaguava,"add","","16.0",2015-12-16T10:32:46Z
org.slf4jslf4j-api,"add","","1.7.7",2015-12-16T10:32:46Z
org.apache.httpcomponentshttpclient,"add","","4.2.1",2015-12-16T10:32:46Z
org.projectlomboklombok,"add","","1.16.18",2018-07-18T11:26:22Z
org.junit.jupiterjunit-jupiter-api,"add","","5.2.0",2018-07-30T08:18:32Z
net.sourceforge.jexcelapijxl,"add","","2.6.10",2018-07-20T11:33:48Z
log4jlog4j,"update","1.2.15","1.2.13",2017-07-14T06:33:44Z
log4jlog4j,"add","","1.2.15",2015-12-16T10:32:46Z
org.apache.poipoi,"add","","3.15",2018-07-20T11:33:48Z
org.springframeworkspring-orm,"add","","3.0.5.RELEASE",2015-12-21T10:30:12Z
commons-iocommons-io,"add","","2.4",2015-12-16T10:32:46Z
org.apache.commonscommons-pool2,"add","","2.0",2015-12-16T10:32:46Z
dom4jdom4j,"add","","1.4",2015-12-16T10:32:46Z
joda-timejoda-time,"add","","2.3",2016-01-18T02:56:14Z
junitjunit,"update","4.8.2","4.12",2018-07-30T08:18:32Z
junitjunit,"update","3.8.1","4.8.2",2015-12-16T10:32:46Z
commons-configurationcommons-configuration,"add","","1.9",2015-12-16T10:32:46Z
commons-dbcpcommons-dbcp,"add","","1.2.2",2015-12-16T10:32:46Z
org.apache.poipoi-ooxml,"add","","3.15",2018-07-20T11:33:48Z
net.sf.dozerdozer,"add","","5.5.1",2016-01-18T02:56:14Z
commons-loggingcommons-logging,"add","","1.1.1",2015-12-16T10:32:46Z
commons-httpclientcommons-httpclient,"add","","3.1",2018-05-22T05:48:41Z
org.slf4jslf4j-log4j12,"add","","1.7.7",2015-12-16T10:32:46Z
org.springframeworkspring-jdbc,"add","","3.0.5.RELEASE",2015-12-21T10:30:12Z
org.apache.lucenelucene-facet,"add","","4.3.1",2016-01-17T14:51:57Z
com.googlecode.xmemcachedxmemcached,"remove","1.3.8","",2017-07-14T06:33:44Z
com.googlecode.xmemcachedxmemcached,"add","","1.3.8",2015-12-21T10:30:12Z
org.jsoupjsoup,"add","","1.7.2",2016-02-01T10:09:07Z
com.thoughtworks.xstreamxstream,"add","","1.4.2",2015-12-16T10:32:46Z
org.apache.lucenelucene-queryparser,"add","","4.3.1",2016-01-17T14:51:57Z
org.apache.httpcomponentshttpcore,"add","","4.3.2",2018-05-22T05:48:41Z
mysqlmysql-connector-java,"add","","5.1.16",2015-12-16T10:32:46Z
org.freemarkerfreemarker,"add","","2.3.23",2016-01-13T06:57:59Z
org.apache.lucenelucene-core,"add","","4.3.1",2015-12-16T10:32:46Z
javax.servletjavax.servlet-api,"add","","3.0.1",2015-12-16T10:32:46Z
org.springframeworkspring-web,"add","","3.0.5.RELEASE",2015-12-21T10:30:12Z
org.apache.lucenelucene-analyzers-common,"add","","4.3.1",2015-12-21T10:30:12Z
redis.clientsjedis,"add","","2.0.0",2015-12-21T10:30:12Z
org.clojars.mmcgranajava-memcached,"remove","2.0.1","",2017-07-14T06:33:44Z
org.clojars.mmcgranajava-memcached,"add","","2.0.1",2015-12-21T10:30:12Z
