library,type,old_version,new_version,commit_date
org.apache.lucenelucene-backward-codecs,"remove","${lucene.version}","",2025-02-14T10:49:31Z
org.apache.lucenelucene-backward-codecs,"add","","${lucene.version}",2022-01-27T17:14:48Z
org.apache.lucenelucene-analysis-common,"remove","${lucene.version}","",2025-02-14T10:49:31Z
org.apache.lucenelucene-analysis-common,"add","","${lucene.version}",2022-01-27T17:14:48Z
org.seleniumhq.seleniumselenium-java,"remove","2.44.0","",2019-02-04T18:13:44Z
software.amazon.awssdks3,"remove","${awssdk.version}","",2025-02-14T10:49:31Z
org.junit.jupiterjunit-jupiter-api,"update","5.11.2","5.11.4",2025-02-14T11:22:17Z
org.junit.jupiterjunit-jupiter-api,"add","","5.11.2",2025-02-14T10:49:31Z
com.puppycrawl.toolscheckstyle,"add","","10.16.0",2025-02-14T10:49:31Z
org.mockitomockito-all,"remove","${mockito.version}","",2025-02-14T10:49:31Z
org.apache.lucenelucene-queryparser,"remove","${lucene.version}","",2025-02-14T10:49:31Z
com.adobe.testings3mock,"add","","3.12.0",2025-02-14T10:49:31Z
org.junit.jupiterjunit-jupiter-engine,"update","5.11.2","5.11.4",2025-02-14T11:22:17Z
org.junit.jupiterjunit-jupiter-engine,"add","","5.11.2",2025-02-14T10:49:31Z
org.apache.lucenelucene-analyzers-common,"remove","${lucene.version}","",2022-01-27T17:14:48Z
org.slf4jjcl-over-slf4j,"add","","${slf4j.version}",2025-02-14T10:49:31Z
com.github.davidmotenaws-lightweight-client-java,"add","","0.1.19",2025-02-14T10:49:31Z
org.apache.logging.log4jlog4j-slf4j-impl,"remove","${log4j.version}","",2025-02-14T10:49:31Z
org.apache.logging.log4jlog4j-core,"remove","${log4j.version}","",2025-02-14T10:49:31Z
org.mockitomockito-core,"update","5.14.1","5.14.2",2025-02-14T11:22:17Z
org.mockitomockito-core,"add","","5.14.1",2025-02-14T10:49:31Z
junitjunit,"remove","${junit.version}","",2025-02-14T10:49:31Z
com.operaoperadriver,"remove","1.5","",2019-02-04T18:13:44Z
