library,type,old_version,new_version,commit_date
org.glassfish.jersey.corejersey-server,"update","2.27","2.34",2021-04-28T05:44:44Z
org.glassfish.jersey.corejersey-server,"update","2.26","2.27",2018-12-04T18:23:16Z
org.glassfish.jersey.corejersey-server,"update","2.25.1","2.26",2018-02-25T09:04:38Z
org.glassfish.jersey.corejersey-server,"update","2.24","2.25.1",2017-03-24T07:44:08Z
org.glassfish.jersey.corejersey-server,"update","2.23.2","2.24",2016-11-12T10:14:51Z
org.eclipse.rdf4jrdf4j-queryresultio-text,"update","2.4.2","3.4.3",2021-04-28T05:44:44Z
org.eclipse.rdf4jrdf4j-queryresultio-text,"update","2.2.2","2.4.2",2018-12-04T18:23:16Z
org.eclipse.rdf4jrdf4j-queryresultio-text,"update","2.1.4","2.2.2",2018-02-24T12:23:04Z
org.eclipse.rdf4jrdf4j-queryresultio-text,"update","2.2.2","2.1.4",2017-09-14T14:09:37Z
org.eclipse.rdf4jrdf4j-queryresultio-text,"update","2.2","2.2.2",2017-09-11T15:31:42Z
org.eclipse.rdf4jrdf4j-queryresultio-text,"update","2.1.4","2.2",2017-03-24T07:44:08Z
org.eclipse.rdf4jrdf4j-queryresultio-text,"add","","2.1.4",2016-12-13T17:03:04Z
org.eclipse.rdf4jrdf4j-queryparser-sparql,"update","2.4.2","3.4.3",2021-04-28T05:44:44Z
org.eclipse.rdf4jrdf4j-queryparser-sparql,"update","2.2.2","2.4.2",2018-12-04T18:23:16Z
org.eclipse.rdf4jrdf4j-queryparser-sparql,"update","2.1.4","2.2.2",2018-02-24T12:23:04Z
org.eclipse.rdf4jrdf4j-queryparser-sparql,"update","2.2.2","2.1.4",2017-09-14T14:09:37Z
org.eclipse.rdf4jrdf4j-queryparser-sparql,"update","2.2","2.2.2",2017-09-11T15:31:42Z
org.eclipse.rdf4jrdf4j-queryparser-sparql,"update","2.1.4","2.2",2017-03-24T07:44:08Z
org.eclipse.rdf4jrdf4j-queryparser-sparql,"add","","2.1.4",2016-12-13T17:03:04Z
javax.activationactivation,"add","","1.1.1",2017-09-29T21:01:39Z
org.wikidata.wdtkwdtk-dumpfiles,"update","0.12.0","0.12.1",2021-05-13T06:50:35Z
org.wikidata.wdtkwdtk-dumpfiles,"update","0.11.1","0.12.0",2021-05-08T13:25:28Z
org.wikidata.wdtkwdtk-dumpfiles,"update","0.9.0","0.11.1",2021-04-28T05:44:44Z
org.wikidata.wdtkwdtk-dumpfiles,"update","0.8.0","0.9.0",2018-12-04T18:23:16Z
org.wikidata.wdtkwdtk-dumpfiles,"update","0.8.0-SNAPSHOT","0.8.0",2018-01-01T21:45:34Z
org.wikidata.wdtkwdtk-dumpfiles,"update","0.7.0","0.8.0-SNAPSHOT",2017-01-16T17:24:03Z
org.glassfish.jersey.extjersey-entity-filtering,"update","2.27","2.34",2021-04-28T05:44:44Z
org.glassfish.jersey.extjersey-entity-filtering,"update","2.26","2.27",2018-12-04T18:23:16Z
org.glassfish.jersey.extjersey-entity-filtering,"update","2.25.1","2.26",2018-02-25T09:04:38Z
org.glassfish.jersey.extjersey-entity-filtering,"update","2.24","2.25.1",2017-03-24T07:44:08Z
org.glassfish.jersey.extjersey-entity-filtering,"update","2.23.2","2.24",2016-11-12T10:14:51Z
org.codehaus.plexusplexus-compiler-javac-errorprone,"remove","2.8","",2017-09-29T21:14:25Z
org.codehaus.plexusplexus-compiler-javac-errorprone,"add","","2.8",2017-05-17T08:33:30Z
org.wikidata.wdtkwdtk-wikibaseapi,"remove","0.8.0-SNAPSHOT","",2017-06-29T09:45:52Z
org.wikidata.wdtkwdtk-wikibaseapi,"add","","0.8.0-SNAPSHOT",2017-04-17T17:44:44Z
org.eclipse.rdf4jrdf4j-rio-n3,"update","2.4.2","3.4.3",2021-04-28T05:44:44Z
org.eclipse.rdf4jrdf4j-rio-n3,"update","2.2.2","2.4.2",2018-12-04T18:23:16Z
org.eclipse.rdf4jrdf4j-rio-n3,"update","2.1.4","2.2.2",2018-02-24T12:23:04Z
org.eclipse.rdf4jrdf4j-rio-n3,"update","2.2.2","2.1.4",2017-09-14T14:09:37Z
org.eclipse.rdf4jrdf4j-rio-n3,"update","2.2","2.2.2",2017-09-11T15:31:42Z
org.eclipse.rdf4jrdf4j-rio-n3,"update","2.1.4","2.2",2017-03-24T07:44:08Z
org.eclipse.rdf4jrdf4j-rio-n3,"add","","2.1.4",2016-12-13T17:03:04Z
org.eclipse.rdf4jrdf4j-queryresultio-sparqljson,"update","2.4.2","3.4.3",2021-04-28T05:44:44Z
org.eclipse.rdf4jrdf4j-queryresultio-sparqljson,"update","2.2.2","2.4.2",2018-12-04T18:23:16Z
org.eclipse.rdf4jrdf4j-queryresultio-sparqljson,"update","2.1.4","2.2.2",2018-02-24T12:23:04Z
org.eclipse.rdf4jrdf4j-queryresultio-sparqljson,"update","2.2.2","2.1.4",2017-09-14T14:09:37Z
org.eclipse.rdf4jrdf4j-queryresultio-sparqljson,"update","2.2","2.2.2",2017-09-11T15:31:42Z
org.eclipse.rdf4jrdf4j-queryresultio-sparqljson,"update","2.1.4","2.2",2017-03-24T07:44:08Z
org.eclipse.rdf4jrdf4j-queryresultio-sparqljson,"add","","2.1.4",2016-12-13T17:03:04Z
org.eclipse.rdf4jrdf4j-queryresultio-sparqlxml,"update","2.4.2","3.4.3",2021-04-28T05:44:44Z
org.eclipse.rdf4jrdf4j-queryresultio-sparqlxml,"update","2.2.2","2.4.2",2018-12-04T18:23:16Z
org.eclipse.rdf4jrdf4j-queryresultio-sparqlxml,"update","2.1.4","2.2.2",2018-02-24T12:23:04Z
org.eclipse.rdf4jrdf4j-queryresultio-sparqlxml,"update","2.2.2","2.1.4",2017-09-14T14:09:37Z
org.eclipse.rdf4jrdf4j-queryresultio-sparqlxml,"update","2.2","2.2.2",2017-09-11T15:31:42Z
org.eclipse.rdf4jrdf4j-queryresultio-sparqlxml,"add","","2.2",2017-03-24T07:44:08Z
junitjunit,"update","4.12","4.13.2",2021-04-28T05:44:44Z
com.vividsolutionsjts-io,"add","","1.14.0",2017-04-17T20:04:23Z
org.eclipse.rdf4jrdf4j-queryalgebra-evaluation,"update","2.4.2","3.4.3",2021-04-28T05:44:44Z
org.eclipse.rdf4jrdf4j-queryalgebra-evaluation,"update","2.2.2","2.4.2",2018-12-04T18:23:16Z
org.eclipse.rdf4jrdf4j-queryalgebra-evaluation,"update","2.1.4","2.2.2",2018-02-24T12:23:04Z
org.eclipse.rdf4jrdf4j-queryalgebra-evaluation,"update","2.2.2","2.1.4",2017-09-14T14:09:37Z
org.eclipse.rdf4jrdf4j-queryalgebra-evaluation,"update","2.2","2.2.2",2017-09-11T15:31:42Z
org.eclipse.rdf4jrdf4j-queryalgebra-evaluation,"update","2.1.4","2.2",2017-03-24T07:44:08Z
org.eclipse.rdf4jrdf4j-queryalgebra-evaluation,"add","","2.1.4",2016-12-13T17:03:04Z
org.glassfish.jersey.test-framework.providersjersey-test-framework-provider-inmemory,"update","2.27","2.34",2021-04-28T05:44:44Z
