library,type,old_version,new_version,commit_date
com.tripodtripod-search-api,"remove","1.0.0-SNAPSHOT","",2017-09-06T01:22:34Z
com.tripodtripod-search-api,"update","0.3.0","1.0.0-SNAPSHOT",2017-09-05T15:08:08Z
com.tripodtripod-search-api,"update","0.3.0-SNAPSHOT","0.3.0",2017-09-05T15:08:08Z
com.bbende.tripodtripod-search-api,"update","0.5.2","0.6.0-SNAPSHOT",2017-09-17T16:29:19Z
com.bbende.tripodtripod-search-api,"update","0.6.0-SNAPSHOT","0.5.2",2017-09-17T16:29:19Z
com.bbende.tripodtripod-search-api,"update","0.5.1","0.6.0-SNAPSHOT",2017-09-14T11:12:56Z
com.bbende.tripodtripod-search-api,"update","0.6.0-SNAPSHOT","0.5.1",2017-09-14T11:12:56Z
com.bbende.tripodtripod-search-api,"update","0.5.0","0.6.0-SNAPSHOT",2017-09-13T12:18:21Z
com.bbende.tripodtripod-search-api,"update","0.5.0-SNAPSHOT","0.5.0",2017-09-13T12:18:21Z
com.bbende.tripodtripod-search-api,"update","0.4.0","0.5.0-SNAPSHOT",2017-09-13T11:38:56Z
com.bbende.tripodtripod-search-api,"update","1.0.0-SNAPSHOT","0.4.0",2017-09-13T11:38:55Z
com.bbende.tripodtripod-search-api,"add","","1.0.0-SNAPSHOT",2017-09-06T01:22:34Z
