library,type,old_version,new_version,commit_date
org.apache.lucenelucene-backward-codecs,"add","","9.10.0",2024-03-01T10:17:46Z
com.fasterxml.jackson.corejackson-databind,"update","2.15.1","2.16.1",2024-03-01T10:17:46Z
com.fasterxml.jackson.corejackson-databind,"update","2.11.0","2.15.1",2023-10-10T07:46:47Z
com.fasterxml.jackson.corejackson-core,"update","2.15.1","2.16.1",2024-03-01T10:17:46Z
com.fasterxml.jackson.corejackson-core,"update","2.11.0","2.15.1",2023-10-10T07:46:47Z
org.apache.lucenelucene-highlighter,"update","9.9.1","9.10.0",2024-03-01T10:17:46Z
org.apache.lucenelucene-highlighter,"update","9.8.0","9.9.1",2024-01-10T09:31:28Z
org.apache.lucenelucene-highlighter,"update","9.7.0","9.8.0",2023-10-10T07:46:47Z
org.apache.lucenelucene-highlighter,"update","8.9.0","9.7.0",2023-08-06T03:23:29Z
org.apache.lucenelucene-analyzers-smartcn,"update","8.11.2","8.11.3",2024-03-01T10:17:46Z
org.apache.lucenelucene-analyzers-smartcn,"update","8.9.0","8.11.2",2023-08-06T03:23:29Z
org.slf4jslf4j-api,"update","2.0.5","2.0.9",2024-03-01T10:17:46Z
org.slf4jslf4j-api,"update","1.7.30","2.0.5",2023-10-10T07:46:47Z
org.projectlomboklombok,"update","1.18.26","1.18.30",2024-03-01T10:17:46Z
org.projectlomboklombok,"update","1.18.20","1.18.26",2023-10-10T07:46:47Z
com.thoughtworks.xstreamxstream,"add","","1.4.15",2023-08-11T14:45:47Z
com.fasterxml.jackson.modulejackson-module-kotlin,"update","2.15.1","2.16.1",2024-03-01T10:17:46Z
com.fasterxml.jackson.modulejackson-module-kotlin,"update","2.11.0","2.15.1",2023-10-10T07:46:47Z
org.apache.lucenelucene-queryparser,"update","9.9.1","9.10.0",2024-03-01T10:17:46Z
org.apache.lucenelucene-queryparser,"update","9.8.0","9.9.1",2024-01-10T09:31:28Z
org.apache.lucenelucene-queryparser,"update","9.7.0","9.8.0",2023-10-10T07:46:47Z
org.apache.lucenelucene-queryparser,"update","8.9.0","9.7.0",2023-08-06T03:23:29Z
org.apache.lucenelucene-core,"update","9.9.1","9.10.0",2024-03-01T10:17:46Z
org.apache.lucenelucene-core,"update","9.8.0","9.9.1",2024-01-10T09:31:28Z
org.apache.lucenelucene-core,"update","9.7.0","9.8.0",2023-10-10T07:46:47Z
org.apache.lucenelucene-core,"update","8.9.0","9.7.0",2023-08-06T03:23:29Z
com.fasterxml.jackson.dataformatjackson-dataformat-xml,"update","2.15.1","2.16.1",2024-03-01T10:17:46Z
com.fasterxml.jackson.dataformatjackson-dataformat-xml,"update","2.11.0","2.15.1",2023-10-10T07:46:47Z
com.github.mageseik-analyzer,"update","8.4.0","8.5.0",2023-08-06T03:23:29Z
org.apache.lucenelucene-analyzers-common,"update","8.11.2","8.11.3",2024-03-01T10:17:46Z
org.apache.lucenelucene-analyzers-common,"update","8.9.0","8.11.2",2023-08-06T03:23:29Z
com.fasterxml.jackson.corejackson-annotations,"update","2.15.1","2.16.1",2024-03-01T10:17:46Z
com.fasterxml.jackson.corejackson-annotations,"update","2.11.0","2.15.1",2023-10-10T07:46:47Z
