library,type,old_version,new_version,commit_date
org.apache.lucenelucene-backward-codecs,"remove","6.3.0","",2018-02-13T07:39:53Z
org.apache.logging.log4jlog4j-api,"add","","2.7",2017-08-08T09:20:22Z
commons-loggingcommons-logging,"add","","1.1.1",2017-08-08T09:20:22Z
org.elasticsearch.clienttransport,"update","5.1.1","6.1.3",2018-02-13T07:39:53Z
org.elasticsearch.clienttransport,"add","","5.1.1",2017-08-08T09:20:22Z
org.elasticsearch.clientrest,"remove","5.1.2","",2018-02-13T07:39:53Z
org.elasticsearch.clientrest,"add","","5.1.2",2017-08-08T09:20:22Z
org.apache.lucenelucene-highlighter,"remove","6.3.0","",2018-02-13T07:39:53Z
org.elasticsearchelasticsearch,"update","5.1.1","6.1.3",2018-02-13T07:39:53Z
org.elasticsearchelasticsearch,"add","","5.1.1",2017-08-08T09:20:22Z
org.elasticsearch.clientelasticsearch-rest-high-level-client,"add","","6.1.3",2018-02-13T07:39:53Z
org.apache.lucenelucene-spellchecker,"remove","3.6.2","",2017-08-08T09:20:22Z
com.googlecode.json-simplejson-simple,"add","","1.1",2018-02-13T07:39:53Z
org.elasticsearch.clientelasticsearch-rest-client,"add","","6.1.3",2018-02-13T07:39:53Z
org.apache.lucenelucene-analyzers-icu,"remove","6.3.0","",2018-02-13T07:39:53Z
org.apache.lucenelucene-analyzers-icu,"add","","6.3.0",2017-08-08T09:20:22Z
org.apache.lucenelucene-queryparser,"remove","6.3.0","",2018-02-13T07:39:53Z
org.apache.lucenelucene-queries,"remove","6.3.0","",2018-02-13T07:39:53Z
org.apache.lucenelucene-core,"remove","6.3.0","",2018-02-13T07:39:53Z
org.apache.lucenelucene-suggest,"remove","6.3.0","",2018-02-13T07:39:53Z
org.apache.lucenelucene-suggest,"add","","6.3.0",2017-08-08T09:20:22Z
org.apache.lucenelucene-codecs,"remove","6.3.0","",2018-02-13T07:39:53Z
org.apache.lucenelucene-spatial-extras,"remove","6.3.0","",2018-02-13T07:39:53Z
org.apache.lucenelucene-analyzers-common,"remove","6.3.0","",2018-02-13T07:39:53Z
org.apache.logging.log4jlog4j-core,"add","","2.7",2017-08-08T09:20:22Z
com.ibm.icuicu4j,"add","","4.8",2017-08-08T09:20:22Z
org.apache.lucenelucene-spatial,"remove","6.3.0","",2018-02-13T07:39:53Z
