library,type,old_version,new_version,commit_date
org.apache.lucenelucene-analysis-common,"add","","9.0.0",2021-12-09T07:32:53Z
org.apache.lucenelucene-core,"update","8.4.0","9.0.0",2021-12-09T07:32:53Z
org.apache.lucenelucene-core,"update","8.1.0","8.4.0",2020-01-19T10:50:34Z
org.apache.lucenelucene-core,"update","7.7.0","8.1.0",2019-07-02T07:44:14Z
org.apache.lucenelucene-core,"update","7.5.0","7.7.0",2019-02-28T11:06:18Z
org.apache.lucenelucene-core,"update","6.5.0","7.5.0",2018-10-10T06:15:39Z
org.apache.lucenelucene-core,"update","5.3.0","6.5.0",2018-10-10T06:08:14Z
org.apache.lucenelucene-core,"update","4.10.3","5.3.0",2015-09-13T04:07:22Z
org.apache.lucenelucene-core,"update","4.6.1","4.10.3",2015-09-13T03:45:02Z
ch.qos.logbacklogback-classic,"update","1.2.9","1.2.13",2023-12-05T22:41:27Z
ch.qos.logbacklogback-classic,"update","1.2.7","1.2.9",2022-11-02T12:40:36Z
ch.qos.logbacklogback-classic,"update","1.2.3","1.2.7",2021-12-09T07:32:53Z
ch.qos.logbacklogback-classic,"add","","1.2.3",2019-07-08T11:31:17Z
org.apache.lucenelucene-analyzers-common,"remove","8.4.0","",2021-12-09T07:32:53Z
org.apache.lucenelucene-analyzers-common,"update","8.1.0","8.4.0",2020-01-19T10:50:34Z
org.apache.lucenelucene-analyzers-common,"update","7.7.0","8.1.0",2019-07-02T07:44:14Z
org.apache.lucenelucene-analyzers-common,"update","7.5.0","7.7.0",2019-02-28T11:06:18Z
org.apache.lucenelucene-analyzers-common,"update","6.5.0","7.5.0",2018-10-10T06:15:39Z
org.apache.lucenelucene-analyzers-common,"update","5.3.0","6.5.0",2018-10-10T06:08:14Z
org.apache.lucenelucene-analyzers-common,"update","4.10.3","5.3.0",2015-09-13T04:07:22Z
org.apache.lucenelucene-analyzers-common,"update","4.6.1","4.10.3",2015-09-13T03:45:02Z
org.apache.lucenelucene-queryparser,"update","8.4.0","9.0.0",2021-12-09T07:32:53Z
org.apache.lucenelucene-queryparser,"update","8.1.0","8.4.0",2020-01-19T10:50:34Z
org.apache.lucenelucene-queryparser,"update","7.7.0","8.1.0",2019-07-02T07:44:14Z
org.apache.lucenelucene-queryparser,"update","7.5.0","7.7.0",2019-02-28T11:06:18Z
org.apache.lucenelucene-queryparser,"update","6.5.0","7.5.0",2018-10-10T06:15:39Z
org.apache.lucenelucene-queryparser,"update","5.3.0","6.5.0",2018-10-10T06:08:14Z
org.apache.lucenelucene-queryparser,"update","4.10.3","5.3.0",2015-09-13T04:07:22Z
org.apache.lucenelucene-queryparser,"update","4.6.1","4.10.3",2015-09-13T03:45:02Z
junitjunit,"update","4.12","4.13.1",2021-08-16T09:07:35Z
junitjunit,"update","4.13.1","4.12",2020-12-11T03:30:48Z
junitjunit,"update","4.12","4.13.1",2020-10-13T10:20:54Z
junitjunit,"add","","4.12",2018-10-10T05:46:42Z
