library,type,old_version,new_version,commit_date
org.brutusinjson-codec-jackson,"remove","1.1.2-SNAPSHOT","",2015-09-15T15:03:57Z
org.brutusinjson-codec-jackson,"update","1.1.1","1.1.2-SNAPSHOT",2015-09-15T14:13:49Z
org.brutusinjson-codec-jackson,"update","1.1.1-SNAPSHOT","1.1.1",2015-02-26T14:35:44Z
org.brutusinjson-codec-jackson,"update","1.0.5-SNAPSHOT","1.1.1-SNAPSHOT",2015-02-22T12:55:34Z
org.brutusinjson-provider,"update","1.1.2-SNAPSHOT","2.0.0",2015-09-16T10:14:54Z
org.brutusinjson-provider,"add","","1.1.2-SNAPSHOT",2015-09-15T15:03:57Z
org.brutusincommons,"remove","1.3.2","",2015-09-11T11:18:29Z
org.brutusincommons,"update","1.3.2-SNAPSHOT","1.3.2",2015-02-26T14:35:44Z
org.brutusincommons,"update","1.3.1-SNAPSHOT","1.3.2-SNAPSHOT",2015-02-23T17:51:46Z
org.brutusincommons,"update","1.2.7-SNAPSHOT","1.3.1-SNAPSHOT",2015-02-22T12:55:34Z
org.brutusinjson,"update","1.0.0-SNAPSHOT","1.0.0",2015-09-16T10:14:54Z
org.brutusinjson,"add","","1.0.0-SNAPSHOT",2015-09-11T11:18:29Z
