library,type,old_version,new_version,commit_date
org.apache.lucenelucene-analysis-common,"add","","9.10.0",2024-04-09T11:42:44Z
io.bdrc.ewtsconverterewts-converter,"update","1.5.1","1.6.0",2022-12-02T08:20:18Z
io.bdrc.ewtsconverterewts-converter,"update","1.6.0","1.5.1",2022-09-12T10:40:02Z
io.bdrc.ewtsconverterewts-converter,"update","1.5.1","1.6.0",2022-06-20T08:21:12Z
io.bdrc.ewtsconverterewts-converter,"update","1.4.1","1.5.1",2021-01-12T18:05:28Z
io.bdrc.ewtsconverterewts-converter,"update","1.3.0","1.4.1",2018-10-23T10:29:34Z
io.bdrc.ewtsconverterewts-converter,"update","1.2.0","1.3.0",2018-05-16T20:13:21Z
io.bdrc.ewtsconverterewts-converter,"update","1.3.0","1.2.0",2018-05-05T10:22:19Z
io.bdrc.ewtsconverterewts-converter,"update","1.2.0","1.3.0",2018-01-18T15:41:03Z
io.bdrc.ewtsconverterewts-converter,"update","1.1.0","1.2.0",2017-09-20T09:11:28Z
io.bdrc.ewtsconverterewts-converter,"add","","1.1.0",2017-08-24T13:11:38Z
org.apache.lucenelucene-highlighter,"update","8.11.1","9.10.0",2024-04-09T11:42:44Z
org.apache.lucenelucene-highlighter,"update","7.5.0","8.11.1",2022-06-21T09:42:40Z
org.apache.lucenelucene-highlighter,"update","6.6.0","7.5.0",2021-01-07T15:36:36Z
org.apache.lucenelucene-highlighter,"add","","6.6.0",2018-10-23T09:22:16Z
org.slf4jslf4j-api,"update","1.7.25","1.7.36",2022-06-21T09:42:40Z
org.slf4jslf4j-api,"add","","1.7.25",2018-10-23T09:23:50Z
org.slf4jslf4j-api,"remove","1.7.25","",2018-10-23T09:22:16Z
org.slf4jslf4j-api,"add","","1.7.25",2018-10-03T16:59:29Z
org.slf4jslf4j-simple,"update","1.7.25","1.7.36",2022-06-21T09:42:40Z
org.slf4jslf4j-simple,"add","","1.7.25",2018-10-23T09:23:50Z
org.slf4jslf4j-simple,"remove","1.7.25","",2018-10-23T09:22:16Z
org.slf4jslf4j-simple,"add","","1.7.25",2018-10-03T16:59:29Z
org.apache.lucenelucene-queryparser,"update","8.11.1","9.10.0",2024-04-09T11:42:44Z
org.apache.lucenelucene-queryparser,"update","7.5.0","8.11.1",2022-06-21T09:42:40Z
org.apache.lucenelucene-queryparser,"update","6.6.0","7.5.0",2021-01-07T15:36:36Z
org.apache.lucenelucene-queryparser,"add","","6.6.0",2018-10-23T09:22:16Z
org.apache.lucenelucene-core,"update","8.11.1","9.10.0",2024-04-09T11:42:44Z
org.apache.lucenelucene-core,"update","7.5.0","8.11.1",2022-06-21T09:42:40Z
org.apache.lucenelucene-core,"update","6.6.0","7.5.0",2021-01-07T15:36:36Z
org.apache.lucenelucene-core,"update","6.4.1","6.6.0",2017-08-24T13:11:38Z
org.apache.lucenelucene-core,"add","","6.4.1",2017-04-11T09:05:53Z
org.apache.lucenelucene-analyzers-stempel,"remove","6.4.1","",2017-05-10T15:25:22Z
org.apache.lucenelucene-analyzers-stempel,"add","","6.4.1",2017-04-18T12:45:15Z
org.apache.lucenelucene-analyzers-common,"remove","8.11.1","",2024-04-09T11:42:44Z
org.apache.lucenelucene-analyzers-common,"update","7.5.0","8.11.1",2022-06-21T09:42:40Z
org.apache.lucenelucene-analyzers-common,"update","6.6.0","7.5.0",2021-01-07T15:36:36Z
org.apache.lucenelucene-analyzers-common,"update","6.4.1","6.6.0",2017-08-24T13:11:38Z
org.apache.lucenelucene-analyzers-common,"add","","6.4.1",2017-04-11T11:34:11Z
io.bdrc.lucenestemmer,"update","1.0.0","1.1.0",2018-06-28T17:59:20Z
io.bdrc.lucenestemmer,"update","1.1.0","1.0.0",2018-05-22T13:15:36Z
io.bdrc.lucenestemmer,"update","1.0.0","1.1.0",2018-05-05T08:49:36Z
io.bdrc.lucenestemmer,"add","","1.0.0",2017-04-21T13:41:32Z
egothoregothor2,"remove","4.0.0","",2017-04-21T13:41:32Z
egothoregothor2,"add","","4.0.0",2017-04-20T08:35:52Z
junitjunit,"update","unknown","4.12",2017-04-14T10:22:57Z
junitjunit,"update","3.8.1","unknown",2017-04-11T09:05:53Z
org.apache.lucenelucene-test-framework,"remove","6.4.1","",2017-04-17T09:45:48Z
org.apache.lucenelucene-test-framework,"remove","6.4.1","",2017-04-17T09:45:48Z
org.apache.lucenelucene-test-framework,"add","","6.4.1",2017-04-14T10:22:57Z
org.apache.lucenelucene-test-framework,"add","","6.4.1",2017-04-11T10:08:17Z
com.sleepycatje,"remove","5.0.58","",2017-04-21T13:41:32Z
com.sleepycatje,"add","","5.0.58",2017-04-20T08:35:52Z
