library,type,old_version,new_version,commit_date
org.apache.lucenelucene-analysis-common,"add","","9.10.0",2024-09-10T16:57:38Z
org.apache.lucenelucene-core,"update","8.11.1","9.10.0",2024-09-10T16:57:38Z
org.apache.lucenelucene-core,"update","7.4.0","8.11.1",2022-06-21T09:37:32Z
org.apache.lucenelucene-core,"update","6.4.1","7.4.0",2018-11-08T16:54:24Z
org.apache.lucenelucene-core,"update","${lucene.version}","6.4.1",2018-05-30T16:42:44Z
org.apache.lucenelucene-core,"update","6.4.1","${lucene.version}",2018-05-30T16:35:10Z
org.slf4jslf4j-api,"update","1.7.25","1.7.36",2022-06-21T09:41:52Z
org.slf4jslf4j-api,"update","${slf4j.version}","1.7.25",2018-05-30T16:42:44Z
org.slf4jslf4j-api,"add","","${slf4j.version}",2018-05-30T16:35:10Z
com.github.sanskrit-codersindic-transliteration_2.12,"remove","1.10","",2018-06-04T10:49:06Z
com.github.sanskrit-codersindic-transliteration_2.12,"add","","1.10",2018-01-09T14:56:46Z
org.apache.lucenelucene-analyzers-common,"remove","8.11.1","",2024-09-10T16:57:38Z
org.apache.lucenelucene-analyzers-common,"update","7.4.0","8.11.1",2022-06-21T09:37:32Z
org.apache.lucenelucene-analyzers-common,"update","6.4.1","7.4.0",2018-11-08T16:54:24Z
org.apache.lucenelucene-analyzers-common,"update","${lucene.version}","6.4.1",2018-05-30T16:42:44Z
org.apache.lucenelucene-analyzers-common,"update","6.4.1","${lucene.version}",2018-05-30T16:35:10Z
io.bdrc.lucenestemmer,"update","1.0.0","1.1.0",2018-05-16T13:52:01Z
org.slf4jslf4j-simple,"update","1.7.25","1.7.36",2022-06-21T09:41:52Z
org.slf4jslf4j-simple,"update","${slf4j.version}","1.7.25",2018-05-30T16:42:44Z
org.slf4jslf4j-simple,"add","","${slf4j.version}",2018-05-30T16:35:10Z
org.apache.lucenelucene-queryparser,"update","8.11.1","9.10.0",2024-09-10T16:57:38Z
org.apache.lucenelucene-queryparser,"update","7.4.0","8.11.1",2022-06-21T09:37:32Z
org.apache.lucenelucene-queryparser,"update","6.4.1","7.4.0",2018-11-08T16:54:24Z
org.apache.lucenelucene-queryparser,"update","${lucene.version}","6.4.1",2018-05-30T16:42:44Z
org.apache.lucenelucene-queryparser,"update","6.4.1","${lucene.version}",2018-05-30T16:35:10Z
org.apache.lucenelucene-queryparser,"add","","6.4.1",2018-05-22T13:14:59Z
