library,type,old_version,new_version,commit_date
org.apache.lucenelucene-core,"update","6.4.1","8.11.1",2022-06-21T09:39:30Z
org.apache.lucenelucene-highlighter,"update","6.4.1","8.11.1",2022-06-21T09:39:30Z
org.apache.lucenelucene-highlighter,"add","","6.4.1",2018-10-13T09:15:35Z
org.slf4jslf4j-api,"update","1.7.25","1.7.36",2022-06-21T09:41:05Z
org.slf4jslf4j-api,"add","","1.7.25",2018-05-18T08:26:02Z
org.apache.lucenelucene-analyzers-common,"update","6.4.1","8.11.1",2022-06-21T09:39:30Z
io.bdrc.lucenestemmer,"update","1.0.0","1.1.0",2018-06-28T20:12:02Z
io.bdrc.lucenestemmer,"update","1.1.0","1.0.0",2018-05-18T08:26:02Z
io.bdrc.lucenestemmer,"update","1.0.0","1.1.0",2018-05-17T09:15:08Z
io.bdrc.lucenestemmer,"add","","1.0.0",2018-03-20T16:01:30Z
org.nlpcnnlp-lang,"remove","1.7.6","",2018-03-20T16:01:30Z
org.nlpcnnlp-lang,"add","","1.7.6",2018-03-19T11:15:06Z
org.slf4jslf4j-simple,"update","1.7.25","1.7.36",2022-06-21T09:41:05Z
org.slf4jslf4j-simple,"add","","1.7.25",2018-05-18T08:26:02Z
org.apache.lucenelucene-queryparser,"update","6.4.1","8.11.1",2022-06-21T09:39:30Z
org.apache.lucenelucene-queryparser,"add","","6.4.1",2018-03-30T14:01:16Z
