library,type,old_version,new_version,commit_date
org.apache.lucenelucene-backward-codecs,"update","9.8.0","9.9.1",2023-12-19T18:56:11Z
org.apache.lucenelucene-backward-codecs,"update","9.5.0","9.8.0",2023-10-24T15:08:30Z
org.apache.lucenelucene-backward-codecs,"update","9.4.2","9.5.0",2023-04-10T16:51:44Z
org.apache.lucenelucene-backward-codecs,"update","9.3.0","9.4.2",2022-12-18T13:15:34Z
org.apache.lucenelucene-backward-codecs,"add","","9.3.0",2022-08-02T18:54:26Z
org.apache.solrsolr-solrj,"remove","9.0.0","",2022-08-02T18:54:26Z
org.apache.solrsolr-solrj,"update","8.11.0","9.0.0",2022-08-01T11:25:05Z
com.fasterxml.jackson.corejackson-databind,"update","2.14.0","2.16.0",2024-04-09T17:45:48Z
com.fasterxml.jackson.corejackson-databind,"update","2.12.6.1","2.14.0",2022-11-09T00:29:56Z
com.fasterxml.jackson.corejackson-databind,"update","2.12.5","2.12.6.1",2022-05-10T10:58:29Z
org.apache.parquetparquet-hadoop,"remove","1.12.3","",2025-01-03T16:02:22Z
org.apache.parquetparquet-hadoop,"add","","1.12.3",2024-09-10T19:17:49Z
commons-codeccommons-codec,"add","","1.15",2023-12-19T18:51:48Z
com.google.guavaguava,"update","30.1.1-jre","32.0.0-jre",2023-07-15T14:21:18Z
org.apache.solrsolr-test-framework,"remove","9.0.0","",2022-08-02T18:54:26Z
org.apache.solrsolr-test-framework,"update","8.11.0","9.0.0",2022-08-01T11:25:05Z
org.elasticsearch.clientelasticsearch-rest-high-level-client,"remove","7.0.0","",2022-08-02T18:54:26Z
com.fasterxml.jackson.dataformatjackson-dataformat-yaml,"update","2.14.0","2.16.0",2024-04-09T17:45:48Z
com.fasterxml.jackson.dataformatjackson-dataformat-yaml,"update","2.12.5","2.14.0",2022-11-09T00:29:56Z
com.fasterxml.jackson.datatypejackson-datatype-jdk8,"update","2.14.0","2.16.0",2024-04-09T17:45:48Z
com.fasterxml.jackson.datatypejackson-datatype-jdk8,"update","2.12.5","2.14.0",2022-11-09T00:29:56Z
org.apache.parquetparquet-format,"remove","2.9.0","",2025-01-03T16:02:22Z
org.apache.parquetparquet-format,"add","","2.9.0",2024-09-10T19:17:49Z
org.apache.parquetparquet-encoding,"remove","1.12.3","",2025-01-03T16:02:22Z
org.apache.parquetparquet-encoding,"add","","1.12.3",2024-09-10T19:17:49Z
it.unimi.dsifastutil,"add","","8.5.8",2022-09-18T20:37:02Z
org.junit.jupiterjunit-jupiter-engine,"remove","5.8.2","",2024-09-11T00:57:49Z
org.junit.jupiterjunit-jupiter-engine,"add","","5.8.2",2024-09-08T16:40:11Z
org.apache.parquetparquet-column,"remove","1.12.3","",2025-01-03T16:02:22Z
org.apache.parquetparquet-column,"add","","1.12.3",2024-09-10T19:17:49Z
commons-iocommons-io,"add","","2.16.1",2024-06-18T15:10:04Z
org.apache.commonscommons-pool2,"remove","2.11.1","",2023-11-14T12:05:08Z
com.fasterxml.jackson.corejackson-annotations,"update","2.14.0","2.16.0",2024-04-09T17:45:48Z
com.fasterxml.jackson.corejackson-annotations,"update","2.12.5","2.14.0",2022-11-09T00:29:56Z
org.springframework.bootspring-boot-devtools,"remove","unknown","",2024-04-28T01:00:39Z
org.springframework.bootspring-boot-devtools,"add","","unknown",2024-04-06T15:43:13Z
org.springframework.bootspring-boot-starter-web,"update","unknown","3.2.4",2024-04-28T01:00:39Z
org.springframework.bootspring-boot-starter-web,"add","","unknown",2024-04-06T15:43:13Z
org.apache.lucenelucene-analysis-common,"update","9.8.0","9.9.1",2023-12-19T18:56:11Z
org.apache.lucenelucene-analysis-common,"update","9.5.0","9.8.0",2023-10-24T15:08:30Z
