library,type,old_version,new_version,commit_date
org.apache.lucenelucene-backward-codecs,"remove","9.11.0","",2024-09-11T16:32:52Z
org.apache.lucenelucene-backward-codecs,"update","9.10.0","9.11.0",2024-06-10T21:55:43Z
org.apache.lucenelucene-backward-codecs,"update","9.9.1","9.10.0",2024-04-18T12:48:16Z
org.apache.lucenelucene-backward-codecs,"update","9.8.0","9.9.1",2023-12-21T01:02:38Z
org.apache.lucenelucene-backward-codecs,"update","9.7.0","9.8.0",2023-10-09T22:39:41Z
org.apache.lucenelucene-backward-codecs,"update","9.6.0","9.7.0",2023-06-27T22:07:45Z
org.apache.lucenelucene-backward-codecs,"update","9.5.0","9.6.0",2023-05-11T11:53:05Z
org.apache.lucenelucene-backward-codecs,"update","9.4.2","9.5.0",2023-02-09T22:34:25Z
org.apache.lucenelucene-backward-codecs,"update","9.4.1","9.4.2",2022-12-13T01:25:12Z
org.apache.lucenelucene-backward-codecs,"update","9.4.0","9.4.1",2022-10-31T13:06:07Z
org.apache.lucenelucene-backward-codecs,"update","9.3.0","9.4.0",2022-10-02T01:09:50Z
org.apache.lucenelucene-backward-codecs,"update","9.2.0","9.3.0",2022-08-11T21:59:29Z
org.apache.lucenelucene-backward-codecs,"update","9.1.0","9.2.0",2022-06-14T19:58:26Z
org.assertjassertj-core,"update","3.22.0","3.23.1",2022-06-22T15:36:16Z
io.soabase.record-builderrecord-builder-processor,"remove","36","",2023-04-17T21:31:16Z
io.soabase.record-builderrecord-builder-processor,"add","","36",2023-04-13T15:05:51Z
io.micrometermicrometer-registry-jmx,"update","1.9.5","1.10.4",2023-04-22T18:11:55Z
io.micrometermicrometer-registry-jmx,"update","1.9.3","1.9.5",2022-10-23T23:17:08Z
io.micrometermicrometer-registry-jmx,"update","1.8.5","1.9.3",2022-09-07T18:22:03Z
io.micrometermicrometer-registry-jmx,"update","1.7.4","1.8.5",2022-05-09T22:31:16Z
io.projectreactor.nettyreactor-netty-core,"remove","unknown","",2023-01-26T00:56:54Z
org.junit.jupiterjunit-jupiter-api,"update","5.8.2","5.9.0",2022-08-11T21:59:29Z
it.cavalliumrocksdbjni,"remove","7.4.3","",2022-07-28T22:32:08Z
it.cavalliumrocksdbjni,"update","7.3.1","7.4.3",2022-07-28T21:59:12Z
it.cavalliumrocksdbjni,"add","","7.3.1",2022-06-22T10:56:52Z
io.projectreactor.netty.incubatorreactor-netty-incubator-quic,"remove","0.1.2","",2023-02-09T22:34:25Z
io.projectreactor.netty.incubatorreactor-netty-incubator-quic,"update","0.0.13","0.1.2",2023-01-26T00:56:54Z
io.projectreactor.netty.incubatorreactor-netty-incubator-quic,"update","0.0.11","0.0.13",2022-10-23T23:17:08Z
io.projectreactor.netty.incubatorreactor-netty-incubator-quic,"update","0.0.8","0.0.11",2022-09-07T18:22:03Z
io.projectreactor.netty.incubatorreactor-netty-incubator-quic,"update","0.0.7","0.0.8",2022-06-22T15:36:16Z
io.projectreactor.netty.incubatorreactor-netty-incubator-quic,"update","0.0.5","0.0.7",2022-05-09T22:31:16Z
io.nettynetty-handler,"remove","unknown","",2023-02-28T22:10:31Z
