library,type,old_version,new_version,commit_date
ch.qos.logbacklogback-classic,"update","1.0.13","1.1.3",2017-01-01T14:58:15Z
ch.qos.logbacklogback-classic,"add","","1.0.13",2014-04-12T12:26:28Z
org.slf4jlog4j-over-slf4j,"update","1.7.5","1.7.7",2017-01-01T14:58:15Z
org.slf4jlog4j-over-slf4j,"add","","1.7.5",2014-04-12T12:26:28Z
org.apache.solrsolr-core,"update","5.5.3","6.0.0",2017-01-01T15:36:28Z
org.apache.solrsolr-core,"update","5.0.0","5.5.3",2017-01-01T14:58:15Z
org.apache.solrsolr-core,"update","4.10.3","5.0.0",2015-03-04T12:09:29Z
org.apache.solrsolr-core,"update","4.9.0","4.10.3",2015-01-31T08:13:16Z
org.apache.solrsolr-core,"update","4.8.0","4.9.0",2014-06-28T07:04:28Z
org.apache.solrsolr-core,"update","4.7.1","4.8.0",2014-05-20T12:02:16Z
org.apache.solrsolr-core,"update","4.3.0","4.7.1",2014-04-12T13:24:44Z
org.slf4jslf4j-api,"update","1.7.5","1.7.7",2017-01-01T14:58:15Z
org.slf4jslf4j-api,"add","","1.7.5",2014-04-12T12:26:28Z
org.apache.solrsolr-test-framework,"update","5.5.3","6.0.0",2017-01-01T15:36:28Z
org.apache.solrsolr-test-framework,"update","5.0.0","5.5.3",2017-01-01T14:58:15Z
org.apache.solrsolr-test-framework,"update","4.10.3","5.0.0",2015-03-04T12:09:29Z
org.apache.solrsolr-test-framework,"update","4.9.0","4.10.3",2015-01-31T08:13:16Z
org.apache.solrsolr-test-framework,"update","4.8.0","4.9.0",2014-06-28T07:04:28Z
org.apache.solrsolr-test-framework,"update","4.7.1","4.8.0",2014-05-20T12:02:16Z
org.apache.solrsolr-test-framework,"update","4.3.0","4.7.1",2014-04-12T13:24:44Z
org.apache.solrsolr-test-framework,"add","","4.3.0",2014-04-12T12:26:28Z
org.slf4jjul-to-slf4j,"update","1.7.5","1.7.7",2017-01-01T14:58:15Z
org.slf4jjul-to-slf4j,"add","","1.7.5",2014-04-12T12:26:28Z
org.slf4jjcl-over-slf4j,"update","1.7.5","1.7.7",2017-01-01T14:58:15Z
org.slf4jjcl-over-slf4j,"add","","1.7.5",2014-04-12T12:26:28Z
junitjunit,"remove","4.8","",2014-04-12T12:26:28Z
