library,type,old_version,new_version,commit_date
com.google.code.gsongson,"add","","2.4",2015-12-16T14:46:29Z
org.apache.tomcat.embedtomcat-embed-logging-juli,"add","","8.0.28",2015-11-25T06:59:44Z
org.apache.tomcat.embedtomcat-embed-core,"add","","8.0.28",2015-11-25T06:59:44Z
org.apache.tomcat.embedtomcat-embed-jasper,"add","","8.0.28",2015-11-25T06:59:44Z
org.apache.commonscommons-lang3,"add","","3.4",2015-11-09T05:37:04Z
commons-langcommons-lang,"remove","2.6","",2015-11-09T05:37:04Z
args4jargs4j,"remove","2.32","",2015-12-13T02:39:22Z
args4jargs4j,"add","","2.32",2015-11-30T11:19:09Z
org.eclipse.jettyjetty-server,"remove","9.3.6.v20151106","",2015-11-25T06:59:44Z
org.eclipse.jettyjetty-server,"add","","9.3.6.v20151106",2015-11-21T10:04:21Z
org.apache.cxfcxf-rt-frontend-jaxrs,"add","","2.2.3",2015-11-25T06:59:44Z
org.apache.cxfcxf-rt-transports-http,"add","","2.2.3",2015-11-25T06:59:44Z
commons-clicommons-cli,"add","","1.3",2015-12-13T02:39:22Z
commons-clicommons-cli,"remove","1.3","",2015-11-30T11:19:09Z
org.apache.lucenelucene-spatial,"add","","5.0.0",2016-10-22T10:03:13Z
