library,type,old_version,new_version,commit_date
org.lionsouljcseg-core,"update","2.0.1","2.1.0",2017-01-09T01:27:30Z
org.lionsouljcseg-core,"update","1.9.9","2.0.1",2016-11-10T03:52:46Z
org.lionsouljcseg-core,"update","${jcseg.version}","1.9.9",2016-07-08T14:23:52Z
org.lionsouljcseg-core,"add","","${jcseg.version}",2016-07-06T11:11:20Z
org.lionsoul.jcsegjcseg-analyzer,"remove","${jcseg.version}","",2016-07-06T11:11:20Z
org.elasticsearchelasticsearch,"update","2.3.1","5.1.1",2017-01-08T02:46:31Z
org.elasticsearchelasticsearch,"update","1.7.3","2.3.1",2016-04-19T11:21:11Z
org.elasticsearchelasticsearch,"update","1.5.2","1.7.3",2015-10-23T06:35:43Z
org.elasticsearchelasticsearch,"update","1.3.4","1.5.2",2015-05-31T08:35:54Z
org.elasticsearchelasticsearch,"update","1.2.4","1.3.4",2014-10-11T08:41:34Z
org.elasticsearchelasticsearch,"update","1.2.1","1.2.4",2014-08-14T06:13:41Z
org.lionsouljcseg-analyzer,"update","2.0.1","2.1.0",2017-01-09T01:27:30Z
org.lionsouljcseg-analyzer,"update","1.9.9","2.0.1",2016-11-10T03:52:46Z
org.lionsouljcseg-analyzer,"update","${jcseg.version}","1.9.9",2016-07-08T14:23:52Z
org.lionsouljcseg-analyzer,"add","","${jcseg.version}",2016-07-06T11:11:20Z
org.lionsoul.jcsegjcseg-core,"remove","${jcseg.version}","",2016-07-06T11:11:20Z
