library,type,old_version,new_version,commit_date
org.code4everythingwetool-plugin-test,"update","1.5.0","1.6.0",2021-12-04T12:17:36Z
org.code4everythingwetool-plugin-test,"update","1.3.0","1.5.0",2021-02-22T09:23:15Z
org.code4everythingwetool-plugin-test,"update","1.2.0","1.3.0",2020-11-25T15:47:40Z
org.code4everythingwetool-plugin-test,"update","1.1.2","1.2.0",2020-11-09T04:59:43Z
org.code4everythingwetool-plugin-test,"update","1.1.1","1.1.2",2020-09-30T08:38:23Z
org.code4everythingwetool-plugin-test,"update","1.1.0","1.1.1",2020-05-13T08:00:37Z
org.code4everythingwetool-plugin-test,"update","1.0.2","1.1.0",2020-01-10T10:45:50Z
org.code4everythingwetool-plugin-test,"update","1.0.1","1.0.2",2019-10-08T13:56:20Z
org.code4everythingwetool-plugin-test,"update","1.0.0","1.0.1",2019-09-25T09:54:44Z
org.mapstructmapstruct-jdk8,"remove","1.3.1.Final","",2020-10-26T14:48:22Z
org.mapstructmapstruct-jdk8,"add","","1.3.1.Final",2020-01-10T15:04:46Z
org.mapstructmapstruct-processor,"remove","1.3.1.Final","",2020-12-29T06:26:55Z
org.mapstructmapstruct-processor,"add","","1.3.1.Final",2020-01-10T15:04:46Z
org.mapstructmapstruct,"remove","1.3.1.Final","",2020-12-29T06:26:55Z
org.mapstructmapstruct,"add","","1.3.1.Final",2020-10-26T14:48:22Z
org.code4everythingwetool-plugin-support,"update","1.5.0","1.6.0",2021-12-04T12:17:36Z
org.code4everythingwetool-plugin-support,"update","1.3.0","1.5.0",2021-02-22T09:23:15Z
org.code4everythingwetool-plugin-support,"update","1.2.0","1.3.0",2020-11-25T15:47:40Z
org.code4everythingwetool-plugin-support,"update","1.1.2","1.2.0",2020-11-09T04:59:43Z
org.code4everythingwetool-plugin-support,"update","1.1.1","1.1.2",2020-09-30T08:38:23Z
org.code4everythingwetool-plugin-support,"update","1.1.0","1.1.1",2020-05-13T08:00:37Z
org.code4everythingwetool-plugin-support,"update","1.0.2","1.1.0",2020-01-10T10:45:50Z
org.code4everythingwetool-plugin-support,"update","1.0.1","1.0.2",2019-10-08T13:56:20Z
junitjunit,"update","4.13-beta-3","4.13.1",2020-10-13T15:10:41Z
