library,type,old_version,new_version,commit_date
com.dlsc.formsfxformsfx-core,"add","","11.3.2",2021-04-21T09:56:27Z
cn.hutoolhutool-cron,"add","","5.6.4",2021-04-29T07:41:56Z
eu.hansolotilesfx,"add","","11.48",2021-04-21T09:56:27Z
io.vavrvavr,"add","","0.10.3",2020-12-29T08:36:51Z
cn.hutoolhutool-http,"update","5.4.6","5.6.4",2021-04-29T03:48:03Z
cn.hutoolhutool-http,"add","","5.4.6",2020-11-10T08:38:03Z
io.nettynetty-common,"update","4.1.54.Final","4.1.63.Final",2021-04-29T03:48:03Z
io.nettynetty-common,"add","","4.1.54.Final",2020-12-05T03:38:23Z
org.projectlomboklombok,"update","1.18.16","1.18.20",2021-04-29T03:48:03Z
org.projectlomboklombok,"update","1.18.10","1.18.16",2020-12-29T06:26:55Z
org.projectlomboklombok,"update","1.18.8","1.18.10",2020-01-09T11:18:20Z
eu.hansoloMedusa,"add","","11.6",2021-04-21T09:56:27Z
org.openjfxjavafx-controls,"add","","14-ea+6",2020-01-08T10:50:30Z
io.nettynetty-handler,"update","4.1.54.Final","4.1.63.Final",2021-04-29T03:48:03Z
io.nettynetty-handler,"add","","4.1.54.Final",2020-12-05T03:38:23Z
io.nettynetty-buffer,"update","4.1.54.Final","4.1.63.Final",2021-04-29T03:48:03Z
io.nettynetty-buffer,"add","","4.1.54.Final",2020-12-05T03:38:23Z
com.belerwebpinyin4j,"add","","2.5.1",2020-11-26T15:38:59Z
cn.hutoolhutool-cache,"update","5.4.6","5.6.4",2021-04-29T03:48:03Z
cn.hutoolhutool-cache,"add","","5.4.6",2020-12-10T10:46:18Z
io.nettynetty-codec,"update","4.1.54.Final","4.1.63.Final",2021-04-29T03:48:03Z
io.nettynetty-codec,"add","","4.1.54.Final",2020-12-05T03:38:23Z
org.openjfxjavafx-fxml,"add","","14-ea+6",2020-01-08T10:50:30Z
org.mapstructmapstruct,"remove","1.3.1.Final","",2020-12-29T06:26:55Z
org.mapstructmapstruct,"add","","1.3.1.Final",2020-12-05T03:38:23Z
io.nettynetty-codec-http,"update","4.1.54.Final","4.1.63.Final",2021-04-29T03:48:03Z
io.nettynetty-codec-http,"add","","4.1.54.Final",2020-12-05T03:38:23Z
junitjunit,"update","4.13.1","4.13.2",2021-04-29T03:48:03Z
junitjunit,"update","4.13-beta-3","4.13.1",2020-10-13T15:10:41Z
org.openjfxjavafx-media,"add","","14-ea+6",2020-01-08T10:50:30Z
org.openjfxjavafx-swing,"add","","14-ea+6",2020-01-08T10:50:30Z
io.nettynetty-transport,"update","4.1.54.Final","4.1.63.Final",2021-04-29T03:48:03Z
io.nettynetty-transport,"add","","4.1.54.Final",2020-12-05T03:38:23Z
com.alibabadruid,"update","1.2.6","1.2.8",2021-10-23T11:09:26Z
com.alibabadruid,"update","1.2.3","1.2.6",2021-04-29T03:48:03Z
com.alibabadruid,"add","","1.2.3",2020-11-10T10:51:00Z
com.alibabafastjson,"update","1.2.75","1.2.76",2021-04-29T03:48:03Z
com.alibabafastjson,"add","","1.2.75",2021-01-06T09:05:30Z
cn.hutoolhutool-crypto,"update","5.4.6","5.6.4",2021-04-29T03:48:03Z
cn.hutoolhutool-crypto,"add","","5.4.6",2020-11-10T08:38:03Z
org.mapstructmapstruct-processor,"remove","1.3.1.Final","",2020-12-29T06:26:55Z
org.mapstructmapstruct-processor,"add","","1.3.1.Final",2020-12-05T03:38:23Z
org.fxmisc.richtextrichtextfx,"add","","0.10.6",2021-04-21T09:56:27Z
cn.hutoolhutool-extra,"update","5.4.6","5.6.4",2021-04-29T03:48:03Z
cn.hutoolhutool-extra,"add","","5.4.6",2020-11-26T15:38:59Z
cn.hutoolhutool-extra,"remove","5.1.0","",2020-01-11T09:51:38Z
cn.hutoolhutool-extra,"update","4.6.2","5.1.0",2020-01-08T10:50:30Z
cn.hutoolhutool-extra,"add","","4.6.2",2019-08-24T06:09:05Z
com.jfoenixjfoenix,"add","","9.0.10",2021-04-21T09:56:27Z
mysqlmysql-connector-java,"update","8.0.22","8.0.24",2021-04-29T03:48:03Z
mysqlmysql-connector-java,"add","","8.0.22",2020-11-10T10:51:00Z
com.1stlegjnativehook,"add","","2.1.0",2020-11-25T05:12:33Z
org.openjfxjavafx-web,"add","","14-ea+6",2020-01-08T10:50:30Z
ch.qos.logbacklogback-classic,"add","","1.3.0-alpha5",2020-12-05T03:38:23Z
cn.hutoolhutool-system,"update","5.4.6","5.6.4",2021-04-29T03:48:03Z
cn.hutoolhutool-system,"update","5.3.2","5.4.6",2020-10-24T07:25:29Z
cn.hutoolhutool-system,"update","5.1.1","5.3.2",2020-05-05T14:58:51Z
cn.hutoolhutool-system,"update","5.1.0","5.1.1",2020-01-14T15:06:42Z
cn.hutoolhutool-system,"update","4.6.2","5.1.0",2020-01-08T10:50:30Z
cn.hutoolhutool-system,"add","","4.6.2",2019-08-24T06:09:05Z
com.github.oshioshi-core,"update","5.3.6","5.7.1",2021-04-29T03:48:03Z
com.github.oshioshi-core,"add","","5.3.6",2020-11-29T03:11:51Z
org.openjfxjavafx-graphics,"add","","14-ea+6",2020-01-09T11:18:20Z
com.brunomnsilvasmartgraph,"remove","0.9","",2021-01-10T04:45:09Z
com.brunomnsilvasmartgraph,"add","","0.9",2021-01-10T04:11:51Z
