library,type,old_version,new_version,commit_date
org.apache.lucenelucene-analysis-common,"update","9.11.1","9.12.0",2024-11-08T12:38:14Z
org.apache.lucenelucene-analysis-common,"update","9.10.0","9.11.1",2024-08-08T01:12:10Z
org.apache.lucenelucene-analysis-common,"update","9.9.2","9.10.0",2024-04-03T13:06:06Z
org.apache.lucenelucene-analysis-common,"update","9.9.1","9.9.2",2024-02-06T12:55:45Z
org.apache.lucenelucene-analysis-common,"update","9.8.0","9.9.1",2024-01-18T06:10:39Z
org.apache.lucenelucene-analysis-common,"update","9.7.0","9.8.0",2023-11-11T04:45:52Z
org.apache.lucenelucene-analysis-common,"update","9.6.0","9.7.0",2023-07-26T12:12:27Z
org.apache.lucenelucene-analysis-common,"update","9.5.0","9.6.0",2023-05-25T13:38:55Z
org.apache.lucenelucene-analysis-common,"update","9.4.2","9.5.0",2023-03-02T00:07:07Z
org.apache.lucenelucene-analysis-common,"update","9.4.1","9.4.2",2022-12-14T09:14:52Z
org.apache.lucenelucene-analysis-common,"update","9.3.0","9.4.1",2022-11-16T23:52:58Z
org.apache.lucenelucene-analysis-common,"update","9.2.0","9.3.0",2022-08-13T03:06:33Z
org.apache.lucenelucene-analysis-common,"update","9.1.0","9.2.0",2022-06-30T00:39:09Z
org.apache.lucenelucene-analysis-common,"update","9.0.0","9.1.0",2022-05-04T06:59:45Z
org.apache.lucenelucene-analysis-common,"add","","9.0.0",2022-01-18T12:56:10Z
org.dbflute.utfluteutflute-core,"update","0.9.1","0.9.5",2023-03-02T00:10:40Z
org.dbflute.utfluteutflute-core,"update","0.7.3","0.9.1",2020-11-11T21:19:42Z
org.apache.lucenelucene-analysis-kuromoji,"update","9.11.1","9.12.0",2024-11-08T12:38:14Z
org.apache.lucenelucene-analysis-kuromoji,"update","9.10.0","9.11.1",2024-08-08T01:12:10Z
org.apache.lucenelucene-analysis-kuromoji,"update","9.9.2","9.10.0",2024-04-03T13:06:06Z
org.apache.lucenelucene-analysis-kuromoji,"update","9.9.1","9.9.2",2024-02-06T12:55:45Z
org.apache.lucenelucene-analysis-kuromoji,"update","9.8.0","9.9.1",2024-01-18T06:10:39Z
org.apache.lucenelucene-analysis-kuromoji,"update","9.7.0","9.8.0",2023-11-11T04:45:52Z
org.apache.lucenelucene-analysis-kuromoji,"update","9.6.0","9.7.0",2023-07-26T12:12:27Z
org.apache.lucenelucene-analysis-kuromoji,"update","9.5.0","9.6.0",2023-05-25T13:38:55Z
org.apache.lucenelucene-analysis-kuromoji,"update","9.4.2","9.5.0",2023-03-02T00:07:07Z
