library,type,old_version,new_version,commit_date
org.dbflute.utfluteutflute-lastaflute,"add","","${utflute.version}",2024-02-23T04:44:11Z
org.dbflute.utfluteutflute-lastaflute,"remove","${utflute.version}","",2024-01-01T09:01:28Z
org.dbflute.utfluteutflute-lastaflute,"add","","${utflute.version}",2024-01-01T09:01:28Z
org.dbflute.utfluteutflute-lastaflute,"remove","${utflute.version}","",2024-01-01T03:35:31Z
org.dbflute.utfluteutflute-lastaflute,"add","","${utflute.version}",2024-01-01T03:35:31Z
org.dbflute.utfluteutflute-lastaflute,"remove","${utflute.version}","",2023-12-23T06:18:48Z
org.codehaus.groovygroovy,"remove","${groovy.version}","",2022-10-20T02:59:47Z
org.codelibs.fessfess-crawler-es,"remove","${crawler.version}","",2024-11-07T06:19:20Z
org.apache.groovygroovy,"add","","${groovy.version}",2022-10-20T02:59:47Z
com.oneloginjava-saml,"remove","${java.saml.version}","",2024-10-17T12:10:08Z
com.oneloginjava-saml,"add","","${java.saml.version}",2024-08-10T05:47:11Z
com.oneloginjava-saml,"remove","${java.saml.version}","",2024-07-29T02:54:01Z
com.oneloginjava-saml,"add","","${java.saml.version}",2024-02-23T04:44:11Z
com.oneloginjava-saml,"remove","${java.saml.version}","",2024-01-01T09:01:28Z
com.oneloginjava-saml,"add","","${java.saml.version}",2024-01-01T09:01:28Z
com.oneloginjava-saml,"remove","${java.saml.version}","",2024-01-01T03:35:31Z
com.oneloginjava-saml,"add","","${java.saml.version}",2024-01-01T03:35:31Z
com.oneloginjava-saml,"remove","${java.saml.version}","",2023-12-23T06:18:48Z
co.elastic.logginglog4j2-ecs-layout,"add","","${log4j.ecs.version}",2023-02-12T13:23:23Z
javax.transactionjavax.transaction-api,"remove","${javax.transaction.api.version}","",2024-10-17T12:10:08Z
javax.transactionjavax.transaction-api,"add","","${javax.transaction.api.version}",2024-08-10T05:47:11Z
javax.transactionjavax.transaction-api,"remove","${javax.transaction.api.version}","",2024-07-29T02:54:01Z
javax.transactionjavax.transaction-api,"add","","${javax.transaction.api.version}",2024-02-23T04:44:11Z
javax.transactionjavax.transaction-api,"remove","${javax.transaction.api.version}","",2024-01-01T09:01:28Z
javax.transactionjavax.transaction-api,"add","","${javax.transaction.api.version}",2024-01-01T09:01:28Z
javax.transactionjavax.transaction-api,"remove","${javax.transaction.api.version}","",2024-01-01T03:35:31Z
javax.transactionjavax.transaction-api,"add","","${javax.transaction.api.version}",2024-01-01T03:35:31Z
javax.transactionjavax.transaction-api,"remove","${javax.transaction.api.version}","",2023-12-23T06:18:48Z
org.apache.commonscommons-fileupload2-jakarta-servlet6,"add","","${commons.fileupload.version}",2024-10-17T12:10:08Z
org.apache.commonscommons-fileupload2-jakarta-servlet6,"remove","${commons.fileupload.version}","",2024-08-10T05:47:11Z
org.apache.commonscommons-fileupload2-jakarta-servlet6,"add","","${commons.fileupload.version}",2024-07-29T02:54:01Z
javax.servletjstl,"remove","${jstl.version}","",2024-10-17T12:10:08Z
javax.servletjstl,"add","","${jstl.version}",2024-08-10T05:47:11Z
javax.servletjstl,"remove","${jstl.version}","",2024-07-29T02:54:01Z
javax.servletjstl,"add","","${jstl.version}",2024-02-23T04:44:11Z
javax.servletjstl,"remove","${jstl.version}","",2024-01-01T09:01:28Z
javax.servletjstl,"add","","${jstl.version}",2024-01-01T09:01:28Z
javax.servletjstl,"remove","${jstl.version}","",2024-01-01T03:35:31Z
javax.servletjstl,"add","","${jstl.version}",2024-01-01T03:35:31Z
javax.servletjstl,"remove","${jstl.version}","",2023-12-23T06:18:48Z
org.codelibsjava-saml,"add","","${java.saml.version}",2024-10-17T12:10:08Z
org.codelibsjava-saml,"remove","${java.saml.version}","",2024-08-10T05:47:11Z
org.codelibsjava-saml,"add","","${java.saml.version}",2024-07-29T02:54:01Z
org.codelibsjava-saml,"remove","${java.saml.version}","",2024-02-23T04:44:11Z
org.codelibsjava-saml,"add","","${java.saml.version}",2024-01-01T09:01:28Z
org.codelibsjava-saml,"remove","${java.saml.version}","",2024-01-01T09:01:28Z
org.codelibsjava-saml,"add","","${java.saml.version}",2024-01-01T03:35:31Z
org.codelibsjava-saml,"remove","${java.saml.version}","",2024-01-01T03:35:31Z
org.codelibsjava-saml,"add","","${java.saml.version}",2023-12-23T06:18:48Z
org.glassfish.webjakarta.servlet.jsp.jstl,"add","","${jakarta.jstl.version}",2024-10-17T12:10:08Z
org.glassfish.webjakarta.servlet.jsp.jstl,"remove","${jakarta.jstl.version}","",2024-08-10T05:47:11Z
org.glassfish.webjakarta.servlet.jsp.jstl,"add","","${jakarta.jstl.version}",2024-07-29T02:54:01Z
org.glassfish.webjakarta.servlet.jsp.jstl,"remove","${jakarta.jstl.version}","",2024-02-23T04:44:11Z
org.glassfish.webjakarta.servlet.jsp.jstl,"add","","${jakarta.jstl.version}",2024-01-01T09:01:28Z
org.glassfish.webjakarta.servlet.jsp.jstl,"remove","${jakarta.jstl.version}","",2024-01-01T09:01:28Z
org.glassfish.webjakarta.servlet.jsp.jstl,"add","","${jakarta.jstl.version}",2024-01-01T03:35:31Z
org.glassfish.webjakarta.servlet.jsp.jstl,"remove","${jakarta.jstl.version}","",2024-01-01T03:35:31Z
org.glassfish.webjakarta.servlet.jsp.jstl,"add","","${jakarta.jstl.version}",2023-12-23T06:18:48Z
