library,type,old_version,new_version,commit_date
org.apache.datasketchesdatasketches-java,"add","","${versions.datasketches}",2024-03-19T16:41:01Z
net.jqwikjqwik-api,"add","","1.8.5",2024-06-10T12:58:57Z
org.apache.lucenelucene-grouping,"remove","${versions.lucene}","",2024-06-10T13:12:46Z
javax.xml.bindjaxb-api,"remove","${versions.jaxb_api}","",2024-06-10T13:12:46Z
io.nettynetty-resolver,"remove","${versions.netty}","",2024-06-10T13:12:46Z
commons-codeccommons-codec,"add","","${versions.commonscodec}",2024-06-11T09:46:33Z
com.google.guavaguava,"add","","unknown",2024-11-11T12:27:40Z
org.skyscreamerjsonassert,"remove","${versions.jsonassert}","",2024-05-28T14:36:34Z
com.auth0java-jwt,"add","","${versions.jwt}",2024-02-09T12:57:59Z
com.pholserjunit-quickcheck-generators,"remove","${versions.quickcheck}","",2024-06-10T12:58:57Z
org.apache.lucenelucene-spatial3d,"remove","${versions.lucene}","",2024-06-10T13:12:46Z
org.apache.lucenelucene-sandbox,"remove","${versions.lucene}","",2024-06-10T13:12:46Z
ch.randelshoferfastdoubleparser,"add","","${versions.fastdoubleparser}",2024-11-04T08:34:26Z
org.junit.platformjunit-platform-commons,"add","","${versions.junit-platform-commons}",2024-11-03T13:52:18Z
org.bouncycastlebcpkix-jdk15on,"remove","1.70","",2024-06-10T15:38:12Z
com.auth0jwks-rsa,"add","","${versions.jwks-rsa}",2024-02-09T12:57:59Z
com.pholserjunit-quickcheck-core,"remove","${versions.quickcheck}","",2024-06-10T12:58:57Z
com.amazonawsaws-java-sdk-s3,"remove","${versions.aws}","",2024-06-11T09:46:33Z
ch.obermuhlnerbig-math,"add","","${versions.bigmath}",2024-10-18T12:49:29Z
org.bouncycastlebcpkix-jdk18on,"add","","1.78.1",2024-06-10T15:38:12Z
org.apache.lucenelucene-join,"remove","${versions.lucene}","",2024-06-10T13:12:46Z
