library,type,old_version,new_version,commit_date
com.google.code.gsongson,"add","","2.8.4",2018-05-07T06:43:01Z
tk.mybatismapper,"add","","3.4.0",2018-05-06T16:37:36Z
com.alibabadruid-spring-boot-starter,"add","","1.1.0",2018-05-06T16:37:36Z
com.alibabadruid,"add","","1.0.20",2018-05-06T16:37:36Z
mysqlmysql-connector-java,"add","","5.1.34",2018-05-06T16:37:36Z
com.crossoverJieSSM-SECONDS-KILL-API,"remove","2.2.0-SNAPSHOT","",2018-05-07T05:42:13Z
com.crossoverJieSSM-SECONDS-KILL-API,"add","","2.2.0-SNAPSHOT",2018-05-07T04:33:14Z
org.springframeworkspring-orm,"add","","4.3.10.RELEASE",2018-05-06T16:37:36Z
org.springframework.bootspring-boot-starter-actuator,"remove","unknown","",2018-05-06T16:37:36Z
tk.mybatismapper-spring-boot-starter,"add","","1.2.4",2018-05-06T16:37:36Z
org.springframework.bootspring-boot-starter-jdbc,"add","","1.5.6.RELEASE",2018-05-06T16:37:36Z
com.oracle.jdbcojdbc6,"add","","0.0.1",2018-05-06T16:37:36Z
org.springframework.bootspring-boot-starter-redis,"add","","1.4.7.RELEASE",2018-05-07T15:28:22Z
com.github.pagehelperpagehelper-spring-boot-starter,"add","","RELEASE",2018-05-06T16:37:36Z
org.springframework.bootspring-boot-starter-web,"remove","unknown","",2018-05-06T16:37:36Z
