library,type,old_version,new_version,commit_date
org.springframeworkspring-core,"add","","unknown",2017-04-04T13:43:57Z
com.fasterxml.jackson.corejackson-databind,"add","","unknown",2017-04-04T13:43:57Z
org.apache.cxfcxf-rt-frontend-jaxws,"add","","unknown",2017-04-04T13:43:57Z
org.apache.commonscommons-lang3,"add","","unknown",2017-04-04T13:43:57Z
org.springframeworkspring-context,"add","","unknown",2017-04-04T13:43:57Z
org.springframework.dataspring-data-redis,"add","","unknown",2017-04-04T13:43:57Z
javax.servletjstl,"add","","unknown",2017-04-04T13:43:57Z
org.apache.shiroshiro-spring,"add","","unknown",2017-04-04T13:43:57Z
log4jlog4j,"add","","unknown",2017-04-04T13:43:57Z
org.apache.cxfcxf-core,"add","","unknown",2017-04-04T13:43:57Z
org.springframeworkspring-beans,"add","","unknown",2017-04-04T13:43:57Z
org.springframeworkspring-orm,"add","","unknown",2017-04-04T13:43:57Z
javax.servletservlet-api,"add","","unknown",2017-04-04T13:43:57Z
com.crossoverJieSSM-HTTP-PROVIDER,"add","","unknown",2017-04-30T12:34:57Z
com.fasterxml.jackson.corejackson-annotations,"add","","unknown",2017-04-04T13:43:57Z
org.apache.cxfcxf-rt-transports-http,"add","","unknown",2017-04-04T13:43:57Z
org.apache.shiroshiro-web,"add","","unknown",2017-04-04T13:43:57Z
org.springframeworkspring-tx,"add","","unknown",2017-04-04T13:43:57Z
org.springframeworkspring-webmvc,"add","","unknown",2017-04-04T13:43:57Z
com.fasterxml.jackson.corejackson-core,"add","","unknown",2017-04-04T13:43:57Z
com.crossoverJieSSM-TRACE-FILTER,"add","","unknown",2017-04-25T07:24:49Z
javax.websocketjavax.websocket-api,"add","","unknown",2017-04-04T13:43:57Z
org.slf4jslf4j-log4j12,"add","","unknown",2017-04-04T13:43:57Z
org.mybatismybatis-spring,"add","","unknown",2017-04-04T13:43:57Z
org.apache.lucenelucene-highlighter,"add","","unknown",2017-04-04T13:43:57Z
org.apache.lucenelucene-analyzers-smartcn,"add","","unknown",2017-04-04T13:43:57Z
com.alibabadruid,"add","","unknown",2017-04-04T13:43:57Z
org.apache.shiroshiro-core,"add","","unknown",2017-04-04T13:43:57Z
com.alibabafastjson,"add","","unknown",2017-04-04T13:43:57Z
org.springframeworkspring-test,"add","","unknown",2017-04-04T13:43:57Z
commons-fileuploadcommons-fileupload,"add","","unknown",2017-04-04T13:43:57Z
org.apache.lucenelucene-queryparser,"add","","unknown",2017-04-04T13:43:57Z
mysqlmysql-connector-java,"add","","unknown",2017-04-04T13:43:57Z
org.apache.lucenelucene-core,"add","","unknown",2017-04-04T13:43:57Z
org.springframeworkspring-websocket,"add","","unknown",2017-04-04T13:43:57Z
javax.servletjavax.servlet-api,"add","","unknown",2017-04-04T13:43:57Z
com.github.sgroschupfzkclient,"add","","unknown",2017-04-04T17:41:05Z
org.apache.zookeeperzookeeper,"add","","unknown",2017-04-04T17:41:05Z
org.mybatismybatis,"add","","unknown",2017-04-04T13:43:57Z
org.springframeworkspring-web,"add","","unknown",2017-04-04T13:43:57Z
org.apache.lucenelucene-analyzers-common,"add","","unknown",2017-04-04T13:43:57Z
net.sf.json-libjson-lib,"add","","unknown",2017-04-04T13:43:57Z
com.alibabadubbo,"add","","unknown",2017-04-04T17:41:05Z
redis.clientsjedis,"add","","unknown",2017-04-04T13:43:57Z
org.aspectjaspectjweaver,"add","","unknown",2017-04-04T13:43:57Z
com.github.pagehelperpagehelper,"add","","unknown",2017-04-04T13:43:57Z
