library,type,old_version,new_version,commit_date
org.springframeworkspring-core,"update","4.1.4.RELEASE","4.3.7.RELEASE",2018-05-05T13:17:18Z
org.apache.cxfcxf-rt-frontend-jaxws,"add","","3.1.6",2016-07-18T10:00:26Z
org.springframeworkspring-context,"update","4.1.4.RELEASE","4.3.7.RELEASE",2018-05-05T13:17:18Z
ch.qos.logbacklogback-core,"add","","1.0.13",2018-04-16T17:24:14Z
org.springframework.dataspring-data-redis,"update","1.6.1.RELEASE","1.8.6.RELEASE",2018-05-05T13:17:18Z
org.springframework.dataspring-data-redis,"update","1.7.5.RELEASE","1.6.1.RELEASE",2016-11-21T01:37:57Z
org.springframework.dataspring-data-redis,"add","","1.7.5.RELEASE",2016-11-16T14:16:52Z
org.slf4jslf4j-api,"add","","1.7.7",2018-04-16T17:24:14Z
org.apache.curatorcurator-framework,"add","","4.0.1",2018-04-15T19:14:31Z
org.apache.activemqactivemq-all,"remove","5.13.3","",2016-11-21T01:37:57Z
org.apache.activemqactivemq-all,"add","","5.13.3",2016-07-11T09:15:29Z
org.apache.httpcomponentshttpclient,"add","","4.5.1",2018-04-17T17:32:36Z
org.apache.shiroshiro-spring,"add","","1.2.5",2016-07-13T09:53:59Z
org.apache.cxfcxf-core,"add","","3.1.6",2016-07-18T10:00:26Z
com.crossoverJieSSM-SECONDS-KILL-API,"add","","2.2.0-SNAPSHOT",2018-04-15T19:14:31Z
org.springframeworkspring-beans,"update","4.1.4.RELEASE","4.3.7.RELEASE",2018-05-05T13:17:18Z
org.springframeworkspring-orm,"update","4.1.4.RELEASE","4.3.7.RELEASE",2018-05-05T13:17:18Z
com.crossoverJieSSM-HTTP-PROVIDER,"add","","1.0.0",2017-04-30T12:34:57Z
org.apache.cxfcxf-rt-transports-http,"add","","3.1.6",2016-07-20T07:40:33Z
org.apache.shiroshiro-web,"add","","1.2.5",2016-07-13T09:53:59Z
junitjunit,"update","3.8.1","4.12",2016-11-16T17:22:57Z
org.springframeworkspring-tx,"update","4.1.4.RELEASE","4.3.7.RELEASE",2018-05-05T13:17:18Z
org.springframeworkspring-webmvc,"update","4.1.4.RELEASE","4.3.7.RELEASE",2018-05-05T13:17:18Z
com.crossoverJieSSM-TRACE-FILTER,"add","","1.0.0",2017-04-25T07:24:49Z
javax.websocketjavax.websocket-api,"add","","1.1",2016-08-07T15:20:12Z
org.slf4jslf4j-log4j12,"add","","1.7.21",2016-07-12T05:05:34Z
org.mybatismybatis-spring,"add","","1.2.4",2016-06-23T03:07:34Z
org.apache.lucenelucene-highlighter,"add","","6.0.1",2016-07-05T09:53:00Z
org.apache.lucenelucene-analyzers-smartcn,"add","","6.0.1",2016-07-05T09:53:00Z
org.apache.cxfcxf-rt-transports-http-jetty,"remove","3.1.6","",2016-07-20T07:40:33Z
org.apache.cxfcxf-rt-transports-http-jetty,"add","","3.1.6",2016-07-18T10:00:26Z
org.apache.shiroshiro-core,"add","","1.2.5",2016-07-12T05:05:34Z
com.crossoverJieSSM-API,"update","2.1.0-SNAPSHOT","2.2.0-SNAPSHOT",2017-08-28T07:10:39Z
com.crossoverJieSSM-API,"update","2.0.0","2.1.0-SNAPSHOT",2017-04-04T13:43:57Z
com.crossoverJieSSM-API,"update","2.0.0-SNAPSHOT","2.0.0",2017-03-02T16:06:03Z
com.crossoverJieSSM-API,"add","","2.0.0-SNAPSHOT",2017-03-01T16:51:15Z
org.eclipse.jettyjetty-webapp,"add","","8.1.16.v20140903",2017-04-04T17:41:05Z
org.springframeworkspring-test,"update","4.1.4.RELEASE","4.3.7.RELEASE",2018-05-05T13:17:18Z
org.apache.lucenelucene-queryparser,"add","","6.0.1",2016-07-04T13:23:31Z
org.apache.lucenelucene-core,"add","","6.0.1",2016-07-04T13:23:31Z
org.springframeworkspring-websocket,"update","4.1.4.RELEASE","4.3.7.RELEASE",2018-05-05T13:17:18Z
org.springframeworkspring-websocket,"add","","4.1.4.RELEASE",2016-08-28T17:10:13Z
javax.servletjavax.servlet-api,"add","","3.1.0",2016-07-06T10:09:57Z
ch.qos.logbacklogback-classic,"add","","1.0.13",2018-04-16T17:24:14Z
com.github.sgroschupfzkclient,"add","","0.1",2017-04-04T17:41:05Z
org.apache.zookeeperzookeeper,"add","","3.4.6",2017-04-04T17:41:05Z
org.springframeworkspring-web,"update","4.1.4.RELEASE","4.3.7.RELEASE",2018-05-05T13:17:18Z
org.apache.lucenelucene-analyzers-common,"add","","6.0.1",2016-07-04T13:23:31Z
net.sf.json-libjson-lib,"add","","2.4",2016-08-29T17:43:55Z
com.alibabadubbo,"update","2.5.3","2.6.1",2018-04-15T13:43:19Z
com.alibabadubbo,"add","","2.5.3",2017-04-04T17:41:05Z
com.alibabadubbo,"remove","2.5.3","",2016-11-10T08:49:02Z
com.alibabadubbo,"add","","2.5.3",2016-10-15T15:52:37Z
redis.clientsjedis,"update","2.7.3","2.9.0",2018-05-01T13:40:57Z
redis.clientsjedis,"update","2.9.0","2.7.3",2016-11-21T01:37:57Z
redis.clientsjedis,"add","","2.9.0",2016-11-16T14:16:52Z
com.github.pagehelperpagehelper,"add","","4.1.6",2016-12-06T16:40:12Z
