library,type,old_version,new_version,commit_date
org.apache.lucenelucene-analysis-common,"remove","9.7.0","",2023-07-19T14:15:28Z
com.yahoo.vespaapplication,"add","","8.194.16",2023-07-19T14:15:28Z
com.yahoo.vespaconfig-lib,"remove","8.179.37","",2023-07-19T14:15:28Z
com.google.injectguice,"remove","3.0","",2023-07-19T14:15:28Z
com.yahoo.vespalinguistics,"remove","8.179.37","",2023-07-19T14:15:28Z
com.yahoo.vespacontainer,"add","","8.194.16",2023-07-19T14:15:28Z
org.apache.lucenelucene-core,"remove","9.7.0","",2023-07-19T14:15:28Z
lt.jocasvespa-lucene-linguistics,"add","","1.0.0",2023-07-25T12:29:43Z
lt.jocasvespa-lucene-linguistics,"remove","1.0.0","",2023-07-25T08:20:01Z
lt.jocasvespa-lucene-linguistics,"add","","1.0.0",2023-07-25T06:59:26Z
eu.hlavki.textjlemmagen,"add","","1.0",2023-07-26T13:42:45Z
com.yahoo.vespaannotations,"remove","8.179.37","",2023-07-19T14:15:28Z
com.yahoo.vespaannotations,"add","","8.179.37",2023-07-16T22:15:24Z
org.apache.lucenelucene-analysis-stempel,"add","","9.7.0",2023-07-25T12:29:43Z
com.yahoo.vespacomponent,"remove","8.179.37","",2023-07-19T14:15:28Z
org.junit.jupiterjunit-jupiter,"add","","5.7.1",2023-07-26T13:42:45Z
org.junit.jupiterjunit-jupiter,"remove","5.7.1","",2023-07-19T14:15:28Z
com.yahoo.vespaconfigdefinitions,"remove","8.179.37","",2023-07-19T14:15:28Z
