library,type,old_version,new_version,commit_date
com.fasterxml.jackson.corejackson-databind,"add","","unknown",2015-05-29T04:09:52Z
org.hamcresthamcrest-library,"add","","unknown",2016-02-10T03:03:27Z
org.hamcresthamcrest-library,"remove","unknown","",2015-02-10T18:35:07Z
com.jcraftjsch,"remove","unknown","",2015-02-10T18:35:07Z
org.apache.hadoophadoop-core,"remove","unknown","",2015-06-17T02:29:55Z
org.slf4jlog4j-over-slf4j,"add","","unknown",2015-05-28T23:22:06Z
com.google.injectguice,"add","","unknown",2015-07-02T15:49:56Z
com.101teczkclient,"add","","unknown",2015-05-20T05:38:31Z
org.hamcresthamcrest-core,"remove","unknown","",2015-02-10T18:35:07Z
io.dropwizard.metricsmetrics-core,"add","","unknown",2015-06-16T01:08:58Z
org.apache.commonscommons-math3,"remove","unknown","",2015-02-10T18:35:07Z
log4jlog4j,"remove","unknown","",2015-05-28T05:38:23Z
org.apache.hadoophadoop-test,"remove","unknown","",2015-02-10T18:35:07Z
ch.qos.logbacklogback-classic,"add","","unknown",2015-05-28T05:38:23Z
com.github.sgroschupfzkclient,"remove","unknown","",2015-05-20T05:38:31Z
org.slf4jjcl-over-slf4j,"add","","unknown",2015-07-02T15:49:56Z
org.apache.hadoopzookeeper,"remove","unknown","",2015-02-10T18:35:07Z
org.apache.hadoophadoop-common,"add","","unknown",2015-06-17T02:29:55Z
com.google.inject.extensionsguice-assistedinject,"add","","unknown",2015-07-02T15:49:56Z
org.mockitomockito-core,"add","","unknown",2016-02-10T03:03:27Z
org.mockitomockito-core,"remove","unknown","",2015-02-10T18:35:07Z
com.google.code.typicatypica,"remove","unknown","",2015-02-10T18:35:07Z
