library,type,old_version,new_version,commit_date
com.fasterxml.jackson.corejackson-databind,"update","2.5.3","2.7.1-1",2016-02-10T03:51:02Z
com.fasterxml.jackson.corejackson-databind,"update","[2.5.3,)","2.5.3",2015-06-17T02:29:55Z
com.fasterxml.jackson.corejackson-databind,"update","2.5.3","[2.5.3,)",2015-06-03T03:20:10Z
com.fasterxml.jackson.corejackson-databind,"add","","2.5.3",2015-05-29T04:09:52Z
org.hamcresthamcrest-library,"update","[1.3,)","1.3",2015-06-17T02:29:55Z
org.hamcresthamcrest-library,"update","1.3","[1.3,)",2015-06-03T03:20:10Z
org.hamcresthamcrest-library,"update","1.2.1","1.3",2015-04-17T00:21:49Z
com.google.guavaguava,"update","18.0","19.0",2016-02-10T03:51:02Z
com.google.guavaguava,"update","[18.0,)","18.0",2015-06-17T02:29:55Z
com.google.guavaguava,"update","18.0","[18.0,)",2015-06-03T03:20:10Z
com.google.injectguice,"add","","4.0",2015-07-02T15:49:56Z
org.hamcresthamcrest-core,"update","[1.3,)","1.3",2015-06-17T02:29:55Z
org.hamcresthamcrest-core,"update","1.3","[1.3,)",2015-06-03T03:20:10Z
org.hamcresthamcrest-core,"update","1.2.1","1.3",2015-04-17T00:21:49Z
io.dropwizard.metricsmetrics-core,"add","","3.1.2",2015-06-16T01:08:58Z
log4jlog4j,"remove","1.2.17","",2015-05-28T05:38:23Z
log4jlog4j,"update","1.2.16","1.2.17",2015-04-17T00:21:49Z
org.apache.hadoophadoop-test,"remove","[1.2.1,2.0.0)","",2015-06-17T02:29:55Z
org.apache.hadoophadoop-test,"update","[1.2.1,)","[1.2.1,2.0.0)",2015-06-16T01:08:58Z
org.apache.hadoophadoop-test,"update","1.2.1","[1.2.1,)",2015-06-03T03:20:10Z
org.apache.hadoophadoop-test,"update","0.20.2","1.2.1",2015-02-10T01:40:03Z
com.google.appengine.toolsappengine-gcs-client,"remove","RELEASE","",2015-06-19T13:12:33Z
com.google.appengine.toolsappengine-gcs-client,"add","","RELEASE",2015-02-10T01:40:03Z
org.slf4jjcl-over-slf4j,"update","1.7.12","1.7.15",2016-02-10T03:51:02Z
org.slf4jjcl-over-slf4j,"add","","1.7.12",2015-07-02T15:49:56Z
org.apache.hadoopzookeeper,"remove","3.3.1","",2015-05-20T05:38:31Z
commons-clicommons-cli,"update","1.3","1.3.1",2015-06-19T13:12:33Z
commons-clicommons-cli,"update","[1.3,)","1.3",2015-06-17T02:29:55Z
commons-clicommons-cli,"update","1.2","[1.3,)",2015-06-03T03:20:10Z
com.google.inject.extensionsguice-assistedinject,"add","","4.0",2015-07-02T15:49:56Z
junitjunit,"update","[4.12,5.0)","4.12",2015-06-17T02:29:55Z
junitjunit,"update","[4.12,)","[4.12,5.0)",2015-06-16T01:08:58Z
junitjunit,"update","4.12","[4.12,)",2015-06-03T03:20:10Z
com.jcraftjsch,"update","0.1.52","0.1.53",2015-06-19T13:12:33Z
com.jcraftjsch,"update","[0.1.52,)","0.1.52",2015-06-17T02:29:55Z
com.jcraftjsch,"update","0.1.52","[0.1.52,)",2015-06-03T03:20:10Z
com.jcraftjsch,"update","0.1.51","0.1.52",2015-04-17T00:21:49Z
org.apache.hadoophadoop-core,"remove","[1.2.1,2.0.0)","",2015-06-17T02:29:55Z
org.apache.hadoophadoop-core,"update","[1.2.1,)","[1.2.1,2.0.0)",2015-06-16T01:08:58Z
org.apache.hadoophadoop-core,"update","1.2.1","[1.2.1,)",2015-06-03T03:20:10Z
org.apache.hadoophadoop-core,"update","0.20.2","1.2.1",2015-02-10T01:40:03Z
org.slf4jlog4j-over-slf4j,"update","1.7.12","1.7.15",2016-02-10T03:51:02Z
org.slf4jlog4j-over-slf4j,"update","1.7.7","1.7.12",2015-06-19T13:12:33Z
org.slf4jlog4j-over-slf4j,"update","[1.7.7,)","1.7.7",2015-06-17T02:29:55Z
org.slf4jlog4j-over-slf4j,"update","1.7.7","[1.7.7,)",2015-06-03T03:20:10Z
org.slf4jlog4j-over-slf4j,"add","","1.7.7",2015-05-28T23:22:06Z
com.101teczkclient,"add","","0.5",2015-05-20T05:38:31Z
org.apache.commonscommons-math3,"update","3.5","3.6",2016-02-10T03:51:02Z
org.apache.commonscommons-math3,"update","3.4.1","3.5",2015-06-19T13:12:33Z
org.apache.commonscommons-math3,"update","[3.4.1,)","3.4.1",2015-06-17T02:29:55Z
org.apache.commonscommons-math3,"update","3.4.1","[3.4.1,)",2015-06-03T03:20:10Z
com.intellijannotations,"remove","12.0","",2015-06-16T01:08:58Z
com.dasasian.chokchok-test,"add","","${project.version}",2015-02-10T18:35:07Z
ch.qos.logbacklogback-classic,"update","[1.1.3,)","1.1.3",2015-06-17T02:29:55Z
ch.qos.logbacklogback-classic,"update","1.1.3","[1.1.3,)",2015-06-03T03:20:10Z
ch.qos.logbacklogback-classic,"add","","1.1.3",2015-05-28T05:38:23Z
com.github.sgroschupfzkclient,"remove","0.1","",2015-05-20T05:38:31Z
org.apache.zookeeperzookeeper,"add","","3.4.6",2015-05-20T05:38:31Z
org.apache.hadoophadoop-common,"update","2.7.0","2.7.2",2016-02-10T03:51:02Z
org.apache.hadoophadoop-common,"add","","2.7.0",2015-06-17T02:29:55Z
org.mockitomockito-core,"update","[1.10.19,2.0.0)","1.10.19",2015-06-17T02:29:55Z
org.mockitomockito-core,"update","[1.10.19,)","[1.10.19,2.0.0)",2015-06-16T01:08:58Z
org.mockitomockito-core,"update","1.10.19","[1.10.19,)",2015-06-03T03:20:10Z
org.easytestingfest-assert,"update","[1.4,)","1.4",2015-06-17T02:29:55Z
org.easytestingfest-assert,"update","1.4","[1.4,)",2015-06-03T03:20:10Z
