library,type,old_version,new_version,commit_date
org.semanticweb.yarsnxparser-parsers,"add","","unknown",2016-02-15T17:24:33Z
edu.umdcloud9,"remove","unknown","",2016-02-17T00:02:50Z
hsqldbhsqldb,"remove","unknown","",2016-02-17T00:02:50Z
org.apache.httpcomponentshttpclient,"remove","unknown","",2016-02-17T00:02:50Z
jcsjcs,"remove","unknown","",2016-02-17T00:02:50Z
log4jlog4j,"remove","unknown","",2016-02-17T00:02:50Z
it.unimi.dsifastutil,"remove","unknown","",2016-02-17T00:02:50Z
jdbmjdbm,"remove","unknown","",2016-02-15T16:35:23Z
scala.ahocorasickspotter-aho,"remove","unknown","",2016-02-17T00:02:50Z
org.jsonjson,"remove","unknown","",2016-02-17T00:02:50Z
org.scalatestscalatest_${scala.compiler.version},"remove","unknown","",2016-02-16T00:18:53Z
junitjunit,"remove","unknown","",2016-02-17T00:02:50Z
org.semanticweb.yarsnxparser,"remove","unknown","",2016-02-15T17:24:33Z
org.apache.opennlpopennlp-tools,"remove","unknown","",2016-02-17T00:02:50Z
org.apache.jcsjcs,"add","","unknown",2016-02-17T00:02:50Z
commons-loggingcommons-logging,"add","","unknown",2016-02-17T00:02:50Z
com.typesafe.akkaakka-actor,"remove","unknown","",2016-02-17T00:02:50Z
xercesxercesImpl,"remove","unknown","",2016-02-17T00:02:50Z
nekohtmlnekohtml,"remove","unknown","",2016-02-17T00:02:50Z
org.scalanlpbreeze-learn_${scala.compiler.version},"remove","unknown","",2016-02-16T00:18:53Z
org.scalazscalaz-core_${scala.compiler.version.minor},"remove","unknown","",2016-02-17T00:02:50Z
org.scalazscalaz-core_${scala.compiler.version.minor},"add","","unknown",2016-02-16T00:18:53Z
wekakea-goss-weka,"remove","unknown","",2016-02-17T00:02:50Z
wekaweka,"remove","unknown","",2016-02-17T00:02:50Z
opennlpmaxent,"remove","unknown","",2016-02-17T00:02:50Z
org.scalazscalaz-core_${scala.compiler.version},"remove","unknown","",2016-02-16T00:18:53Z
trovetrove,"remove","unknown","",2016-02-17T00:02:50Z
net.liftweblift-json_${scala.compiler.version},"remove","unknown","",2016-02-16T00:18:53Z
org.apache.logging.log4jlog4j-core,"add","","unknown",2016-02-17T00:02:50Z
org.apache.mahoutmahout-collections,"remove","unknown","",2016-02-17T00:02:50Z
com.esotericsoftware.kryokryo,"remove","unknown","",2016-02-17T00:02:50Z
net.sf.opencsvopencsv,"remove","unknown","",2016-02-17T00:02:50Z
