library,type,old_version,new_version,commit_date
hsqldbhsqldb,"remove","1.8.0.1","",2016-02-17T00:02:50Z
commons-codeccommons-codec,"remove","1.6","",2016-02-17T00:02:50Z
org.dbpedia.spotlightindex,"remove","0.7","",2016-02-17T00:02:50Z
org.akswnif,"remove","0.1","",2016-02-15T16:35:23Z
org.apache.httpcomponentshttpclient,"remove","4.2","",2016-02-17T00:02:50Z
net.htmlparser.jerichojericho-html,"remove","3.1","",2016-02-17T00:02:50Z
org.codehaus.jacksonjackson-core-asl,"remove","1.9.8","",2016-02-17T00:02:50Z
org.apache.uimauimaj-core,"remove","2.4.0","",2016-02-15T16:35:23Z
org.dbpedia.spotlightrest,"remove","0.7","",2016-02-17T00:02:50Z
org.apache.uimauimaj-cpe,"remove","2.4.0","",2016-02-15T16:35:23Z
jdbmjdbm,"remove","3.0-SNAPSHOT","",2016-02-15T16:35:23Z
org.jsonjson,"remove","20090211","",2016-02-17T00:02:50Z
cc.factoriefactorie,"remove","1.0.0-M4","",2016-02-17T00:02:50Z
org.scala-langscala-library,"remove","2.10.2","",2016-02-16T00:18:53Z
junitjunit,"remove","4.12","",2016-02-17T00:02:50Z
junitjunit,"update","4.8.2","4.12",2016-02-15T17:24:33Z
com.google.collectionsgoogle-collections,"remove","0.9","",2016-02-15T16:35:23Z
org.semanticweb.yarsnxparser,"remove","1.1","",2016-02-15T17:24:33Z
org.apache.opennlpopennlp-tools,"remove","1.5.3","",2016-02-17T00:02:50Z
com.sun.jerseyjersey-server,"remove","1.10","",2016-02-17T00:02:50Z
org.apache.uimauimaj-bootstrap,"remove","2.4.0","",2016-02-15T16:35:23Z
com.typesafe.akkaakka-actor,"remove","2.0.5","",2016-02-17T00:02:50Z
nekohtmlnekohtml,"remove","0.9.5","",2016-02-17T00:02:50Z
org.dbpedia.extractioncore,"update","4.1","3.9",2016-02-17T00:02:50Z
org.dbpedia.extractioncore,"update","4.0","4.1",2016-02-16T00:29:07Z
org.dbpedia.extractioncore,"update","4.1e","4.0",2016-02-16T00:22:16Z
org.dbpedia.extractioncore,"update","4.1","4.1e",2016-02-16T00:18:53Z
org.dbpedia.extractioncore,"update","4.0","4.1",2016-02-14T13:42:34Z
org.dbpedia.extractioncore,"update","3.9","4.0",2016-02-14T13:39:09Z
org.apache.uimauimaj-tools,"remove","2.4.0","",2016-02-15T16:35:23Z
org.scala-langscala-compiler,"remove","2.10.2","",2016-02-16T00:18:53Z
org.scalanlpbreeze-learn_2.9.2,"remove","0.1","",2016-02-16T00:18:53Z
org.scalazscalaz-core_${scala.compiler.version},"remove","6.0.4","",2016-02-16T00:18:53Z
xml-apisxml-apis,"remove","1.0.b2","",2016-02-17T00:02:50Z
org.apache.logging.log4jlog4j-core,"add","","2.5",2016-02-17T00:02:50Z
org.apache.mahoutmahout-collections,"remove","1.0","",2016-02-17T00:02:50Z
com.sun.jerseyjersey-client,"remove","1.10","",2016-02-17T00:02:50Z
com.esotericsoftware.kryokryo,"remove","2.20","",2016-02-17T00:02:50Z
com.sun.jerseyjersey-bundle,"remove","1.10","",2016-02-17T00:02:50Z
net.sf.opencsvopencsv,"remove","2.0","",2016-02-17T00:02:50Z
