library,type,old_version,new_version,commit_date
org.springframeworkspring-webmvc,"remove","unknown","",2022-04-21T02:57:56Z
org.springframeworkspring-webmvc,"add","","unknown",2022-04-19T03:06:36Z
org.springframeworkspring-webmvc,"remove","unknown","",2022-04-18T09:04:54Z
io.github.knowstackkf-elasticsearch-client,"add","","unknown",2022-11-17T09:10:51Z
io.github.zqrferrarilogi-elasticsearch-client,"remove","unknown","",2022-11-17T09:10:51Z
org.apache.commonscommons-lang3,"remove","unknown","",2022-04-21T02:57:56Z
org.apache.commonscommons-lang3,"add","","unknown",2022-04-19T03:06:36Z
org.apache.commonscommons-lang3,"remove","unknown","",2022-04-18T09:04:54Z
io.github.zqrferrarilogi-security-spring-boot-starter,"remove","unknown","",2022-11-17T09:10:51Z
io.github.zqrferrarilogi-security-spring-boot-starter,"add","","unknown",2022-05-27T10:31:51Z
com.google.guavaguava,"remove","unknown","",2022-04-21T02:57:56Z
com.google.guavaguava,"add","","unknown",2022-04-19T03:06:36Z
com.google.guavaguava,"remove","unknown","",2022-04-18T09:04:54Z
io.github.knowstackkf-security-spring-boot-starter,"add","","unknown",2022-11-17T09:10:51Z
com.github.java-json-toolsjson-patch,"add","","unknown",2022-07-12T01:13:13Z
com.didichuxing.datachannelarius-admin-client,"remove","unknown","",2022-04-21T02:57:56Z
com.didichuxing.datachannelarius-admin-client,"add","","unknown",2022-04-19T03:06:36Z
com.didichuxing.datachannelarius-admin-client,"remove","unknown","",2022-04-18T03:22:17Z
org.mybatismybatis,"remove","unknown","",2022-04-21T02:57:56Z
org.mybatismybatis,"add","","unknown",2022-04-19T03:06:36Z
org.mybatismybatis,"remove","unknown","",2022-04-18T09:04:54Z
io.github.knowstackkf-log,"add","","unknown",2022-11-17T09:10:51Z
org.hibernate.validatorhibernate-validator,"remove","unknown","",2022-04-21T02:57:56Z
org.hibernate.validatorhibernate-validator,"add","","unknown",2022-04-19T03:06:36Z
org.hibernate.validatorhibernate-validator,"remove","unknown","",2022-04-18T09:04:54Z
io.github.zqrferrarilogi-log,"remove","unknown","",2022-11-17T09:10:51Z
io.github.java-diff-utilsjava-diff-utils,"add","","unknown",2022-07-11T03:00:11Z
org.springframework.bootspring-boot-starter-web,"remove","unknown","",2022-04-21T02:57:56Z
org.springframework.bootspring-boot-starter-web,"add","","unknown",2022-04-19T03:06:36Z
org.springframework.bootspring-boot-starter-web,"remove","unknown","",2022-04-18T09:04:54Z
io.swaggerswagger-annotations,"add","","unknown",2022-04-21T02:57:56Z
io.swaggerswagger-annotations,"remove","unknown","",2022-04-19T03:06:36Z
io.swaggerswagger-annotations,"add","","unknown",2022-04-18T03:22:17Z
